w_geocode,segment,year,C000
080130137042000,S000,2002,4
080130137042010,S000,2002,18
080130137043020,S000,2002,14
080130137044011,S000,2002,1
080130137044029,S000,2002,46
080130137044034,S000,2002,34
080130137044040,S000,2002,1
080130137044041,S000,2002,1
080130121011000,S000,2002,2
080130121011002,S000,2002,1
080130121011004,S000,2002,3
080130121011007,S000,2002,1
080130121011009,S000,2002,6
080130121011012,S000,2002,27
080130121011013,S000,2002,24
080130121011014,S000,2002,177
080130121011015,S000,2002,2
080130121011016,S000,2002,1
080130121011018,S000,2002,23
080130121011019,S000,2002,13
080130121011021,S000,2002,6
080130121012000,S000,2002,10
080130121012006,S000,2002,36
080130121012008,S000,2002,16
080130121012009,S000,2002,6
080130121012010,S000,2002,1
080130121012011,S000,2002,3
080130121012012,S000,2002,2
080130121012013,S000,2002,20
080130121012019,S000,2002,2
080130121012020,S000,2002,14
080130121012021,S000,2002,2
080130121012022,S000,2002,23
080130121012023,S000,2002,3
080130121012026,S000,2002,39
080130121013000,S000,2002,10
080130121013002,S000,2002,4
080130121013003,S000,2002,1
080130121013005,S000,2002,9
080130121013007,S000,2002,7
080130121013008,S000,2002,28
080130121013010,S000,2002,3
080130121013016,S000,2002,1
080130121013018,S000,2002,25
080130121013020,S000,2002,4
080130121013022,S000,2002,5
080130121013026,S000,2002,2
080130121013027,S000,2002,4
080130121014003,S000,2002,35
080130121014005,S000,2002,1
080130121014008,S000,2002,5
080130121014010,S000,2002,10
080130121014014,S000,2002,2
080130121014015,S000,2002,1
080130121014016,S000,2002,7
080130121014018,S000,2002,4
080130121014019,S000,2002,2
080130121014022,S000,2002,2
080130121014023,S000,2002,5
080130121031000,S000,2002,2
080130121031002,S000,2002,2
080130121031004,S000,2002,10
080130121031005,S000,2002,9
080130121031006,S000,2002,21
080130121032001,S000,2002,24
080130121032006,S000,2002,1
080130121032013,S000,2002,2
080130121032018,S000,2002,10
080130121032019,S000,2002,2
080130121032021,S000,2002,33
080130121032023,S000,2002,1
080130121033001,S000,2002,6
080130121033003,S000,2002,42
080130121033004,S000,2002,51
080130121033005,S000,2002,3
080130121033006,S000,2002,2
080130121033007,S000,2002,3
080130121033008,S000,2002,3
080130121033009,S000,2002,28
080130121033010,S000,2002,170
080130121041000,S000,2002,61
080130121041002,S000,2002,15
080130121041003,S000,2002,1
080130121041004,S000,2002,3
080130121041005,S000,2002,27
080130121041006,S000,2002,1
080130121041007,S000,2002,13
080130121041008,S000,2002,12
080130121041013,S000,2002,29
080130121041015,S000,2002,6
080130121041017,S000,2002,35
080130121041022,S000,2002,3
080130121041023,S000,2002,4
080130121041025,S000,2002,1
080130121041026,S000,2002,6
080130121042000,S000,2002,12
080130121042002,S000,2002,62
080130121042003,S000,2002,9
080130121042004,S000,2002,1
080130121042005,S000,2002,9
080130121042008,S000,2002,2
080130121042009,S000,2002,36
080130121042010,S000,2002,17
080130121042011,S000,2002,2
080130121051001,S000,2002,4
080130121051003,S000,2002,25
080130121051004,S000,2002,2
080130121051005,S000,2002,4
080130121051006,S000,2002,1
080130121051007,S000,2002,5
080130121051008,S000,2002,2
080130121051009,S000,2002,4
080130121051010,S000,2002,19
080130121051011,S000,2002,6
080130121051012,S000,2002,21
080130121051013,S000,2002,12
080130121051014,S000,2002,6
080130121051015,S000,2002,4
080130121051016,S000,2002,10
080130121051017,S000,2002,21
080130121051019,S000,2002,3
080130121051020,S000,2002,1
080130121052001,S000,2002,5
080130121052002,S000,2002,4
080130121052004,S000,2002,1
080130121052005,S000,2002,2
080130121052006,S000,2002,11
080130121052007,S000,2002,2
080130121052008,S000,2002,2
080130121052009,S000,2002,4
080130121052010,S000,2002,1
080130121052011,S000,2002,4
080130121052012,S000,2002,35
080130121052013,S000,2002,54
080130121052014,S000,2002,17
080130121053000,S000,2002,8
080130121053001,S000,2002,10
080130121053002,S000,2002,3
080130121053004,S000,2002,11
080130121053005,S000,2002,193
080130121053007,S000,2002,4
080130121053008,S000,2002,4
080130121053011,S000,2002,12
080130121054000,S000,2002,38
080130121054001,S000,2002,25
080130121054002,S000,2002,2
080130121054006,S000,2002,2
080130121054008,S000,2002,19
