id,area_name,area_type,incorporation_year,county_incorporation,population_year,total_population,name_type
1,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1870,0,Aguilar_M                                                   
397,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1880,0,Aguilar_M                                                   
793,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1890,0,Aguilar_M                                                   
1189,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1900,698,Aguilar_M                                                   
1585,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1910,858,Aguilar_M                                                   
1981,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1920,1236,Aguilar_M                                                   
2377,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1930,1383,Aguilar_M                                                   
2773,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1940,1397,Aguilar_M                                                   
3169,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1950,1038,Aguilar_M                                                   
3565,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1960,777,Aguilar_M                                                   
3961,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1970,699,Aguilar_M                                                   
4357,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1980,624,Aguilar_M                                                   
4753,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,1990,520,Aguilar_M                                                   
5149,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,2000,593,Aguilar_M                                                   
5545,Aguilar                                                     ,M                                                           ,1894,Las Animas                                                  ,2010,538,Aguilar_M                                                   
2,Akron                                                       ,M                                                           ,1887,Weld                                                        ,1870,0,Akron_M                                                     
398,Akron                                                       ,M                                                           ,1887,Weld                                                        ,1880,0,Akron_M                                                     
794,Akron                                                       ,M                                                           ,1887,Weld                                                        ,1890,559,Akron_M                                                     
1190,Akron                                                       ,M                                                           ,1887,Weld                                                        ,1900,351,Akron_M                                                     
1586,Akron                                                       ,M                                                           ,1887,Weld                                                        ,1910,647,Akron_M                                                     
1982,Akron                                                       ,M                                                           ,1887,Weld                                                        ,1920,1401,Akron_M                                                     
2378,Akron                                                       ,M                                                           ,1887,Weld                                                        ,1930,1135,Akron_M                                                     
