Year,District,Pre-K,K,1,2,3,4,5,6,7,8,9,10,11,12,Total
2024,Boulder,770,1608,1593,1772,1892,1874,1956,2097,2168,2184,2430,2441,2500,2706,27991
2024,St. Vrain,1255,2079,2259,2273,2492,2360,2346,2316,2368,2365,2588,2564,2583,2566,32414
2023,Boulder,916,1546,1712,1826,1822,1943,1978,2121,2129,2161,2406,2499,2540,2763,28362
2023,St. Vrain,1280,2210,2232,2442,2308,2320,2283,2309,2348,2479,2558,2598,2578,2561,32506
2022,Boulder,808,1662,1782,1788,1897,1940,2023,2081,2103,2149,2459,2523,2625,2647,28487
2022,St. Vrain,1358,2185,2404,2271,2285,2232,2296,2337,2483,2468,2643,2625,2604,2448,32639
2021,Boulder,782,1736,1758,1880,1919,2015,2027,2096,2158,2256,2516,2613,2528,2727,29011
2021,St. Vrain,1231,2310,2214,2254,2195,2246,2327,2444,2445,2505,2668,2645,2462,2460,32406
2020,Boulder,729,1529,1840,1844,1977,2034,2080,2175,2254,2356,2609,2537,2606,2670,29240
2020,St. Vrain,980,2023,2146,2119,2172,2260,2352,2398,2468,2526,2643,2494,2437,2294,31312
2019,Boulder,888,1894,1969,2107,2155,2148,2198,2343,2382,2492,2572,2640,2608,2604,31000
2019,St. Vrain,1560,2254,2218,2224,2349,2421,2447,2518,2560,2550,2534,2518,2381,2321,32855
2018,Boulder,856,1860,2074,2124,2135,2197,2291,2392,2471,2422,2615,2633,2569,2530,31169
2018,St. Vrain,1539,2231,2224,2272,2382,2413,2478,2540,2553,2434,2545,2396,2382,2250,32639
2017,Boulder,891,1926,2116,2118,2152,2277,2263,2467,2394,2468,2586,2557,2544,2523,31282
2017,St. Vrain,1451,2208,2233,2317,2376,2463,2506,2562,2443,2466,2429,2430,2283,2254,32421
2016,Boulder,918,1957,2093,2131,2261,2248,2327,2333,2432,2446,2547,2577,2532,2387,31189
2016,St. Vrain,1410,2195,2323,2378,2433,2490,2559,2432,2487,2384,2475,2304,2259,2042,32171
2015,Boulder,916,1966,2120,2210,2219,2300,2229,2380,2419,2402,2565,2544,2384,2593,31247
