Candidate,11/4/25 19:17,11/4/25 20:47,11/4/25 22:42,11/5/25 0:30,11/5/25 17:00,11/5/25 19:56
Nicole Speer,5604,9723,10264,11578,14750,15853
Rob Kaplan,6892,11131,11587,12719,15011,15632
Montserrat Palacios,1123,1816,1911,2144,2708,2896
Rob Smoke,574,841,889,987,1324,1456
Maxwell Lord,985,1700,1803,2047,2618,2802
Jennifer Robins,6597,10520,10933,11968,14027,14565
Aaron Stone,1001,1637,1705,1909,2472,2662
Lauren Folkerts,4813,8457,8946,10131,12940,13949
Mark Wallach,7660,12372,12855,14088,16585,17209
Matt Benjamin,8066,13432,14067,15636,18962,19940
Rachel Rose Issacson,1670,2881,3078,3519,4561,4962
