year,area_code,area_name,prim_state,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_median,a_median,h_pct10,h_pct25,h_pct75,h_pct90,a_pct10,a_pct25,a_pct75,a_pct90,jobs_1000,loc_quotient,annual,hourly
1997,1125,"Boulder-Longmont, CO PMSA",CO,10000,Managerial and Administrative Occupations,div,,,,,,,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,13000,Staff and Administrative Specialty Managerial Occupations,maj,,,,,,,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,13002,Financial Managers,,1010,7.6,29.33,61000,2.6,30.87,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,13005,"Personnel, Training, and Labor Relations Managers",,380,9.4,25.71,53470,3.4,24.43,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,13008,Purchasing Managers,,340,10.6,22.95,47740,5.4,22.47,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,13011,"Marketing, Advertising, and Public Relations Managers",,1400,12.4,28.56,59410,3.8,27.68,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,13014,Administrative Services Managers,,550,13.1,22.72,47260,4.1,22.16,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,13017,"Engineering, Mathematical, and Natural Sciences Managers",,1720,10.8,35.90,74670,3.3,38.64,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,15000,Line and Middle Management Industry Specific Managerial Occupations,maj,,,,,,,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,15005,Education Administrators,,440,32.6,25.96,53990,7.3,23.23,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,15008,Medicine and Health Services Managers,,160,16.3,22.36,46500,4.7,20.93,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,15011,Property and Real Estate Managers and Administrators,,320,35.1,14.27,29690,9.5,12.32,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,15014,Industrial Production Managers,,510,8.0,29.39,61130,4.1,29.44,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,15017,Construction Managers,,470,17.1,23.37,48610,5.9,21.99,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,15023,"Communications, Transportation, and Utilities Operations Managers",,230,32.7,26.81,55760,7.3,28.19,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,15026,Food Service and Lodging Managers,,650,21.3,13.50,28080,7.3,12.51,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,19000,Other Managerial and Administrative Occupations,maj,,,,,,,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,19005,General Managers and Top Executives,,3840,4.9,32.40,67390,2.8,32.18,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,19999,All Other Managers and Administrators,,1340,11.8,26.17,54430,7.7,23.53,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,20000,"Professional, Paraprofessional, and Technical Occupations",div,,,,,,,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,21000,Management Support Occupations,maj,,,,,,,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,21111,Tax Preparers,,40,28.6,15.35,31930,5.8,15.17,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,21114,Accountants and Auditors,,1330,12.1,20.03,41660,4.5,17.90,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,21117,Budget Analysts,,70,16.0,19.90,41390,6.9,17.96,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,21199,All Other Financial Specialists,,370,18.2,21.61,44950,10.6,18.91,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,21302,"Wholesale and Retail Buyers, Except Farm Products",,210,25.2,12.42,25840,3.6,12.07,,,,,,,,,,,,,
1997,1125,"Boulder-Longmont, CO PMSA",CO,21305,"Purchasing Agents and Buyers, Farm Products",,(*),,21.41,44540,8.4,21.56,,,,,,,,,,,,,
