year,zip_file,inner_file,area_name,n_rows,sha256
1997,oesm97ma.zip,oes97ma1.xls,"Boulder-Longmont, CO PMSA",375,5ddddc8f41a5e41e869ba03e3e5f7b2aae26f6b4d57add002aa464b864bd8949
1998,oesm98ma.zip,msa_1998_dl_1.xls,"Boulder-Longmont, CO PMSA",384,d06bf3e2750e16cbe1309935a432185d7b58a3d8049cf375f04deb8c2a46675c
1999,oesm99ma.zip,msa_1999_dl_1.xls,"Boulder-Longmont, CO PMSA",251,152e130b8a438ba006c472b8e4c5672a40858bc78b3f3bd1cedf7a81b42e0f9b
2000,oesm00ma.zip,msa_2000_dl_1.xls,"Boulder-Longmont, CO PMSA",378,ab83a73bffe2bf052b66c650f2b238bd778f3b4661868a3a310475074b99075e
2001,oesm01ma.zip,MSA_2001_dl_1.xls,"Boulder-Longmont, CO PMSA",374,c3e19f25944db0814c21678fd7d95f7d03f92dd8dcc4ff5b1491787dc3de5eb8
2002,oesm02ma.zip,MSA_2002_dl_1.xls,"Boulder-Longmont, CO PMSA",345,6ea2e3410e09dace1f90484898bebae323153bde732bbadc8f06fa1c93d64a15
2003,oesm03ma.zip,msa_may2003_dl_1.xls,"Boulder-Longmont, CO PMSA",333,e5112de1319dc765b492c4c1b665c6e7324ef0039f0bd5805c2fe3e06c7a5d17
2004,oesm04ma.zip,MSA_may2004_dl_1.xls,"Boulder-Longmont, CO PMSA",386,c1a8f0f3c323cfdbd7a15229841c1a3d52e118e4b5fc10a9c30302f294045f70
2005,oesm05ma.zip,MSA_may2005_dl_1.xls,"Boulder, CO",407,3762980a375db68586ee972aace53b8dd081c2e2af6c7b22034d80aeccb2abea
2006,oesm06ma.zip,MSA_may2006_dl_1.xls,"Boulder, CO",393,f9ec2b51787bede9ebfba9ab80df258dddf7c5274d003cecf837413c25e74c19
2007,oesm07ma.zip,MSA_May2007_dl_1.xls,"Boulder, CO",430,7a67a13f37ec301906e4183c2693108e26e4ad0789ab16e54e8d68340ae9f049
2008,oesm08ma.zip,MSA__M2008_dl_1.xls,"Boulder, CO",427,dc9310703d48e6a6a8087ef1a8375d358490692f912194ad305ad588adecb48e
2009,oesm09ma.zip,MSA_dl_1.xls,"Boulder, CO",411,9384fba8f25b3ee115d6cb856e5e40b137482e6d44333c12e501ea63ca9b5739
2010,oesm10ma.zip,MSA_M2010_dl_1.xls,"Boulder, CO",400,72aa6bcbdbbd8064df692ebe0e98e6cc3af55c9c2aaa57afa9ff4e39f775d34e
2011,oesm11ma.zip,MSA_M2011_dl_1_AK_IN.xls,"Boulder, CO",407,6a341d7e89f0da96bb29e1a827ae03b63aeafcf8aa0b2ea55cf6c13fc721bd16
2012,oesm12ma.zip,MSA_M2012_dl_1_AK_IN.xls,"Boulder, CO",415,45ac026f0c8ef64c41cb03e4d4383f0406c22483e89e27cadad121ae7fcad3f8
2013,oesm13ma.zip,MSA_M2013_dl_1_AK_IN.xls,"Boulder, CO",423,e830783cddff5e9f5226903aba1a7cddc411ae7be2e895d6b7b1c56be46cef5a
2014,oesm14ma.zip,MSA_M2014_dl.xlsx,"Boulder, CO",438,600f7064b993c72d73a39952179902dfe7440dc6354d62f29adcad2960565da7
2015,oesm15ma.zip,MSA_M2015_dl.xlsx,"Boulder, CO",428,dc5c5e6132485c64485cfbc6be09c8bdbaeb38b6fa31df0237e723e7ce314b63
2016,oesm16ma.zip,MSA_M2016_dl.xlsx,"Boulder, CO",428,847aecb706ea84cfe1f8a2fdd860866ac32ee1be63a253cc0aba5945b2ba6423
2017,oesm17ma.zip,MSA_M2017_dl.xlsx,"Boulder, CO",425,4136cb662d6d12c65a5bd09b426bb2a152f28e64c1e2d9d1e01282416e26e805
2018,oesm18ma.zip,MSA_M2018_dl.xlsx,"Boulder, CO",422,4bbd692ab65c13cd2048a98f6cd2dccf5ecc58ba9e5ac2882c52cf2a1f2fc6b0
2019,oesm19ma.zip,MSA_M2019_dl.xlsx,"Boulder, CO",423,6757c80fa1e06a832fec1e755a3f833aa4c09c85864e370beee6b27fe33e54e2
2020,oesm20ma.zip,MSA_M2020_dl.xlsx,"Boulder, CO",418,4629855af38bf4cb2812e89b6641a41cdb3079321b49befdbf7f5306d42ecbd5
2021,oesm21ma.zip,MSA_M2021_dl.xlsx,"Boulder, CO",444,b219099791a6d177ceec22061f0c8237c4347a13b2e1d614567d39168e29fd1b
2022,oesm22ma.zip,MSA_M2022_dl.xlsx,"Boulder, CO",456,0e8c3ca50dd2d1d68ac1c7912e59b57da9e72baa7407c850e4e6ca746ad4d725
2023,oesm23ma.zip,MSA_M2023_dl.xlsx,"Boulder, CO",444,750e6d5bf656411e072118afaf780cae8705c33e28fe39aa929c5271954fef9f
2024,oesm24ma.zip,MSA_M2024_dl.xlsx,"Boulder, CO",449,7bf915fc47e464983c5b8b8200d63a733ef90275c7af0576b78875e5b04d35d9
2025,oesm25ma.zip,MSA_M2025_dl.xlsx,"Boulder, CO",448,cc3e6fa80edf64ab8fd0e8a6472ef1b513a6bcaef2f5018e9649c485793b0b99
