year,area_code,area_name,prim_state,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_median,a_median,h_pct10,h_pct25,h_pct75,h_pct90,a_pct10,a_pct25,a_pct75,a_pct90,jobs_1000,loc_quotient,annual,hourly
1998,08,,CO,10000,Managerial and Administrative Occupations,div,,,,,,,,,,,,,,,,,,,
1998,08,,CO,13000,Staff and Administrative Specialty Managerial Occupations,maj,60460,3.1,20.82,43300,0.9,18.88,39270,12.12,15,24.44,37.23,25200,31210,50830,77440,,,,
1998,08,,CO,13002,Financial Managers,,11360,3.8,29.91,62210,1.1,28.88,60070,16.1,20.26,41.03,56.96,33480,42130,85340,118470,,,,
1998,08,,CO,13005,"Personnel, Training, and Labor Relations Managers",,3340,3.9,25.9,53880,1.7,24.07,50070,13.93,18.07,35.91,43.99,28980,37580,74690,91490,,,,
1998,08,,CO,13008,Purchasing Managers,,2190,5.9,22.22,46220,1.6,20.01,41630,10.77,13.79,31.01,41.27,22410,28680,64490,85850,,,,
1998,08,,CO,13011,"Marketing, Advertising, and Public Relations Managers",,9510,4.3,29.1,60520,1.2,27.17,56500,14.73,18.97,40.83,55.47,30640,39450,84920,115390,,,,
1998,08,,CO,13014,Administrative Services Managers,,5620,5.9,22.79,47400,1.6,20.34,42310,11.83,14.75,30.61,41.98,24600,30680,63680,87320,,,,
1998,08,,CO,13017,"Engineering, Mathematical, and Natural Sciences Managers",,8680,3.2,36.25,75410,1.4,38.01,79060,24.39,29.69,48.2,58.75,50730,61760,100260,122200,,,,
1998,08,,CO,15000,Line and Middle Management Industry Specific Managerial Occupations,maj,50130,3.9,24.17,50280,2.9,22.71,47240,12.55,16.84,33.71,41.92,26100,35020,70120,87190,,,,
1998,08,,CO,15002,Postmasters and Mail Superintendents,,390,**,21.46,44630,0.9,20.66,42960,13.41,17.34,24.1,35.42,27890,36070,50130,73680,,,,
1998,08,,CO,15005,Education Administrators,,5290,5.8,27.3,56780,2.8,26.66,55450,13.6,20.04,37.93,46.38,28280,41680,78900,96470,,,,
1998,08,,CO,15008,Medicine and Health Services Managers,,3590,7.3,25,51990,1.4,23.72,49340,14.7,18.39,33.99,41.51,30580,38250,70690,86340,,,,
1998,08,,CO,15011,Property and Real Estate Managers and Administrators,,3090,5.6,18.85,39210,5,16.9,35150,9.52,12.22,22.61,34.29,19800,25410,47030,71320,,,,
1998,08,,CO,15014,Industrial Production Managers,,2710,4,28.27,58790,1.4,28.64,59570,15.79,20.54,38.7,46.15,32850,42720,80490,95990,,,,
1998,08,,CO,15017,Construction Managers,,6710,4.8,22.9,47630,2.2,21.57,44870,14.12,16.5,28.46,39.57,29380,34330,59190,82310,,,,
1998,08,,CO,15021,"Mining, Quarrying, and Oil and Gas Well Drilling Managers",,410,16.4,35.12,73040,6.2,37.38,77760,12.78,21.65,53.73,#,26570,45020,111760,#,,,,
1998,08,,CO,15023,"Communications, Transportation, and Utilities Operations Managers",,3790,10.1,26.94,56030,1.6,26.32,54740,15.95,20.65,36.88,43.23,33170,42950,76720,89920,,,,
1998,08,,CO,15026,Food Service and Lodging Managers,,6090,8.7,14.5,30150,2.5,13.52,28130,7.28,9.66,17.12,23.37,15130,20090,35600,48610,,,,
1998,08,,CO,15031,Nursery and Greenhouse Managers,,100,22.2,14.27,29690,5.4,12.22,25420,7.65,9.84,19.24,23.3,15910,20470,40020,48460,,,,
1998,08,,CO,15032,Lawn Service Managers,,420,18.5,14.71,30600,6.6,16,33280,8.25,10.57,17.96,19.18,17160,21980,37360,39900,,,,
1998,08,,CO,19000,Other Managerial and Administrative Occupations,maj,19070,3.1,23.31,48480,1.9,21.14,43960,12.22,15.65,31.56,41.85,25410,32540,65640,87040,,,,
1998,08,,CO,19002,"Public Administration Chief Executives, Legislators, and General Administrators",,620,10.4,24.57,51100,6.3,23.03,47900,6,16.87,35.7,48.15,12470,35090,74250,100160,,,,
1998,08,,CO,19005,General Managers and Top Executives,,42840,2,33.31,69280,1.3,32.49,67590,14.48,20.29,51.12,#,30110,42190,106330,#,,,,
1998,08,,CO,19999,All Other Managers and Administrators,,16240,4.9,27.58,57370,3.3,25.59,53240,14.02,18.42,38.43,50.91,29150,38320,79920,105890,,,,
1998,08,,CO,20000,"Professional, Paraprofessional, and Technical Occupations",div,,,,,,,,,,,,,,,,,,,
1998,08,,CO,21000,Management Support Occupations,maj,17790,3.8,15.49,32210,2.1,13.9,28900,8.18,10.49,18.48,24.02,17000,21810,38440,49950,,,,
1998,08,,CO,21102,Insurance Underwriters,,1510,11.5,19.46,40480,4.1,17.34,36070,11.4,13.83,23.31,35.12,23710,28770,48490,73050,,,,
1998,08,,CO,21105,Credit Analysts,,1040,16.2,17.58,36570,2.6,15.91,33080,10.05,12.35,22.12,29.95,20910,25690,46010,62290,,,,
1998,08,,CO,21108,Loan Officers and Counselors,,6240,3.8,21.99,45750,2.2,19.14,39810,11.75,14.92,26.92,40.97,24430,31020,56000,85220,,,,
1998,08,,CO,21111,Tax Preparers,,1000,43.4,20.98,43630,4.4,18.17,37800,13.69,15.32,28.35,39.34,28480,31870,58970,81820,,,,
1998,08,,CO,21114,Accountants and Auditors,,16280,3.8,20.25,42120,1.4,18.46,38390,12.57,15.17,23.75,35.28,26140,31550,49400,73390,,,,
1998,08,,CO,21117,Budget Analysts,,1050,4.3,23.44,48740,1.5,22.04,45840,14.76,17.62,31.47,39.43,30700,36640,65460,82010,,,,
1998,08,,CO,21199,All Other Financial Specialists,,4350,9.1,22.15,46080,2.8,19.49,40540,11.81,14.29,28.32,41.65,24560,29720,58900,86620,,,,
1998,08,,CO,21302,"Wholesale and Retail Buyers, Except Farm Products",,1750,8.2,16.73,34810,3.1,14.25,29640,8.71,10.26,18.97,27.32,18120,21340,39450,56820,,,,
1998,08,,CO,21305,"Purchasing Agents and Buyers, Farm Products",,330,29.9,17.45,36290,5.2,16.96,35290,9.65,10.81,21.99,25.46,20060,22490,45740,52960,,,,
1998,08,,CO,21308,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,5230,19.1,19.57,40700,1.6,18.25,37970,13.09,15.53,22.79,31.9,27240,32300,47390,66360,,,,
1998,08,,CO,21505,"Special Agents, Insurance",,160,28.2,25.65,53350,7.7,25.84,53750,8.31,16.04,38.2,48.18,17280,33360,79460,100210,,,,
1998,08,,CO,21508,"Employment Interviewers, Private or Public Employment Service",,780,13.4,17.1,35560,4.3,14.85,30890,9.95,11.4,18.76,28.63,20690,23700,39010,59550,,,,
1998,08,,CO,21511,"Personnel, Training, and Labor Relations Specialists",,5500,4.3,19.08,39690,0.9,17.78,36980,11.62,13.86,22.87,32.58,24180,28830,47560,67770,,,,
1998,08,,CO,21902,Cost Estimators,,3450,9.9,21.09,43870,1.3,20.2,42020,13.05,16.62,24.06,35.03,27140,34570,50050,72850,,,,
1998,08,,CO,21905,Management Analysts,,2110,10.8,28.36,58990,4.7,25.99,54050,16.29,19.41,38.03,51.7,33890,40380,79090,107540,,,,
1998,08,,CO,21908,Construction and Building Inspectors,,1280,14.7,18.83,39180,2.1,18.78,39060,10.94,15.8,22.01,25.44,22760,32860,45780,52920,,,,
1998,08,,CO,21911,"Compliance Officers and Enforcement Inspectors, Except Construction",,2960,7.2,21.58,44880,1.5,20.49,42610,13.54,16.35,27.09,37.12,28170,34010,56350,77200,,,,
1998,08,,CO,21914,"Tax Examiners, Collectors, and Revenue Agents",,1000,1.9,23.66,49210,3.1,23.1,48050,13.92,18.51,32.27,38.95,28960,38500,67130,81030,,,,
1998,08,,CO,21917,Assessors,,380,4.3,16.65,34640,1.9,16.19,33680,11.48,13.82,18.94,22.84,23880,28750,39400,47510,,,,
1998,08,,CO,21921,"Claims Examiners, Property and Casualty Insurance",,590,20.9,21.36,44430,3.1,21.51,44740,12.98,17.04,25.13,35.15,27000,35440,52280,73120,,,,
1998,08,,CO,21999,All Other Management Support Workers,,17490,2.9,20.28,42180,1.1,18.44,38350,12.01,14.76,24.04,36.26,24980,30700,50010,75420,,,,
1998,08,,CO,22000,Engineers and Related Occupations,maj,**,**,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,
1998,08,,CO,22105,"Metallurgists and Metallurgical, Ceramic, and Materials Engineers",,280,25.6,26.55,55220,2.8,26.79,55730,17.76,21.03,36.18,41.81,36950,43730,75260,86970,,,,
1998,08,,CO,22108,"Mining Engineers, Including Mine Safety",,100,5.6,28.44,59150,2.9,30.69,63830,20.57,24,37.63,41.8,42790,49910,78270,86940,,,,
1998,08,,CO,22111,Petroleum Engineers,,440,17.5,36.81,76560,2.7,39.2,81530,25.71,30.84,49.61,57.93,53480,64140,103180,120490,,,,
1998,08,,CO,22114,Chemical Engineers,,380,9,28.73,59770,3.2,29.41,61160,19.9,23.18,37.95,43.08,41390,48210,78940,89610,,,,
1998,08,,CO,22117,Nuclear Engineers,,60,10,37.45,77890,5.5,40.25,83720,25.84,31.27,49.36,56.9,53750,65040,102670,118340,,,,
1998,08,,CO,22121,"Civil Engineers, Including Traffic",,5570,12.5,26.17,54430,2,25.14,52290,16.7,20.18,35.27,41.54,34740,41980,73370,86400,,,,
1998,08,,CO,22123,Agricultural Engineers,,60,22.6,24.95,51900,3.6,23.71,49310,15.8,18.58,34.54,41.31,32860,38640,71850,85930,,,,
1998,08,,CO,22126,Electrical and Electronic Engineers,,8820,4.2,29.74,61860,2.5,31.17,64830,19.61,23.87,39.31,44.73,40790,49650,81770,93040,,,,
1998,08,,CO,22127,Computer Engineers,,12290,8.9,30.99,64460,3.4,32.58,67760,20.33,24.89,40.41,48.02,42290,51770,84060,99880,,,,
1998,08,,CO,22128,"Industrial Engineers, Except Safety",,1900,8.1,26.38,54860,2,25.84,53750,17.31,21.03,35.64,41.57,36000,43740,74140,86460,,,,
1998,08,,CO,22132,"Safety Engineers, Except Mining",,590,27,27.53,57270,3.5,28.13,58510,15.88,21.78,38.15,44.38,33040,45300,79360,92300,,,,
1998,08,,CO,22135,Mechanical Engineers,,3390,9.5,26.03,54140,2.3,25.12,52240,16.61,19.05,35.45,41.79,34560,39620,73730,86930,,,,
1998,08,,CO,22199,All Other Engineers,,9280,14.3,27.72,57660,2,28.79,59880,17.76,21.96,37.41,42.58,36950,45670,77800,88560,,,,
1998,08,,CO,22302,"Architects, Except Landscape and Marine",,1700,20.1,23.88,49670,3.3,22.82,47460,14.25,18.09,31.29,40.31,29640,37620,65080,83850,,,,
1998,08,,CO,22308,Landscape Architects,,510,15.8,21.17,44030,4.6,19.15,39840,11.89,14.95,29.35,38.83,24720,31090,61040,80770,,,,
1998,08,,CO,22311,Surveyors and Mapping Scientists,,1090,11.9,23.47,48820,3.2,20.6,42850,12.6,16.08,29.47,44.62,26200,33440,61290,92810,,,,
1998,08,,CO,22502,Civil Engineering Technicians and Technologists,,1130,10.2,17.95,37330,5.2,16.94,35230,10.36,13.05,21.48,30.57,21550,27140,44670,63580,,,,
1998,08,,CO,22505,Electrical and Electronic Engineering Technicians and Technologists,,5340,5,18.08,37600,1.4,17.1,35560,11.47,13.85,21.38,25.51,23860,28810,44480,53050,,,,
1998,08,,CO,22508,Industrial Engineering Technicians and Technologists,,450,12.6,18.09,37620,1.5,17.41,36220,11.72,14.43,20.29,25.7,24370,30010,42210,53460,,,,
1998,08,,CO,22511,Mechanical Engineering Technicians and Technologists,,1310,15.7,16.68,34690,2,15.17,31550,10.1,11.23,20.83,25.45,21010,23370,43330,52940,,,,
1998,08,,CO,22514,Drafters,,4560,7.8,15.88,33020,1.8,14.95,31090,10.67,12.35,18.28,22.56,22200,25680,38030,46930,,,,
1998,08,,CO,22517,"Estimators and Drafters, Utilities",,110,31.4,22.45,46700,2.8,22.18,46120,15.3,19.41,25.06,35.1,31820,40370,52120,73020,,,,
1998,08,,CO,22521,Surveying and Mapping Technicians,,960,9.3,14.99,31170,1.1,14.46,30070,10.5,11.76,17.54,20.2,21850,24460,36470,42010,,,,
1998,08,,CO,22599,All Other Engineering and Related Technicians and Technologists,,4770,4.2,20.21,42030,2.2,18.99,39500,11.52,15.18,23.41,34.18,23950,31570,48690,71090,,,,
1998,08,,CO,24000,Natural Scientists and Related Occupations,maj,**,**,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,
1998,08,,CO,24102,Physicists and Astronomers,,410,26.1,34.18,71090,3.7,35.93,74730,25.46,29.41,42.45,52.62,52960,61170,88290,109450,,,,
1998,08,,CO,24105,"Chemists, Except Biochemists",,1140,6.7,23.4,48670,2.2,22.21,46190,12.99,16.25,32.19,40.29,27030,33800,66960,83800,,,,
1998,08,,CO,24108,Atmospheric and Space Scientists,,840,19.8,26.24,54590,3,25.29,52600,15.15,18.2,36.76,43.82,31510,37860,76460,91150,,,,
1998,08,,CO,24111,"Geologists, Geophysicists, and Oceanographers",,2070,11.8,30.76,63970,2.6,31.39,65300,18.07,22.79,41.23,52.58,37590,47410,85760,109370,,,,
1998,08,,CO,24199,All Other Physical Scientists,,2570,4,23.72,49330,3,21.97,45700,13.66,16.89,33.13,40.9,28410,35130,68910,85070,,,,
1998,08,,CO,24302,Foresters and Conservation Scientists,,520,0.9,23.66,49220,1.8,22.24,46260,16.4,18.74,29.9,38.57,34110,38980,62200,80230,,,,
1998,08,,CO,24305,Agricultural and Food Scientists,,190,6.1,22.84,47510,3.1,22.07,45910,13.09,17.86,28.39,38.44,27220,37150,59060,79950,,,,
1998,08,,CO,24308,Biological Scientists,,1450,11.4,22.91,47660,2.4,21.74,45220,13.95,15.73,30.3,39.03,29020,32710,63020,81180,,,,
1998,08,,CO,24311,Medical Scientists,,350,26.1,25.85,53760,7.8,22.17,46120,13.02,16.55,35.08,51.78,27090,34420,72960,107690,,,,
1998,08,,CO,24399,All Other Life Scientists,,1370,4.7,19.66,40900,2.6,18.19,37830,11.82,14.3,23.4,34.77,24590,29740,48660,72330,,,,
1998,08,,CO,24502,"Biological, Agricultural, and Food Technicians and Technologists, Except Health",,1140,11.1,14.73,30640,1,13.99,29110,9.37,11.23,17.82,21.88,19480,23350,37070,45520,,,,
1998,08,,CO,24505,"Chemical Technicians and Technologists, Except Health",,1030,13.5,14.33,29810,1.5,13.18,27410,9.81,11.03,16.6,20.52,20400,22940,34520,42670,,,,
1998,08,,CO,24511,Petroleum Technicians and Technologists,,360,23.1,19.1,39730,2.7,18.97,39460,14.77,16.58,21.79,23.87,30720,34500,45330,49640,,,,
1998,08,,CO,24599,All Other Physical and Life Science Technicians and Technologists,,1710,5.4,17.9,37240,6.6,17.39,36170,9.92,12.51,22.78,25.78,20620,26010,47390,53630,,,,
1998,08,,CO,25000,"Computer, Mathematical, Operations Research, and Related Occupations",maj,99470,6.7,15.71,32670,1.6,14.37,29880,7.42,10.38,19.34,25.09,15440,21590,40230,52180,,,,
1998,08,,CO,25102,"Systems Analysts, Electronic Data Processing",,11880,10.8,29.21,60750,6.1,28.71,59710,17.79,21.53,38.83,48.01,36990,44790,80760,99860,,,,
1998,08,,CO,25103,Data Base Administrators,,2360,10.3,25.09,52180,2.1,24.77,51520,14.82,18.39,34.84,41.05,30830,38260,72460,85390,,,,
1998,08,,CO,25104,Computer Support Specialists,,13970,4.9,17.96,37350,2.4,16.88,35100,9.06,12.97,22.04,31.39,18840,26970,45850,65300,,,,
1998,08,,CO,25105,Computer Programmers,,14300,7.1,25.95,53970,2.5,25.26,52540,15.08,19.08,36.05,42.66,31360,39680,74990,88740,,,,
1998,08,,CO,25108,Computer Programmer Aides,,1310,15.9,13.4,27870,2.4,12.66,26340,8.68,9.72,15.63,18.96,18050,20220,32520,39440,,,,
1998,08,,CO,25111,"Programmers, Numerical Tool and Process Control",,100,7.3,19.42,40400,2.7,18.14,37740,12.59,14.85,22.83,32.53,26190,30880,47490,67660,,,,
1998,08,,CO,25199,All Other Computer Scientists,,4300,9.8,26.73,55600,2.5,26.75,55640,15.24,19.51,36.75,42.75,31690,40570,76440,88920,,,,
1998,08,,CO,25302,"Operations and Systems Researchers and Analysts, Except Computer",,630,11.6,24.22,50390,2.2,22.96,47750,12.48,16.25,33.19,41.68,25970,33790,69030,86690,,,,
1998,08,,CO,25312,Statisticians,,300,48.1,23.86,49640,3.9,23.23,48310,13.62,18.02,32.04,40.12,28340,37480,66640,83450,,,,
1998,08,,CO,25313,Actuaries,,190,18,23.39,48660,3,21.98,45720,14.22,16.56,31.33,40.16,29590,34450,65160,83530,,,,
1998,08,,CO,25315,"Financial Analysts, Statistical",,630,26.4,25.46,52960,6.6,21.02,43730,16.04,17.63,31.07,46.19,33360,36670,64620,96060,,,,
1998,08,,CO,25319,All Other Mathematical Scientists,,120,23.3,29.35,61040,4.1,30.87,64220,19.26,23.6,38.23,42.64,40060,49100,79510,88690,,,,
1998,08,,CO,27000,"Social Scientists and Other Social, Recreational, and Religious Occupations",maj,40310,2.8,16.2,33690,1.8,14.18,29490,6.46,9.42,20.31,31.82,13430,19590,42250,66190,,,,
1998,08,,CO,27102,"Economists, Including Market Research Analysts",,660,12.9,32.73,68080,11.4,30.99,64460,15.82,21,46.03,#,32900,43690,95740,#,,,,
1998,08,,CO,27105,Urban and Regional Planners,,750,10.2,20.46,42560,2.3,19.67,40920,12.88,15.73,24.38,34.56,26790,32720,50720,71890,,,,
1998,08,,CO,27108,Psychologists,,1620,13.2,27.67,57550,6.5,24.05,50030,13.8,17.42,40.36,53.36,28710,36240,83940,110990,,,,
1998,08,,CO,27199,All Other Social Scientists,,860,7.1,21.81,45370,2.5,20.12,41840,12.55,14.96,30.05,38.62,26110,31130,62500,80320,,,,
1998,08,,CO,27302,"Social Workers, Medical and Psychiatric",,4130,6.6,16.71,34760,2.5,15.38,31990,9.97,12.15,18.91,23.92,20740,25270,39340,49740,,,,
1998,08,,CO,27305,"Social Workers, Except Medical and Psychiatric",,5300,5.1,16.93,35210,2.8,15.78,32830,10.01,11.9,19.91,24.09,20820,24750,41420,50100,,,,
1998,08,,CO,27307,Residential Counselors,,2620,7.2,9.71,20200,2.3,9.1,18930,6.48,7.51,10.72,13.14,13480,15620,22310,27320,,,,
1998,08,,CO,27308,Human Services Workers,,4970,6.6,10.79,22440,1.9,10.36,21550,6.97,8.3,12.63,15.28,14500,17260,26270,31780,,,,
1998,08,,CO,27311,Recreation Workers,,3460,4.8,10,20790,3.1,8.5,17680,5.71,6.52,11.78,16.47,11880,13560,24490,34270,,,,
1998,08,,CO,27502,Clergy,,250,31.1,23.95,49810,5.8,24.46,50880,13.51,17.31,34.49,40.53,28100,36000,71740,84300,,,,
1998,08,,CO,27505,"Directors, Religious Activities and Education",,90,38.3,18.87,39240,3.4,18.45,38380,12.6,16.58,22.09,24.36,26200,34490,45950,50680,,,,
1998,08,,CO,27599,All Other Religious Workers,,240,39.1,10.62,22090,7.8,10.64,22120,5.58,5.94,14.11,15.68,11600,12360,29350,32610,,,,
1998,08,,CO,28000,Law and Related Occupations,maj,**,**,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,
1998,08,,CO,28102,Judges and Magistrates,,480,2.8,31.38,65270,3.3,34.06,70850,14.49,26.3,41.83,53.06,30140,54700,87010,110370,,,,
1998,08,,CO,28108,Lawyers,,8170,8.6,33.55,69790,5.6,32.6,67800,16.9,19.6,49.71,#,35160,40760,103400,#,,,,
1998,08,,CO,28302,Law Clerks,,420,17.1,13.54,28170,2.5,13.5,28070,10.06,11.33,15.53,17.83,20930,23560,32300,37090,,,,
1998,08,,CO,28305,Paralegal Personnel,,3060,17.5,15.14,31490,2.9,14.49,30140,10.25,11.23,17.83,20.33,21320,23370,37080,42290,,,,
1998,08,,CO,28308,Title Searchers,,290,16.6,11.3,23510,2.5,10.93,22730,7.36,9.11,13.06,16.29,15310,18950,27150,33880,,,,
1998,08,,CO,28311,Title Examiners and Abstractors,,530,12.5,15.81,32880,1.9,16.16,33600,10.33,12.32,18.84,20.5,21480,25620,39180,42630,,,,
1998,08,,CO,28399,"All Other Legal Assistants and Technicians, Except Clerical",,1150,18.1,15.84,32950,1.7,15.44,32120,11.04,12.62,18.4,21.7,22970,26240,38280,45130,,,,
1998,08,,CO,31000,"Teachers, Educators, Librarians, and Related Occupations",maj,33130,2.7,9.42,19590,1.1,9.06,18850,6.34,7.44,10.75,13.03,13190,15470,22350,27100,,,,
1998,08,,CO,31111,Lecturers,,40,26.5,11.51,23950,15.5,8.94,18590,6.72,7.56,12.78,17.63,13980,15720,26580,36660,,,,
1998,08,,CO,31114,"Nursing Instructors, Postsecondary",,250,18.1,*,44210,2.8,*,43230,*,*,*,*,29840,34980,50650,72700,,,true,
1998,08,,CO,31201,"Agricultural Sciences Teachers, Postsecondary",,30,38.1,*,51480,14.3,*,48800,*,*,*,*,26980,36090,74670,90690,,,true,
