year,zip_file,inner_file,area_name,n_rows,sha256
1998,oes98st.zip,state_1998_dl.xls,Colorado statewide,736,15c85e2dd00cd703bc1fc13f0e39c154bfb1733abb61315858344348d3facbd6
1999,oes99st.zip,state_1999_dl.xls,Colorado statewide,592,a7c778ea822860e2e697968ab51de43219c95ff7ff235c727efdf77bfc2f5787
2000,oes00st.zip,state_2000_dl.xls,Colorado statewide,669,b6758b545870901b2d5d457befb086ec0a5cdf6d9b7e72b36ed3a3567c8de183
2001,oes01st.zip,state_2001_dl.xls,Colorado statewide,666,4ce08d1a47632c25279106c0cd391b1d4188afe3e6c6a70808a52e14e2185bad
2002,oes02st.zip,state_2002_dl.xls,Colorado statewide,645,4a21b9f727da3e48f41e994c351f28f2388f4f6694c078102f6eea0622212ba7
2003,oesm03st.zip,state_may2003_dl.xls,Colorado statewide,645,2a83dea280207491748b19cf85b74f2d6263ebbddd117b0d643fc545efae2cd7
2004,oesm04st.zip,state_may2004_dl.xls,Colorado statewide,737,ee020218f8f61c4057a989e6c2c4acf2ffb876e96a29cd56175f0c7ec9e78781
2005,oesm05st.zip,state_may2005_dl.xls,Colorado statewide,746,7852f0015bcd32e96b2f0fbd3f3d5ccc7f758b8d07d991e12cbbd3efe6a2d581
2006,oesm06st.zip,state_may2006_dl.xls,Colorado statewide,735,a4db0c4c0df03c2e42ef40a692b06d970dcf0b7de1e1e88db4caa6513d8cab5e
2007,oesm07st.zip,state_May2007_dl.xls,Colorado statewide,753,fd843184c31d15d44ae75a429e60dd8b834d214a1d0bc12cd8925b2516187d91
2008,oesm08st.zip,state__M2008_dl.xls,Colorado statewide,752,d255bf8e427aa68f483c1dee5a8861ee0af83515519b8f9fcaef11c6cecf3a46
2009,oesm09st.zip,state_dl.xls,Colorado statewide,746,4395108d15bdfdca979ca1bf7f91a7a784dd010b3a4d3fdb54e8b1027d4021c2
2010,oesm10st.zip,state_M2010_dl.xls,Colorado statewide,747,a07663d4a1ff8f3f548ef5ef6898d22bf1fe25035f428d6ae0a475bc8c2131e4
2011,oesm11st.zip,state_M2011_dl.xls,Colorado statewide,743,f9092a0c65d605c9b1b7211edab1811a75b37cc3b44c9696e626f32c11ce57ca
2012,oesm12st.zip,state_M2012_dl.xls,Colorado statewide,769,a00c02767b909e8813a9c3c8b4339eb0cb2182ec0cd666ff23b5ced5792c837d
2013,oesm13st.zip,state_M2013_dl.xls,Colorado statewide,773,89bf08339bafdd11861a9dddc2d28b56ee3dcf881da1430149060e57ccf67f0d
2014,oesm14st.zip,state_M2014_dl.xlsx,Colorado statewide,773,26b0fa99e37db873112cc3a1b1d02e5aadaa44deec2e8517ebbb06492bf580ad
2015,oesm15st.zip,state_M2015_dl.xlsx,Colorado statewide,771,76fe0cb8a10397c79f19c4b197e8a9e6acc82d9fb9ef005f1521ef5112298f25
2016,oesm16st.zip,state_M2016_dl.xlsx,Colorado statewide,769,a53bd9c45786b5f7a8e253a71b3e71ba5a76768ac265de5cf52d351b050e27c5
2017,oesm17st.zip,state_M2017_dl.xlsx,Colorado statewide,756,4ac7aab4272b93e2cc4105a649f0225bbf18f5434a216273a14101b977f116ee
2018,oesm18st.zip,state_M2018_dl.xlsx,Colorado statewide,756,b5b0e2b8825149eaae85dc3a741f4e1d8d33dd73232ba80785f9d5c0c2f0b2da
2019,oesm19st.zip,state_M2019_dl.xlsx,Colorado,745,d121e196beb40053241c02a1f264b459958cf35096e07940c866e68eea971388
2020,oesm20st.zip,state_M2020_dl.xlsx,Colorado,742,fc2d2cd6684f6b1f342a69631efb8d6c8ef375c495c17ccba78e7b05c48ae5dc
2021,oesm21st.zip,state_M2021_dl.xlsx,Colorado,785,a4397cb1524512c21ca900dcc25d6a21d2b6342031efb746494ffd7ffc6c6941
2022,oesm22st.zip,state_M2022_dl.xlsx,Colorado,773,5d1fdf7bd2d011f092df86995e389f83bc958211145b0080f6582e319a8508eb
2023,oesm23st.zip,state_M2023_dl.xlsx,Colorado,774,e76daf090fc4ea8bd2061839dcc151b7fbee7007d9f602cfd1645a2261e9d887
2024,oesm24st.zip,state_M2024_dl.xlsx,Colorado,765,5b66eb673f120c10fd17824d4d1e8bcf2fba0e6b39122b66404ce42cad5fb816
2025,oesm25st.zip,state_M2025_dl.xlsx,Colorado,773,74d5be0e1df865517d22dc3bd1fc3a8af5f6f9e3052a2163143021505d8e04c6
