year,zip_file,inner_file,area_name,n_rows,sha256
1997,oes97nat.zip,national_1997_dl.xls,US national,828,f6ec458fb6e6ea3d3c7309410d66bbe0ff406be1fb04530cb9a851f4e1b4f73a
1998,oes98nat.zip,national_1998_dl.xls,US national,827,50d0fb025f17cba9769a420828a12cbe458ca8eb22f9883a52b4ca49d931928b
1999,oes99nat.zip,national_1999_dl.xls,US national,731,a27c92a19a0e2fc73f37520798046de5884d441e2c9be8c5a2a717b7ef7dca08
2000,oes00nat.zip,national_2000_dl.xls,US national,733,380f83ad00993367d5ac18305a50da84ad71d2284a5e3b687fe4cbdb136453b8
2001,oes01nat.zip,national_2001_dl.xls,US national,733,78c780e31204043130e3794345da9be49d727c7de8ad033384af9adb352fd40e
2002,oes02nat.zip,national_2002_dl.xls,US national,734,e11a19aca085e0841abb2f72f5e3c2d8d46f19e53fd1ece5c6018e2551247381
2003,oesm03nat.zip,national_may2003_dl.xls,US national,734,29e5b505bd0c6d5e84dba7d1677557541727829b106b9eafe26dab3d2a030278
2004,oesm04nat.zip,national_may2004_dl.xls,US national,823,46767205b4b572638aee38ae91f644bcb3a525804160dbfb3ab158bd6cf6b9b3
2005,oesm05nat.zip,national_may2005_dl.xls,US national,822,8b92f70e3b12d2d7b940bfe10e8611b3ae911d9d101b679e2a46a5c80f0f24a9
2006,oesm06nat.zip,national_may2006_dl.xls,US national,822,a734ee83e7534acb2f09b7c499e6e518a54ffe71b4e29a90218d389bcbd369d3
2007,oesm07nat.zip,national_May2007_dl.xls,US national,823,d99c8c1ebf001890bc1e1ad921c6bc1d1a1f80740a629c99a2a74aa8ef077317
2008,oesm08nat.zip,national__M2008_dl.xls,US national,823,76a8967b13828b665dc1a9fc1d94197f3695d7af74e10b4124d69d7533700fc9
2009,oesm09nat.zip,national_dl.xls,US national,823,c4b17b7c63af64804ac70fef9d61a26ccdd2bed0f65d6582e5168c48516da93f
2010,oesm10nat.zip,national_M2010_dl.xls,US national,819,b5ce9265b5e953036f56b54cc9b26d13acf519d332ae26e6f7354e51913bc5d1
2011,oesm11nat.zip,national_M2011_dl.xls,US national,819,ff2550fdcffb353d0d782cddad90375317c0f923471f8d3c9b19488126f1ecfe
2012,oesm12nat.zip,national_M2012_dl.xls,US national,1394,ffe118450bbcaf3064b456f96740cb9dfa589b01657ba61a3d818b3b0983b787
2013,oesm13nat.zip,national_M2013_dl.xls,US national,1394,c8cc2f501267086ed135bc50535b4123fc5049948948e086b141569c48712e2e
2014,oesm14nat.zip,national_M2014_dl.xlsx,US national,1394,a297661f3f46b0f1d677e705a225e5cbebf908c75a1d560514bb5a3301f95e62
2015,oesm15nat.zip,national_M2015_dl.xlsx,US national,1394,cd82bfc9f3fa9df41099cd88cc1116eee645f5d5c7878c408e97a6dd12cabb0c
2016,oesm16nat.zip,national_M2016_dl.xlsx,US national,1394,af505efc7af5b66aeb642ab8bd4814dc43dde6fe557aff9bb2f957b16199813c
2017,oesm17nat.zip,national_M2017_dl.xlsx,US national,1382,acce9d7c13a2c02f9cc4ebdf1f577b6ca898c766ca3d2d235ef6e7ca1ee42863
2018,oesm18nat.zip,national_M2018_dl.xlsx,US national,1379,7ad399c96360c6abd3977574af958d49582f8dd33372b6d433b31669ddeb156c
2019,oesm19nat.zip,national_M2019_dl.xlsx,U.S.,1329,850891ca753bc0c252756175c72483a126fdf64bc66643bd199c844e3f7de9ff
2020,oesm20nat.zip,national_M2020_dl.xlsx,U.S.,1329,cabe67638fdf72bef9681da9323c95f4b75cc16f8e37cc68fa0189f3bf8b0884
2021,oesm21nat.zip,national_M2021_dl.xlsx,U.S.,1403,83ad09f19e62104a39024d36ed67cae5c3f7d5b42ff165ca656e0e35241bcf31
2022,oesm22nat.zip,national_M2022_dl.xlsx,U.S.,1402,725348e28b50bf6a58b3beed88175efea9ad1235c09d1f498feae5b15c315fd1
2023,oesm23nat.zip,national_M2023_dl.xlsx,U.S.,1403,8ce5e8277c3ba68a19f468fec9b4da21170593d5ad9693a813f1afc04c80efa2
2024,oesm24nat.zip,national_M2024_dl.xlsx,U.S.,1403,5fa368aa034ca784f0a4f67f0f1bac67072c5a07992ac3e3de92db10a2821043
2025,oesm25nat.zip,national_M2025_dl.xlsx,U.S.,1401,b5855a37f3e03e779f6fbf173d3bbc94aeeff33426aef32fa95ce6d025bab1af
