area,naics,naics_name,year,estabs,employment,total_wages,avg_annual_wage
Boulder County,722511,Full-service restaurants,2018,342.0,9035.0,221483333.0,24513.927282789155
Boulder County,7225,All restaurants/eating places,2018,745.0,15636.0,340970332.0,21806.74929649527
Boulder County,722511,Full-service restaurants,2019,333.0,8715.0,225101585.0,25829.212277682156
Boulder County,7225,All restaurants/eating places,2019,726.0,15290.0,352866186.0,23078.233224329626
Boulder County,722511,Full-service restaurants,2020,331.0,5714.0,151207981.0,26462.71981099055
Boulder County,7225,All restaurants/eating places,2020,720.0,11698.0,273835623.0,23408.755599247736
Boulder County,722511,Full-service restaurants,2021,329.0,6629.0,202402797.0,30532.93060793483
Boulder County,7225,All restaurants/eating places,2021,733.0,13334.0,349027835.0,26175.778836058198
Boulder County,722511,Full-service restaurants,2022,336.0,7664.0,241068009.0,31454.594076200417
Boulder County,7225,All restaurants/eating places,2022,735.0,14628.0,403943034.0,27614.372026251025
Boulder County,722511,Full-service restaurants,2023,348.0,7807.0,262940481.0,33680.092353016524
Boulder County,7225,All restaurants/eating places,2023,749.0,14732.0,433109341.0,29399.2221694271
Boulder County,722511,Full-service restaurants,2024,337.0,7601.0,265857514.0,34976.649651361666
Boulder County,7225,All restaurants/eating places,2024,732.0,14030.0,428929773.0,30572.328795438345
Boulder County,722511,Full-service restaurants,2025,328.0,7270.0,266268766.0,36625.689958734525
Boulder County,7225,All restaurants/eating places,2025,729.0,13671.0,433356062.0,31698.92926633019
Colorado,722511,Full-service restaurants,2018,4803.0,115099.0,2834824287.0,24629.443235823073
Colorado,7225,All restaurants/eating places,2018,10432.0,214466.0,4626683974.0,21573.041759532978
Colorado,722511,Full-service restaurants,2019,4871.0,115075.0,2995243902.0,26028.623958288073
Colorado,7225,All restaurants/eating places,2019,10593.0,216402.0,4944586149.0,22849.07786896609
Colorado,722511,Full-service restaurants,2020,4916.0,84411.0,2278439032.0,26992.205186527823
Colorado,7225,All restaurants/eating places,2020,10702.0,179756.0,4261505044.0,23707.16440063197
Colorado,722511,Full-service restaurants,2021,4948.0,98081.0,3052155032.0,31118.718528563128
Colorado,7225,All restaurants/eating places,2021,10824.0,200751.0,5351774410.0,26658.768374752803
Colorado,722511,Full-service restaurants,2022,5010.0,108086.0,3616010391.0,33454.937651499735
Colorado,7225,All restaurants/eating places,2022,11050.0,216124.0,6212934370.0,28747.082091762135
Colorado,722511,Full-service restaurants,2023,5085.0,110028.0,3836666130.0,34869.9070236667
Colorado,7225,All restaurants/eating places,2023,11453.0,220737.0,6658602512.0,30165.321228430214
Colorado,722511,Full-service restaurants,2024,4896.0,108721.0,3888987962.0,35770.34760533844
Colorado,7225,All restaurants/eating places,2024,11250.0,218257.0,6784378425.0,31084.3566300279
Colorado,722511,Full-service restaurants,2025,4792.0,106321.0,3930346427.0,36966.79326755768
Colorado,7225,All restaurants/eating places,2025,11152.0,214775.0,6882512348.0,32045.221035967872
United States,722511,Full-service restaurants,2018,247140.0,5457827.0,119695448389.0,21930.971500012733
United States,7225,All restaurants/eating places,2018,559161.0,10713435.0,207011372120.0,19322.595611958255
United States,722511,Full-service restaurants,2019,250056.0,5477630.0,125305418935.0,22875.84574624427
United States,7225,All restaurants/eating places,2019,569841.0,10844234.0,218448034832.0,20144.164616145317
United States,722511,Full-service restaurants,2020,249429.0,4023646.0,92151128008.0,22902.39449693139
United States,7225,All restaurants/eating places,2020,571679.0,8930329.0,182771509783.0,20466.380329660868
United States,722511,Full-service restaurants,2021,251878.0,4610687.0,123468773633.0,26778.82355340972
United States,7225,All restaurants/eating places,2021,580344.0,9787492.0,228408644376.0,23336.789892242057
United States,722511,Full-service restaurants,2022,257560.0,5134208.0,146963203839.0,28624.31826661483
United States,7225,All restaurants/eating places,2022,596343.0,10587807.0,264908362201.0,25020.135161228383
United States,722511,Full-service restaurants,2023,262155.0,5331268.0,158462581696.0,29723.244394391728
United States,7225,All restaurants/eating places,2023,610970.0,10954238.0,285878153453.0,26097.493358552187
United States,722511,Full-service restaurants,2024,264208.0,5348875.0,163583958355.0,30582.871791731905
United States,7225,All restaurants/eating places,2024,619919.0,10994800.0,297966718066.0,27100.69469803907
United States,722511,Full-service restaurants,2025,266153.0,5336036.0,167575857623.0,31404.559044016944
United States,7225,All restaurants/eating places,2025,629625.0,10997883.0,305784742959.0,27803.963995525322
