year,budget_total,budget_total_basis,budget_operating,budget_operating_basis,budget_capital,budget_capital_basis,budget_general_fund,budget_general_fund_basis,budget_general_fund_revenue,budget_general_fund_revenue_basis,staffing_fte,staffing_fte_basis,staffing_fte_standard,staffing_fte_standard_basis,salesuse_total,salesuse_total_basis,property_tax_revenue,property_tax_revenue_basis,gap_general_fund,gap_general_fund_basis
2003,,,,,,,,,87.252,actual,,,1290.69,adopted,,,,,,
2004,188.145,adopted,,,,,,,77.962,adopted,,,1200.68,adopted,,,,,,
2005,196.167,adopted,167.059,adopted,29.108,adopted,,,80.091,adopted,,,1212.11,adopted,,,,,,
2006,200.1,adopted,170.647,adopted,29.453,adopted,,,82.637,adopted,,,1218.84,adopted,,,,,,
2007,,,,,,,89.65,adopted,,,,,1251.34,adopted,,,,,,
2008,237.781,adopted,200.487,adopted,37.294,adopted,94.238,adopted,,,,,1281.17,adopted,,,,,,
2009,,,,,,,,,104.02,actual,,,1288.52,adopted,,,,,,
2010,,,,,,,96.713,adopted,96.746,adopted,,,1248.24,adopted,,,,,,
2011,231.03,adopted,,,,,100.449,adopted,99.761,adopted,,,1228.5,adopted,,,,,,
2012,238.96,adopted,214.979,adopted,23.981,adopted,104.234,adopted,104.299,adopted,,,,,,,,,,
2013,255.0,adopted,,,,,,,109.752,adopted,,,,,,,,,,
2014,269.496,adopted,227.45,adopted,42.046,adopted,115.684,adopted,,,,,,,,,,,,
2015,319.096,adopted,250.444,adopted,68.652,adopted,128.483,adopted,,,,,,,,,,,,
2016,327.699,adopted,254.395,adopted,73.304,adopted,132.268,adopted,,,1419.0,adopted,,,,,,,,
2017,321.866,adopted,260.677,adopted,61.189,adopted,139.792,adopted,,,,,,,,,,,,
2018,389.2,adopted,277.6,adopted,,,146.321,adopted,,,1451.0,adopted,,,,,,,,
2019,353.7,adopted,283.2,adopted,,,,,,,,,,,,,,,,
2020,369.7,adopted,288.9,adopted,,,,,,,,,,,,,,,,
2021,341.7,adopted,272.3,adopted,,,,,,,1375.83,adopted,,,,,,,,
2022,462.5,adopted,300.1,adopted,162.4,adopted,,,,,1460.71,adopted,,,169.11,actual,,,,
2023,515.4,adopted,354.6,adopted,160.8,adopted,,,,,1540.09,adopted,,,175.52,actual,48.74,actual,,
2024,515.4,adopted,374.2,adopted,141.2,adopted,196.2,adopted,,,,,,,173.9,actual,60.63,actual,,
2025,589.3,adopted,399.3,adopted,189.9,adopted,211.0,derived,,,1539.1,adopted,,,178.75,actual,57.58,actual,,
2026,521.0,adopted,407.7,adopted,113.3,adopted,194.5,adopted,,,1548.28,adopted,,,179.64,adopted,59.17,adopted,7.5,identified
2027,552.6,recommended,417.24,recommended,135.36,recommended,200.5,recommended,,,,,,,,,,,6.3,recommended
