year,measure,basis,value,unit,source_id
2022,salesuse_audits_sales,actual,0.08,musd,forecast2026
2022,salesuse_audits_use,actual,0.55,musd,forecast2026
2022,salesuse_construction_use,actual,12.91,musd,forecast2026
2022,salesuse_consumer_business_use,actual,12.11,musd,forecast2026
2022,salesuse_motor_vehicle_use,actual,6.07,musd,forecast2026
2022,salesuse_rec_marijuana_addl,actual,1.71,musd,forecast2026
2022,salesuse_retail,actual,135.68,musd,forecast2026
2022,salesuse_total,actual,169.11,musd,forecast2026
2023,budget_capital,adopted,160.8,musd,forecast2026
2023,budget_operating,adopted,354.6,musd,forecast2026
2023,budget_total,adopted,515.4,musd,forecast2026
2023,property_assessed_value,actual,4227,musd,forecast2026
2023,property_tax_revenue,actual,48.74,musd,forecast2026
2023,salesuse_audits_sales,actual,1.62,musd,forecast2026
2023,salesuse_audits_use,actual,1.5,musd,forecast2026
2023,salesuse_construction_use,actual,16.54,musd,forecast2026
2023,salesuse_consumer_business_use,actual,10.29,musd,forecast2026
2023,salesuse_motor_vehicle_use,actual,6.45,musd,forecast2026
2023,salesuse_rec_marijuana_addl,actual,1.39,musd,forecast2026
2023,salesuse_retail,actual,137.73,musd,forecast2026
2023,salesuse_total,actual,175.52,musd,forecast2026
2024,budget_capital,adopted,141.2,musd,forecast2026
2024,budget_general_fund,adopted,196.2,musd,forecast2026
2024,budget_operating,adopted,374.2,musd,forecast2026
2024,budget_total,adopted,515.4,musd,forecast2026
2024,property_assessed_value,actual,5095,musd,forecast2026
2024,property_tax_revenue,actual,60.63,musd,forecast2026
2024,salesuse_audits_sales,actual,2.12,musd,forecast2026
2024,salesuse_audits_use,actual,0.64,musd,forecast2026
2024,salesuse_component_residual,actual,0.01,musd,forecast2026
2024,salesuse_construction_use,actual,14.92,musd,forecast2026
2024,salesuse_consumer_business_use,actual,9.84,musd,forecast2026
2024,salesuse_motor_vehicle_use,actual,5.97,musd,forecast2026
2024,salesuse_rec_marijuana_addl,actual,1.18,musd,forecast2026
2024,salesuse_retail,actual,139.24,musd,forecast2026
2024,salesuse_total,actual,173.9,musd,forecast2026
2025,budget_capital,adopted,189.9,musd,forecast2026
2025,budget_general_fund,derived,211.0,musd,forecast2026
2025,budget_operating,adopted,399.3,musd,forecast2026
2025,budget_total,adopted,589.3,musd,forecast2026
2025,gap_general_fund_high,identified,10.0,musd,forecast2026
2025,gap_general_fund_low,identified,8.0,musd,forecast2026
2025,property_assessed_value,actual,5091,musd,forecast2026
2025,property_assessed_value,adopted,5004,musd,forecast2026
2025,property_tax_revenue,actual,57.58,musd,forecast2026
2025,property_tax_revenue,adopted,57.12,musd,forecast2026
2025,salesuse_audits_sales,actual,1.58,musd,forecast2026
2025,salesuse_audits_sales,adopted,1.28,musd,forecast2026
2025,salesuse_audits_sales,revised_projection,1.28,musd,forecast2026
2025,salesuse_audits_use,actual,1.2,musd,forecast2026
2025,salesuse_component_residual,actual,0.01,musd,forecast2026
2025,salesuse_component_residual,adopted,0.01,musd,forecast2026
2025,salesuse_component_residual,revised_projection,-0.02,musd,forecast2026
2025,salesuse_construction_use,actual,18.12,musd,forecast2026
2025,salesuse_construction_use,adopted,14.31,musd,forecast2026
2025,salesuse_construction_use,revised_projection,12.7,musd,forecast2026
2025,salesuse_consumer_business_use,actual,9.82,musd,forecast2026
2025,salesuse_consumer_business_use,adopted,11.93,musd,forecast2026
2025,salesuse_consumer_business_use,revised_projection,13.8,musd,forecast2026
2025,salesuse_motor_vehicle_use,actual,6.14,musd,forecast2026
2025,salesuse_motor_vehicle_use,adopted,6.65,musd,forecast2026
2025,salesuse_motor_vehicle_use,revised_projection,6.47,musd,forecast2026
2025,salesuse_rec_marijuana_addl,actual,1.0,musd,forecast2026
2025,salesuse_rec_marijuana_addl,adopted,1.15,musd,forecast2026
2025,salesuse_rec_marijuana_addl,revised_projection,1.0,musd,forecast2026
2025,salesuse_retail,actual,140.9,musd,forecast2026
2025,salesuse_retail,adopted,144.86,musd,forecast2026
2025,salesuse_retail,revised_projection,141.57,musd,forecast2026
2025,salesuse_total,actual,178.75,musd,forecast2026
2025,salesuse_total,adopted,180.17,musd,forecast2026
2025,salesuse_total,revised_projection,176.84,musd,forecast2026
2026,budget_capital,adopted,113.3,musd,forecast2026
2026,budget_general_fund,adopted,194.5,musd,forecast2026
2026,budget_operating,adopted,407.7,musd,forecast2026
2026,budget_total,adopted,521.0,musd,forecast2026
2026,gap_general_fund,identified,7.5,musd,forecast2026
2026,positions_eliminated,adopted,19,fte,rec2026
2026,property_assessed_value,adopted,5184,musd,forecast2026
2026,property_assessed_value,revised_projection,5022,musd,forecast2026
2026,property_mill_levy,adopted,11.648,mills,forecast2026
2026,property_tax_revenue,adopted,59.17,musd,forecast2026
2026,property_tax_revenue,revised_projection,57.33,musd,forecast2026
2026,reserve_policy_pct_of_operating,policy,16.7,pct,forecast2026
2026,revenue_accommodation_admission_tax,recommended,12.863745,musd,rec2026
2026,revenue_development_impact_fees,recommended,27.764864,musd,rec2026
2026,revenue_grants,recommended,10.920529,musd,rec2026
2026,revenue_intergovernmental,recommended,18.774158,musd,rec2026
2026,revenue_investment_earnings_bonds,recommended,16.841629,musd,rec2026
2026,revenue_licenses_permits_fines,recommended,19.857913,musd,rec2026
2026,revenue_other_grouped,recommended,50.582397,musd,rec2026
2026,revenue_parking,recommended,10.776877,musd,rec2026
2026,revenue_property_tax,recommended,61.732059,musd,rec2026
2026,revenue_sales_use_tax,recommended,179.640471,musd,rec2026
2026,revenue_total,recommended,507.2,musd,rec2026
2026,revenue_utility,recommended,97.44453,musd,rec2026
2026,salesuse_audits_sales,adopted,1.46,musd,forecast2026
2026,salesuse_audits_sales,forecast,1.49,musd,forecast2026
2026,salesuse_component_residual,forecast,0.04,musd,forecast2026
2026,salesuse_construction_use,adopted,10.66,musd,forecast2026
2026,salesuse_construction_use,forecast,13.78,musd,forecast2026
2026,salesuse_consumer_business_use,adopted,12.67,musd,forecast2026
2026,salesuse_consumer_business_use,forecast,14.63,musd,forecast2026
2026,salesuse_motor_vehicle_use,adopted,6.5,musd,forecast2026
2026,salesuse_motor_vehicle_use,forecast,7.89,musd,forecast2026
2026,salesuse_rec_marijuana_addl,adopted,1.0,musd,forecast2026
2026,salesuse_rec_marijuana_addl,forecast,1.0,musd,forecast2026
2026,salesuse_retail,adopted,147.35,musd,forecast2026
2026,salesuse_retail,forecast,139.96,musd,forecast2026
2026,salesuse_total,adopted,179.64,musd,forecast2026
2026,salesuse_total,forecast,178.71,musd,forecast2026
2026,yoy_general_fund_pct,adopted,-7.8,pct,forecast2026
2026,yoy_operating_pct,adopted,2.1,pct,forecast2026
2027,budget_capital,recommended,135.36,musd,rec2027
2027,budget_general_fund,recommended,200.5,musd,rec2027
2027,budget_operating,recommended,417.24,musd,rec2027
2027,budget_total,recommended,552.6,musd,rec2027
2027,gap_general_fund,forecast,6.5,musd,forecast2026
2027,gap_general_fund,recommended,6.3,musd,rec2027
2027,positions_added,recommended,11.5,fte,glance2027
2027,positions_eliminated,recommended,24,fte,rec2027
2027,positions_eliminated_filled,recommended,13,fte,rec2027
2027,positions_eliminated_vacant,recommended,11,fte,rec2027
2027,positions_frozen_to_2028,recommended,8.5,fte,glance2027
2027,positions_term_limited_ending,recommended,12,fte,rec2027
2027,staffing_savings,recommended,3.0,musd,brl2027
2027,yoy_capital_pct,recommended,19.47,pct,glance2027
2027,yoy_general_fund_pct,recommended,3.09,pct,brl2027
2027,yoy_operating_pct,recommended,2.3,pct,glance2027
2027,yoy_total_pct,recommended,6.07,pct,glance2027
