county_fips,year,age_group,age_lo,age_hi,pop
01089,1990,0-4,0,4,17462
01089,1990,5-9,5,9,16650
01089,1990,10-14,10,14,15485
01089,1990,15-17,15,17,9158
01089,1990,18-19,18,19,8162
01089,1990,20-24,20,24,19443
01089,1990,25-29,25,29,24547
01089,1990,30-34,30,34,23104
01089,1990,35-39,35,39,18660
01089,1990,40-44,40,44,16770
01089,1990,45-49,45,49,14005
01089,1990,50-54,50,54,12953
01089,1990,55-59,55,59,11814
01089,1990,60-64,60,64,9309
01089,1990,65-69,65,69,7986
01089,1990,70-74,70,74,5439
01089,1990,75-79,75,79,3775
01089,1990,80-84,80,84,2406
01089,1990,85+,85,999,1784
01089,2000,0-4,0,4,18800
01089,2000,5-9,5,9,20194
01089,2000,10-14,10,14,20298
01089,2000,15-17,15,17,11495
01089,2000,18-19,18,19,8351
01089,2000,20-24,20,24,17625
01089,2000,25-29,25,29,18060
01089,2000,30-34,30,34,20069
01089,2000,35-39,35,39,25148
01089,2000,40-44,40,44,23901
01089,2000,45-49,45,49,19775
01089,2000,50-54,50,54,17441
01089,2000,55-59,55,59,13735
01089,2000,60-64,60,64,11793
01089,2000,65-69,65,69,10137
01089,2000,70-74,70,74,7668
01089,2000,75-79,75,79,5883
01089,2000,80-84,80,84,3616
01089,2000,85+,85,999,2711
01089,2010,0-4,0,4,20869
01089,2010,5-9,5,9,21285
01089,2010,10-14,10,14,22834
01089,2010,15-17,15,17,14502
01089,2010,18-19,18,19,10275
01089,2010,20-24,20,24,24321
01089,2010,25-29,25,29,23246
01089,2010,30-34,30,34,20712
01089,2010,35-39,35,39,21103
01089,2010,40-44,40,44,23254
01089,2010,45-49,45,49,28126
01089,2010,50-54,50,54,25690
01089,2010,55-59,55,59,20576
01089,2010,60-64,60,64,17145
01089,2010,65-69,65,69,12792
01089,2010,70-74,70,74,10359
01089,2010,75-79,75,79,8034
01089,2010,80-84,80,84,5250
01089,2010,85+,85,999,4438
01089,2020,0-4,0,4,21560
01089,2020,5-9,5,9,23057
01089,2020,10-14,10,14,24694
01089,2020,15-17,15,17,14699
01089,2020,18-19,18,19,11526
01089,2020,20-24,20,24,28404
01089,2020,25-29,25,29,26974
01089,2020,30-34,30,34,26268
01089,2020,35-39,35,39,25305
01089,2020,40-44,40,44,22676
01089,2020,45-49,45,49,23267
01089,2020,50-54,50,54,25083
01089,2020,55-59,55,59,28993
01089,2020,60-64,60,64,25433
01089,2020,65-69,65,69,19372
01089,2020,70-74,70,74,15597
01089,2020,75-79,75,79,10648
01089,2020,80-84,80,84,7622
01089,2020,85+,85,999,6975
04013,1990,0-4,0,4,170182
04013,1990,5-9,5,9,159595
04013,1990,10-14,10,14,143550
04013,1990,15-17,15,17,82464
04013,1990,18-19,18,19,62425
04013,1990,20-24,20,24,164561
04013,1990,25-29,25,29,199380
04013,1990,30-34,30,34,193788
04013,1990,35-39,35,39,167557
04013,1990,40-44,40,44,147121
04013,1990,45-49,45,49,114248
04013,1990,50-54,50,54,89632
04013,1990,55-59,55,59,80724
04013,1990,60-64,60,64,81617
04013,1990,65-69,65,69,85539
04013,1990,70-74,70,74,71088
04013,1990,75-79,75,79,53735
04013,1990,80-84,80,84,32747
04013,1990,85+,85,999,22148
04013,2000,0-4,0,4,241974
04013,2000,5-9,5,9,238222
04013,2000,10-14,10,14,222056
04013,2000,15-17,15,17,125751
04013,2000,18-19,18,19,88921
04013,2000,20-24,20,24,224444
04013,2000,25-29,25,29,246693
04013,2000,30-34,30,34,241636
04013,2000,35-39,35,39,247666
04013,2000,40-44,40,44,228241
04013,2000,45-49,45,49,194504
04013,2000,50-54,50,54,171960
04013,2000,55-59,55,59,133812
04013,2000,60-64,60,64,107290
04013,2000,65-69,65,69,97276
04013,2000,70-74,70,74,91540
04013,2000,75-79,75,79,78372
04013,2000,80-84,80,84,51664
04013,2000,85+,85,999,40127
04013,2010,0-4,0,4,282770
04013,2010,5-9,5,9,282709
04013,2010,10-14,10,14,277228
04013,2010,15-17,15,17,165154
04013,2010,18-19,18,19,111745
04013,2010,20-24,20,24,266872
04013,2010,25-29,25,29,276704
04013,2010,30-34,30,34,264422
04013,2010,35-39,35,39,265969
04013,2010,40-44,40,44,258629
04013,2010,45-49,45,49,261506
04013,2010,50-54,50,54,242459
04013,2010,55-59,55,59,208461
04013,2010,60-64,60,64,189848
04013,2010,65-69,65,69,146175
04013,2010,70-74,70,74,109213
04013,2010,75-79,75,79,84208
04013,2010,80-84,80,84,63991
04013,2010,85+,85,999,59054
04013,2020,0-4,0,4,253703
04013,2020,5-9,5,9,286358
04013,2020,10-14,10,14,312706
04013,2020,15-17,15,17,185415
04013,2020,18-19,18,19,123902
04013,2020,20-24,20,24,306578
04013,2020,25-29,25,29,311419
04013,2020,30-34,30,34,300713
04013,2020,35-39,35,39,290948
04013,2020,40-44,40,44,274238
04013,2020,45-49,45,49,273144
04013,2020,50-54,50,54,266072
04013,2020,55-59,55,59,269283
04013,2020,60-64,60,64,252303
04013,2020,65-69,65,69,221501
04013,2020,70-74,70,74,197221
04013,2020,75-79,75,79,135475
04013,2020,80-84,80,84,83497
04013,2020,85+,85,999,76092
06001,1990,0-4,0,4,95932
06001,1990,5-9,5,9,86780
06001,1990,10-14,10,14,76291
06001,1990,15-17,15,17,44402
06001,1990,18-19,18,19,36552
06001,1990,20-24,20,24,106856
06001,1990,25-29,25,29,123754
06001,1990,30-34,30,34,127536
06001,1990,35-39,35,39,116370
06001,1990,40-44,40,44,103031
06001,1990,45-49,45,49,74825
06001,1990,50-54,50,54,56679
06001,1990,55-59,55,59,48076
06001,1990,60-64,60,64,46318
06001,1990,65-69,65,69,45040
06001,1990,70-74,70,74,34231
06001,1990,75-79,75,79,26267
06001,1990,80-84,80,84,16357
06001,1990,85+,85,999,13885
06001,2000,0-4,0,4,98378
06001,2000,5-9,5,9,104648
06001,2000,10-14,10,14,96769
06001,2000,15-17,15,17,54777
06001,2000,18-19,18,19,37671
06001,2000,20-24,20,24,100745
06001,2000,25-29,25,29,116926
06001,2000,30-34,30,34,124147
06001,2000,35-39,35,39,128426
06001,2000,40-44,40,44,120280
06001,2000,45-49,45,49,106589
06001,2000,50-54,50,54,93929
06001,2000,55-59,55,59,65207
06001,2000,60-64,60,64,47658
06001,2000,65-69,65,69,39419
06001,2000,70-74,70,74,36280
06001,2000,75-79,75,79,31885
06001,2000,80-84,80,84,21184
06001,2000,85+,85,999,18823
06001,2010,0-4,0,4,97652
06001,2010,5-9,5,9,94546
06001,2010,10-14,10,14,91070
06001,2010,15-17,15,17,57353
06001,2010,18-19,18,19,43041
06001,2010,20-24,20,24,107049
06001,2010,25-29,25,29,113597
06001,2010,30-34,30,34,114607
06001,2010,35-39,35,39,115275
06001,2010,40-44,40,44,112216
06001,2010,45-49,45,49,114111
06001,2010,50-54,50,54,108506
06001,2010,55-59,55,59,94648
06001,2010,60-64,60,64,78854
06001,2010,65-69,65,69,52663
06001,2010,70-74,70,74,37774
06001,2010,75-79,75,79,29185
06001,2010,80-84,80,84,23391
06001,2010,85+,85,999,24733
06001,2020,0-4,0,4,89533
06001,2020,5-9,5,9,96179
06001,2020,10-14,10,14,99955
06001,2020,15-17,15,17,58298
06001,2020,18-19,18,19,44870
06001,2020,20-24,20,24,108699
06001,2020,25-29,25,29,125032
06001,2020,30-34,30,34,142392
06001,2020,35-39,35,39,137017
06001,2020,40-44,40,44,120348
06001,2020,45-49,45,49,113018
06001,2020,50-54,50,54,106473
06001,2020,55-59,55,59,104868
06001,2020,60-64,60,64,95188
06001,2020,65-69,65,69,79498
06001,2020,70-74,70,74,64033
06001,2020,75-79,75,79,41338
06001,2020,80-84,80,84,26717
06001,2020,85+,85,999,28897
06037,1990,0-4,0,4,736285
06037,1990,5-9,5,9,647729
06037,1990,10-14,10,14,585318
06037,1990,15-17,15,17,356778
06037,1990,18-19,18,19,281301
06037,1990,20-24,20,24,807735
06037,1990,25-29,25,29,899632
06037,1990,30-34,30,34,858167
06037,1990,35-39,35,39,731427
06037,1990,40-44,40,44,605242
06037,1990,45-49,45,49,468460
06037,1990,50-54,50,54,376895
06037,1990,55-59,55,59,331664
06037,1990,60-64,60,64,315944
06037,1990,65-69,65,69,289634
06037,1990,70-74,70,74,217819
06037,1990,75-79,75,79,164636
06037,1990,80-84,80,84,103071
06037,1990,85+,85,999,85427
06037,2000,0-4,0,4,737631
06037,2000,5-9,5,9,802047
06037,2000,10-14,10,14,723652
06037,2000,15-17,15,17,404646
06037,2000,18-19,18,19,278820
06037,2000,20-24,20,24,701837
06037,2000,25-29,25,29,779031
06037,2000,30-34,30,34,802691
06037,2000,35-39,35,39,790224
06037,2000,40-44,40,44,727254
06037,2000,45-49,45,49,624484
06037,2000,50-54,50,54,524128
06037,2000,55-59,55,59,389457
06037,2000,60-64,60,64,306763
06037,2000,65-69,65,69,258176
06037,2000,70-74,70,74,234657
06037,2000,75-79,75,79,198147
06037,2000,80-84,80,84,126546
06037,2000,85+,85,999,109147
06037,2010,0-4,0,4,645793
06037,2010,5-9,5,9,633690
06037,2010,10-14,10,14,678845
06037,2010,15-17,15,17,443880
06037,2010,18-19,18,19,309750
06037,2010,20-24,20,24,752788
06037,2010,25-29,25,29,759602
06037,2010,30-34,30,34,716129
06037,2010,35-39,35,39,715635
06037,2010,40-44,40,44,714691
06037,2010,45-49,45,49,706742
06037,2010,50-54,50,54,662205
06037,2010,55-59,55,59,560920
06037,2010,60-64,60,64,452236
06037,2010,65-69,65,69,323287
06037,2010,70-74,70,74,245183
06037,2010,75-79,75,79,192881
06037,2010,80-84,80,84,152722
06037,2010,85+,85,999,151626
06037,2020,0-4,0,4,501341
06037,2020,5-9,5,9,558298
06037,2020,10-14,10,14,618897
06037,2020,15-17,15,17,375682
06037,2020,18-19,18,19,267343
06037,2020,20-24,20,24,716562
06037,2020,25-29,25,29,806522
06037,2020,30-34,30,34,785157
06037,2020,35-39,35,39,722012
06037,2020,40-44,40,44,663959
06037,2020,45-49,45,49,656712
06037,2020,50-54,50,54,660660
06037,2020,55-59,55,59,642219
06037,2020,60-64,60,64,584695
06037,2020,65-69,65,69,479190
06037,2020,70-74,70,74,370374
06037,2020,75-79,75,79,250120
06037,2020,80-84,80,84,171194
06037,2020,85+,85,999,183072
06059,1990,0-4,0,4,184873
06059,1990,5-9,5,9,163897
06059,1990,10-14,10,14,146750
06059,1990,15-17,15,17,93783
06059,1990,18-19,18,19,75969
06059,1990,20-24,20,24,224420
06059,1990,25-29,25,29,250919
06059,1990,30-34,30,34,234686
06059,1990,35-39,35,39,198681
06059,1990,40-44,40,44,178276
06059,1990,45-49,45,49,142579
06059,1990,50-54,50,54,113022
06059,1990,55-59,55,59,96284
06059,1990,60-64,60,64,85304
06059,1990,65-69,65,69,75699
06059,1990,70-74,70,74,54151
06059,1990,75-79,75,79,40859
06059,1990,80-84,80,84,27277
06059,1990,85+,85,999,23127
06059,2000,0-4,0,4,216014
06059,2000,5-9,5,9,231928
06059,2000,10-14,10,14,204119
06059,2000,15-17,15,17,116358
06059,2000,18-19,18,19,78185
06059,2000,20-24,20,24,189996
06059,2000,25-29,25,29,223285
06059,2000,30-34,30,34,243039
06059,2000,35-39,35,39,248646
06059,2000,40-44,40,44,228643
06059,2000,45-49,45,49,191974
06059,2000,50-54,50,54,168765
06059,2000,55-59,55,59,128152
06059,2000,60-64,60,64,96422
06059,2000,65-69,65,69,79157
06059,2000,70-74,70,74,69545
06059,2000,75-79,75,79,59578
06059,2000,80-84,80,84,38389
06059,2000,85+,85,999,34094
06059,2010,0-4,0,4,191691
06059,2010,5-9,5,9,198769
06059,2010,10-14,10,14,210195
06059,2010,15-17,15,17,136004
06059,2010,18-19,18,19,91685
06059,2010,20-24,20,24,213601
06059,2010,25-29,25,29,215362
06059,2010,30-34,30,34,198166
06059,2010,35-39,35,39,213605
06059,2010,40-44,40,44,225438
06059,2010,45-49,45,49,230596
06059,2010,50-54,50,54,213589
06059,2010,55-59,55,59,175127
06059,2010,60-64,60,64,146727
06059,2010,65-69,65,69,107421
06059,2010,70-74,70,74,80033
06059,2010,75-79,75,79,63133
06059,2010,80-84,80,84,49570
06059,2010,85+,85,999,49520
06059,2020,0-4,0,4,156601
06059,2020,5-9,5,9,179099
06059,2020,10-14,10,14,203858
06059,2020,15-17,15,17,127773
06059,2020,18-19,18,19,90965
06059,2020,20-24,20,24,226004
06059,2020,25-29,25,29,226922
06059,2020,30-34,30,34,212443
06059,2020,35-39,35,39,212676
06059,2020,40-44,40,44,202840
06059,2020,45-49,45,49,214150
06059,2020,50-54,50,54,221618
06059,2020,55-59,55,59,216506
06059,2020,60-64,60,64,194430
06059,2020,65-69,65,69,156317
06059,2020,70-74,70,74,128090
06059,2020,75-79,75,79,91089
06059,2020,80-84,80,84,61225
06059,2020,85+,85,999,64383
06083,1990,0-4,0,4,26989
06083,1990,5-9,5,9,25033
06083,1990,10-14,10,14,21367
06083,1990,15-17,15,17,12498
06083,1990,18-19,18,19,15182
06083,1990,20-24,20,24,38880
06083,1990,25-29,25,29,33923
06083,1990,30-34,30,34,33355
06083,1990,35-39,35,39,29353
06083,1990,40-44,40,44,24365
06083,1990,45-49,45,49,18518
06083,1990,50-54,50,54,15752
06083,1990,55-59,55,59,14438
06083,1990,60-64,60,64,14340
06083,1990,65-69,65,69,14375
06083,1990,70-74,70,74,11292
06083,1990,75-79,75,79,8801
06083,1990,80-84,80,84,6028
06083,1990,85+,85,999,5119
06083,2000,0-4,0,4,26008
06083,2000,5-9,5,9,29418
06083,2000,10-14,10,14,28031
06083,2000,15-17,15,17,16045
06083,2000,18-19,18,19,16005
06083,2000,20-24,20,24,37121
06083,2000,25-29,25,29,27597
06083,2000,30-34,30,34,28008
06083,2000,35-39,35,39,30329
06083,2000,40-44,40,44,29829
06083,2000,45-49,45,49,26244
06083,2000,50-54,50,54,22737
06083,2000,55-59,55,59,17053
06083,2000,60-64,60,64,14157
06083,2000,65-69,65,69,12868
06083,2000,70-74,70,74,12470
06083,2000,75-79,75,79,11125
