city,series_id,year,value,county_fips,group
Boulder,ATNHPIUS08013A,1975,16.29,08013,basket
Boulder,ATNHPIUS08013A,1976,18.03,08013,basket
Boulder,ATNHPIUS08013A,1977,21.45,08013,basket
Boulder,ATNHPIUS08013A,1978,25.36,08013,basket
Boulder,ATNHPIUS08013A,1979,29.5,08013,basket
Boulder,ATNHPIUS08013A,1980,31.92,08013,basket
Boulder,ATNHPIUS08013A,1981,33.93,08013,basket
Boulder,ATNHPIUS08013A,1982,38.89,08013,basket
Boulder,ATNHPIUS08013A,1983,38.41,08013,basket
Boulder,ATNHPIUS08013A,1984,39.6,08013,basket
Boulder,ATNHPIUS08013A,1985,40.42,08013,basket
Boulder,ATNHPIUS08013A,1986,41.65,08013,basket
Boulder,ATNHPIUS08013A,1987,42.02,08013,basket
Boulder,ATNHPIUS08013A,1988,42.34,08013,basket
Boulder,ATNHPIUS08013A,1989,43.31,08013,basket
Boulder,ATNHPIUS08013A,1990,44.66,08013,basket
Boulder,ATNHPIUS08013A,1991,46.82,08013,basket
Boulder,ATNHPIUS08013A,1992,50.88,08013,basket
Boulder,ATNHPIUS08013A,1993,57.21,08013,basket
Boulder,ATNHPIUS08013A,1994,64.03,08013,basket
Boulder,ATNHPIUS08013A,1995,69.14,08013,basket
Boulder,ATNHPIUS08013A,1996,71.41,08013,basket
Boulder,ATNHPIUS08013A,1997,74.87,08013,basket
Boulder,ATNHPIUS08013A,1998,78.63,08013,basket
Boulder,ATNHPIUS08013A,1999,85.28,08013,basket
Boulder,ATNHPIUS08013A,2000,100.0,08013,basket
Boulder,ATNHPIUS08013A,2001,110.37,08013,basket
Boulder,ATNHPIUS08013A,2002,114.74,08013,basket
Boulder,ATNHPIUS08013A,2003,114.82,08013,basket
Boulder,ATNHPIUS08013A,2004,117.01,08013,basket
Boulder,ATNHPIUS08013A,2005,122.99,08013,basket
Boulder,ATNHPIUS08013A,2006,125.84,08013,basket
Boulder,ATNHPIUS08013A,2007,127.17,08013,basket
Boulder,ATNHPIUS08013A,2008,128.92,08013,basket
Boulder,ATNHPIUS08013A,2009,127.6,08013,basket
Boulder,ATNHPIUS08013A,2010,125.22,08013,basket
Boulder,ATNHPIUS08013A,2011,122.7,08013,basket
Boulder,ATNHPIUS08013A,2012,124.0,08013,basket
Boulder,ATNHPIUS08013A,2013,129.65,08013,basket
Boulder,ATNHPIUS08013A,2014,141.72,08013,basket
Boulder,ATNHPIUS08013A,2015,155.51,08013,basket
Boulder,ATNHPIUS08013A,2016,175.22,08013,basket
Boulder,ATNHPIUS08013A,2017,189.74,08013,basket
Boulder,ATNHPIUS08013A,2018,203.83,08013,basket
Boulder,ATNHPIUS08013A,2019,211.16,08013,basket
Boulder,ATNHPIUS08013A,2020,213.42,08013,basket
Boulder,ATNHPIUS08013A,2021,235.95,08013,basket
Boulder,ATNHPIUS08013A,2022,277.8,08013,basket
Boulder,ATNHPIUS08013A,2023,282.04,08013,basket
Boulder,ATNHPIUS08013A,2024,289.13,08013,basket
Boulder,ATNHPIUS08013A,2025,288.84,08013,basket
Ann Arbor,ATNHPIUS26161A,1975,22.17,26161,basket
Ann Arbor,ATNHPIUS26161A,1976,22.74,26161,basket
Ann Arbor,ATNHPIUS26161A,1977,27.15,26161,basket
Ann Arbor,ATNHPIUS26161A,1978,33.12,26161,basket
Ann Arbor,ATNHPIUS26161A,1979,37.92,26161,basket
Ann Arbor,ATNHPIUS26161A,1980,39.51,26161,basket
Ann Arbor,ATNHPIUS26161A,1981,41.62,26161,basket
Ann Arbor,ATNHPIUS26161A,1982,37.0,26161,basket
Ann Arbor,ATNHPIUS26161A,1983,38.66,26161,basket
Ann Arbor,ATNHPIUS26161A,1984,38.72,26161,basket
Ann Arbor,ATNHPIUS26161A,1985,39.68,26161,basket
Ann Arbor,ATNHPIUS26161A,1986,42.31,26161,basket
Ann Arbor,ATNHPIUS26161A,1987,46.67,26161,basket
Ann Arbor,ATNHPIUS26161A,1988,52.84,26161,basket
Ann Arbor,ATNHPIUS26161A,1989,58.2,26161,basket
Ann Arbor,ATNHPIUS26161A,1990,60.55,26161,basket
Ann Arbor,ATNHPIUS26161A,1991,62.28,26161,basket
Ann Arbor,ATNHPIUS26161A,1992,63.42,26161,basket
Ann Arbor,ATNHPIUS26161A,1993,63.99,26161,basket
Ann Arbor,ATNHPIUS26161A,1994,66.32,26161,basket
Ann Arbor,ATNHPIUS26161A,1995,70.69,26161,basket
Ann Arbor,ATNHPIUS26161A,1996,74.83,26161,basket
Ann Arbor,ATNHPIUS26161A,1997,80.55,26161,basket
Ann Arbor,ATNHPIUS26161A,1998,84.63,26161,basket
Ann Arbor,ATNHPIUS26161A,1999,90.7,26161,basket
Ann Arbor,ATNHPIUS26161A,2000,100.0,26161,basket
Ann Arbor,ATNHPIUS26161A,2001,105.45,26161,basket
Ann Arbor,ATNHPIUS26161A,2002,110.28,26161,basket
Ann Arbor,ATNHPIUS26161A,2003,113.13,26161,basket
Ann Arbor,ATNHPIUS26161A,2004,117.74,26161,basket
Ann Arbor,ATNHPIUS26161A,2005,122.96,26161,basket
Ann Arbor,ATNHPIUS26161A,2006,120.14,26161,basket
Ann Arbor,ATNHPIUS26161A,2007,112.28,26161,basket
Ann Arbor,ATNHPIUS26161A,2008,103.62,26161,basket
Ann Arbor,ATNHPIUS26161A,2009,95.79,26161,basket
Ann Arbor,ATNHPIUS26161A,2010,91.82,26161,basket
Ann Arbor,ATNHPIUS26161A,2011,90.19,26161,basket
Ann Arbor,ATNHPIUS26161A,2012,90.41,26161,basket
Ann Arbor,ATNHPIUS26161A,2013,96.91,26161,basket
Ann Arbor,ATNHPIUS26161A,2014,105.89,26161,basket
Ann Arbor,ATNHPIUS26161A,2015,111.02,26161,basket
Ann Arbor,ATNHPIUS26161A,2016,116.56,26161,basket
Ann Arbor,ATNHPIUS26161A,2017,125.63,26161,basket
Ann Arbor,ATNHPIUS26161A,2018,134.5,26161,basket
Ann Arbor,ATNHPIUS26161A,2019,140.47,26161,basket
Ann Arbor,ATNHPIUS26161A,2020,142.56,26161,basket
Ann Arbor,ATNHPIUS26161A,2021,154.39,26161,basket
Ann Arbor,ATNHPIUS26161A,2022,173.77,26161,basket
Ann Arbor,ATNHPIUS26161A,2023,186.48,26161,basket
Ann Arbor,ATNHPIUS26161A,2024,197.27,26161,basket
Ann Arbor,ATNHPIUS26161A,2025,205.58,26161,basket
Cambridge,ATNHPIUS25017A,1975,14.83,25017,basket
Cambridge,ATNHPIUS25017A,1976,14.14,25017,basket
Cambridge,ATNHPIUS25017A,1977,15.57,25017,basket
Cambridge,ATNHPIUS25017A,1978,17.97,25017,basket
