county_fips,year,age,pop
08013,1990,0,3227
08013,1990,1,3164
08013,1990,2,3157
08013,1990,3,3161
08013,1990,4,3290
08013,1990,5,3137
08013,1990,6,3074
08013,1990,7,3104
08013,1990,8,2917
08013,1990,9,3094
08013,1990,10,2867
08013,1990,11,2732
08013,1990,12,2623
08013,1990,13,2555
08013,1990,14,2519
08013,1990,15,2497
08013,1990,16,2440
08013,1990,17,2641
08013,1990,18,4087
08013,1990,19,5543
08013,1990,20,5731
08013,1990,21,5557
08013,1990,22,4670
08013,1990,23,3892
08013,1990,24,3601
08013,1990,25,3790
08013,1990,26,4023
08013,1990,27,4166
08013,1990,28,4139
08013,1990,29,4630
08013,1990,30,4722
08013,1990,31,4572
08013,1990,32,4724
08013,1990,33,4700
08013,1990,34,4820
08013,1990,35,4707
08013,1990,36,4630
08013,1990,37,4704
08013,1990,38,4342
08013,1990,39,4387
08013,1990,40,4272
08013,1990,41,4082
08013,1990,42,4050
08013,1990,43,4000
08013,1990,44,3007
08013,1990,45,2968
08013,1990,46,2838
08013,1990,47,2898
08013,1990,48,2311
08013,1990,49,2280
08013,1990,50,2165
08013,1990,51,2078
08013,1990,52,1948
08013,1990,53,1758
08013,1990,54,1746
08013,1990,55,1740
08013,1990,56,1501
08013,1990,57,1496
08013,1990,58,1465
08013,1990,59,1432
08013,1990,60,1369
08013,1990,61,1307
08013,1990,62,1281
08013,1990,63,1243
08013,1990,64,1195
08013,1990,65,1196
08013,1990,66,1147
08013,1990,67,1090
08013,1990,68,1076
08013,1990,69,999
08013,1990,70,916
08013,1990,71,922
08013,1990,72,863
08013,1990,73,790
08013,1990,74,731
08013,1990,75,724
08013,1990,76,693
08013,1990,77,669
08013,1990,78,640
08013,1990,79,610
08013,1990,80,531
08013,1990,81,494
08013,1990,82,440
08013,1990,83,403
08013,1990,84,343
08013,1990,85,1979
08013,2000,0,3427
08013,2000,1,3300
08013,2000,2,3353
08013,2000,3,3274
08013,2000,4,3270
08013,2000,5,3326
08013,2000,6,3319
08013,2000,7,3311
08013,2000,8,3527
08013,2000,9,3591
08013,2000,10,3608
08013,2000,11,3672
08013,2000,12,3612
08013,2000,13,3458
08013,2000,14,3522
08013,2000,15,3583
08013,2000,16,3455
08013,2000,17,3416
08013,2000,18,5112
08013,2000,19,6650
08013,2000,20,6244
08013,2000,21,5615
08013,2000,22,4600
08013,2000,23,4521
08013,2000,24,4550
08013,2000,25,4508
08013,2000,26,4708
08013,2000,27,4393
08013,2000,28,4519
08013,2000,29,4740
08013,2000,30,4778
08013,2000,31,5000
08013,2000,32,4310
08013,2000,33,4158
08013,2000,34,4221
08013,2000,35,4085
08013,2000,36,4474
08013,2000,37,4443
08013,2000,38,4661
08013,2000,39,4672
08013,2000,40,4813
08013,2000,41,4997
08013,2000,42,4768
08013,2000,43,5002
08013,2000,44,4857
08013,2000,45,4821
08013,2000,46,4901
08013,2000,47,4462
08013,2000,48,4641
08013,2000,49,4485
08013,2000,50,4111
08013,2000,51,4160
08013,2000,52,3790
08013,2000,53,3818
08013,2000,54,3739
08013,2000,55,2772
08013,2000,56,2629
08013,2000,57,2560
08013,2000,58,2397
08013,2000,59,2056
08013,2000,60,1947
08013,2000,61,1771
08013,2000,62,1644
08013,2000,63,1559
08013,2000,64,1460
08013,2000,65,1392
08013,2000,66,1213
08013,2000,67,1242
08013,2000,68,1196
08013,2000,69,1084
08013,2000,70,1110
08013,2000,71,995
08013,2000,72,1022
08013,2000,73,962
