fips,year,age,pop
08013,1990,0,3227
08013,1990,1,3164
08013,1990,2,3157
08013,1990,3,3161
08013,1990,4,3290
08013,1990,5,3137
08013,1990,6,3074
08013,1990,7,3104
08013,1990,8,2917
08013,1990,9,3094
08013,1990,10,2867
08013,1990,11,2732
08013,1990,12,2623
08013,1990,13,2555
08013,1990,14,2519
08013,1990,15,2497
08013,1990,16,2440
08013,1990,17,2641
08013,1990,18,4087
08013,1990,19,5543
08013,1990,20,5731
08013,1990,21,5557
08013,1990,22,4670
08013,1990,23,3892
08013,1990,24,3601
08013,1990,25,3790
08013,1990,26,4023
08013,1990,27,4166
08013,1990,28,4139
08013,1990,29,4630
08013,1990,30,4722
08013,1990,31,4572
08013,1990,32,4724
08013,1990,33,4700
08013,1990,34,4820
08013,1990,35,4707
08013,1990,36,4630
08013,1990,37,4704
08013,1990,38,4342
08013,1990,39,4387
08013,1990,40,4272
08013,1990,41,4082
08013,1990,42,4050
08013,1990,43,4000
08013,1990,44,3007
08013,1990,45,2968
08013,1990,46,2838
08013,1990,47,2898
08013,1990,48,2311
08013,1990,49,2280
08013,1990,50,2165
08013,1990,51,2078
08013,1990,52,1948
08013,1990,53,1758
08013,1990,54,1746
08013,1990,55,1740
08013,1990,56,1501
08013,1990,57,1496
08013,1990,58,1465
08013,1990,59,1432
08013,1990,60,1369
08013,1990,61,1307
08013,1990,62,1281
08013,1990,63,1243
08013,1990,64,1195
08013,1990,65,1196
08013,1990,66,1147
08013,1990,67,1090
08013,1990,68,1076
08013,1990,69,999
08013,1990,70,916
08013,1990,71,922
08013,1990,72,863
08013,1990,73,790
08013,1990,74,731
08013,1990,75,724
08013,1990,76,693
08013,1990,77,669
08013,1990,78,640
08013,1990,79,610
08013,1990,80,531
08013,1990,81,494
08013,1990,82,440
08013,1990,83,403
08013,1990,84,343
08013,1990,85,1979
08013,1991,0,3230
08013,1991,1,3180
08013,1991,2,3168
08013,1991,3,3171
08013,1991,4,3294
08013,1991,5,3159
08013,1991,6,3102
08013,1991,7,3155
08013,1991,8,2992
08013,1991,9,3157
08013,1991,10,2959
08013,1991,11,2833
08013,1991,12,2720
08013,1991,13,2665
08013,1991,14,2642
08013,1991,15,2606
08013,1991,16,2543
08013,1991,17,2723
08013,1991,18,4143
08013,1991,19,5594
08013,1991,20,5733
08013,1991,21,5558
08013,1991,22,4750
08013,1991,23,3981
08013,1991,24,3685
08013,1991,25,3871
08013,1991,26,4045
08013,1991,27,4188
08013,1991,28,4186
08013,1991,29,4632
08013,1991,30,4735
08013,1991,31,4535
08013,1991,32,4660
08013,1991,33,4641
08013,1991,34,4739
08013,1991,35,4688
08013,1991,36,4615
08013,1991,37,4704
08013,1991,38,4380
08013,1991,39,4437
08013,1991,40,4357
08013,1991,41,4163
08013,1991,42,4156
08013,1991,43,4100
08013,1991,44,3201
08013,1991,45,3174
08013,1991,46,3013
08013,1991,47,3084
08013,1991,48,2542
08013,1991,49,2475
08013,1991,50,2379
08013,1991,51,2264
08013,1991,52,2148
08013,1991,53,1972
08013,1991,54,1853
08013,1991,55,1839
08013,1991,56,1614
08013,1991,57,1594
08013,1991,58,1530
08013,1991,59,1489
08013,1991,60,1414
08013,1991,61,1345
08013,1991,62,1316
08013,1991,63,1265
08013,1991,64,1224
08013,1991,65,1218
08013,1991,66,1156
08013,1991,67,1106
08013,1991,68,1091
08013,1991,69,1012
08013,1991,70,940
08013,1991,71,931
08013,1991,72,882
08013,1991,73,811
08013,1991,74,754
