year,age_group,age_lo,age_hi,pop
2010,0-4,0,4,20201362
2010,5-9,5,9,20348657
2010,10-14,10,14,20677194
2010,15-17,15,17,12954254
2010,18-19,18,19,9086089
2010,20-20,20,20,4519129
2010,21-21,21,21,4354294
2010,22-24,22,24,12712576
2010,25-29,25,29,21101849
2010,30-34,30,34,19962099
2010,35-39,35,39,20179642
2010,40-44,40,44,20890964
2010,45-49,45,49,22708591
2010,50-54,50,54,22298125
2010,55-59,55,59,19664805
2010,60-61,60,61,7113727
2010,62-64,62,64,9704197
2010,65-66,65,66,5319902
2010,67-69,67,69,7115361
2010,70-74,70,74,9278166
2010,75-79,75,79,7317795
2010,80-84,80,84,5743327
2010,85+,85,999,5493433
2020,0-4,0,4,18400235
2020,5-9,5,9,20130423
2020,10-14,10,14,21627830
2020,15-17,15,17,12947512
2020,18-19,18,19,9088564
2020,20-20,20,20,4721799
2020,21-21,21,21,4554279
2020,22-24,22,24,12890121
2020,25-29,25,29,22301254
2020,30-34,30,34,22533412
2020,35-39,35,39,21874944
2020,40-44,40,44,20309193
2020,45-49,45,49,20145294
2020,50-54,50,54,20723512
2020,55-59,55,59,22120489
2020,60-61,60,61,8806295
2020,62-64,62,64,12481624
2020,65-66,65,66,7824162
2020,67-69,67,69,10464565
2020,70-74,70,74,14823238
2020,75-79,75,79,9955322
2020,80-84,80,84,6388779
2020,85+,85,999,6336435
