level,name_raw,canonical,appears_as
elementary,Aspen Creek K-8,Aspen Creek K-8,area+school
elementary,BCSIS,BCSIS,school
elementary,Bear Creek *,Bear Creek,school
elementary,Bear Creek*,Bear Creek,area
elementary,Birch,Birch,area+school
elementary,Boulder Explorer,Boulder Explorer,school
elementary,Boulder Universal,Boulder Universal,school
elementary,Coal Creek,Coal Creek,area+school
elementary,Columbine,Columbine,area+school
elementary,Comm. Montessori,Community Montessori,school
elementary,Contracted Ed Prog,Contracted Ed Program,school
elementary,Creekside *,Creekside,school
elementary,Creekside*,Creekside,area
elementary,Crest View,Crest View,area+school
elementary,Douglass,Douglass,area+school
elementary,Eisenhower,Eisenhower,area+school
elementary,Eldorado K-8,Eldorado K-8,area+school
elementary,Emerald,Emerald,area+school
elementary,Fireside,Fireside,area+school
elementary,Flatirons,Flatirons,area+school
elementary,Foothill,Foothill,area+school
elementary,Gold Hill,Gold Hill,area+school
elementary,Halcyon,Halcyon,school
elementary,Heatherwood,Heatherwood,area+school
elementary,High Peaks,High Peaks,school
elementary,Horizons,Horizons,school
elementary,Jamestown,Jamestown,area+school
elementary,Kohl,Kohl,area+school
elementary,Lafayette,Lafayette,area
elementary,Lafayette Elem.,Lafayette,school
elementary,Louisville,Louisville,area
elementary,Louisville Elem.,Louisville,school
elementary,Meadowlark,Meadowlark,area+school
elementary,Mesa *,Mesa,school
elementary,Mesa*,Mesa,area
elementary,Monarch K-8,Monarch K-8,area+school
elementary,Nederland,Nederland,area
elementary,Nederland Elem.,Nederland,school
elementary,Optional Bear Creek/ Creekside,Optional Bear Creek/Creekside,area
elementary,Optional Bear Creek/Mesa,Optional Bear Creek/Mesa,area
elementary,Peak to Peak,Peak to Peak,school
elementary,Pioneer,Pioneer,school
elementary,Ryan,Ryan,area+school
elementary,Sanchez,Sanchez,area+school
elementary,Superior,Superior,area+school
elementary,Uni-Hill Int.,University Hill International,school
elementary,Whittier,Whittier,area+school
high,Arapahoe Ridge,Arapahoe Ridge,school
high,Boulder,Boulder,school
high,Boulder*,Boulder,area
high,Boulder Prep,Boulder Prep,school
high,Boulder Universal,Boulder Universal,school
high,Boulder/Fairview Optional,Boulder/Fairview Optional,area
high,Broomfield,Broomfield,area+school
high,Centaurus,Centaurus,area+school
high,Contracted Ed Prog,Contracted Ed Program,school
high,Fairview,Fairview,school
high,Fairview*,Fairview,area
high,Halcyon,Halcyon,school
high,Justice High,Justice High,school
high,Monarch,Monarch,area+school
high,Nederland,Nederland,area+school
high,New Vista,New Vista,school
high,Peak-to-Peak,Peak to Peak,school
middle,Angevine,Angevine,area+school
middle,Aspen Creek K-8,Aspen Creek K-8,area+school
middle,Boulder Explorer,Boulder Explorer,school
middle,Boulder Universal,Boulder Universal,school
middle,Broomfield Heights,Broomfield Heights,area+school
middle,Casey,Casey,area+school
middle,Centennial,Centennial,area+school
middle,Contract Ed,Contracted Ed Program,school
middle,Eldorado K-8,Eldorado K-8,area+school
middle,Halcyon,Halcyon,school
middle,Horizons,Horizons,school
middle,Justice High,Justice High,school
middle,Louisville Middle,Louisville Middle,area+school
middle,Manhattan,Manhattan,area+school
middle,Meadowlark,Meadowlark,area+school
middle,Monarch K-8,Monarch K-8,area+school
middle,Nederland,Nederland,area+school
middle,Peak to Peak,Peak to Peak,school
middle,Platt,Platt,area+school
middle,Southern Hills,Southern Hills,area+school
middle,Summit,Summit,school
