school_year,level,attending_neighborhood,oe_from_within_district,oe_from_outside_district,placements_into_school,unmatched_addresses,within_bvsd_total,enrollment_total,pct_from_neighborhood,attending_neighborhood_share,oe_from_within_district_share,oe_from_outside_district_share,placements_into_school_share
2016-2017,elementary,8569,3502,688,225,19,12315,13003,0.66,0.66,0.27,0.05,0.02
2016-2017,high,6176,2383,1295,67,9,8635,9930,0.62,0.62,0.24,0.13,
2016-2017,middle,4719,1872,529,73,12,6676,7205,0.65,0.65,0.26,0.08,0.01
2017-2018,elementary,8456,3430,687,263,10,12159,12846,0.66,0.66,0.27,0.05,0.02
2017-2018,high,6447,2334,1267,71,7,8859,10126,0.64,0.64,0.23,0.13,
2017-2018,middle,4743,1949,530,95,3,6790,7320,0.65,0.65,0.27,0.08,0.01
2018-2019,elementary,8396,3328,687,263,2,11989,12676,0.66,0.66,0.26,0.05,0.02
2018-2019,high,6520,2411,1228,77,9,9017,10245,0.64,0.64,0.24,0.12,
2018-2019,middle,4801,1854,529,92,4,6751,7280,0.66,0.66,0.25,0.08,0.01
2019-2020,elementary,8260,3350,662,193,1,11804,12466,0.66,0.66,0.27,0.05,0.02
2019-2020,high,6699,2326,1212,75,2,9102,10314,0.65,0.65,0.23,0.12,
2019-2020,middle,4780,1844,486,91,1,6716,7202,0.66,0.66,0.26,0.07,0.01
2020-2021,elementary,6998,3372,672,214,16,10600,11272,0.62,0.62,0.3,0.06,0.02
2020-2021,high,6666,2370,1185,69,43,9148,10333,0.65,0.65,0.23,0.11,
2020-2021,middle,4133,2015,505,93,15,6256,6761,0.61,0.61,0.3,0.08,0.01
2021-2022,elementary,7321,3135,631,218,16,10690,11321,0.65,0.65,0.28,0.06,0.02
2021-2022,high,6669,2261,1231,65,39,9034,10265,0.65,0.65,0.22,0.12,
2021-2022,middle,4159,1771,466,92,13,6035,6501,0.64,0.64,0.27,0.08,0.01
2022-2023,elementary,7075,3104,632,242,17,10438,11070,0.64,0.64,0.28,0.06,0.02
2022-2023,high,6493,2223,1270,104,47,8867,10137,0.64,0.64,0.22,0.13,
2022-2023,middle,3934,1787,466,115,13,5849,6315,0.62,0.62,0.28,0.08,0.02
2023-2024,elementary,6706,3160,674,250,17,10133,10807,0.62,,,,
2023-2024,high,6242,2328,1344,103,50,8723,10067,0.62,,,,
2023-2024,middle,3774,1968,531,115,11,5868,6399,0.59,,,,
2024-2025,elementary,6404,3272,708,284,14,9974,10682,0.6,0.6,0.31,0.07,0.03
2024-2025,high,6161,2310,1377,130,35,8636,10013,0.62,0.62,0.23,0.14,
2024-2025,middle,3679,2091,529,129,9,5908,6437,0.57,0.57,0.32,0.09,0.02
2025-2026,elementary,6035,3330,765,280,17,9662,10427,0.58,0.58,0.32,0.07,0.03
2025-2026,high,5976,2306,1408,127,31,8440,9848,0.61,0.61,0.23,0.14,
2025-2026,middle,3481,2208,532,103,8,5800,6332,0.55,0.55,0.35,0.09,0.02
