school_year,level,file,url,sha256,matrix_date,grade_line,footnotes,n_schools,n_areas,n_edges
2016-2017,elementary,elementary_2016-2017.pdf,https://resources.finalsite.net/images/v1564076684/bvsdorg/ibwxxk6nnwxc46f0r8v2/ElemMatrix2016-17.pdf,9601f62a8dc6bc07bcd1c943389ce659ffb5a0a60c9332dcf6ac3cb4d04e7533,5/14/2018,"ELEMENTARY SCHOOL, K-5",,36,29,439
2016-2017,high,high_2016-2017.pdf,https://resources.finalsite.net/images/v1564076684/bvsdorg/kygtc0qwwtinfjogpbcp/HighMatrix2016-17.pdf,db59cfe0a5beea71f6f68252744b47ef55c3aa24b0bd49150d8d3e8fa2e35621,1/11/2017,"HIGH SCHOOL, 9-12",*re d lu o B *w e iv ria F la n o itp O w e iv ria F /re d lu o B d le ifm o o rB s u ru a tn e C h c ra n o M d n a lre d e N d o o h ro b h g ie N g n id n e ttA lo o h c S n ih tiw m o rf d e llo rn E n e p O tc irts iD e d is tu o m o rf d e llo rn E n e p O tc irts iD lo o h c S o tn I tn e m e c a lP s e s s e rd d A d e h c ta m n U s e ira d n u o B D S V B n ih tiW la to T tn e m llo rn E m o rf tn e m llo rn E fo % e c n a d n e ttA d o o h ro b h g ie N a e rA | *re d lu o B *w e iv ria F la n o itp O w e iv ria F /re d lu o B d le ifm o o rB s u ru a tn e C h c ra n o M d n a lre d e N d o o h ro b h g ie N g n id n e ttA lo o h c S n ih tiw m o rf d e llo rn E n e p O tc irts iD e d is tu o m o rf d e llo rn E n e p O tc irts iD lo o h c S o tn I tn e m e c a lP s e s s e rd d A d e h c ta m n U s e ira d n u o B D S V B n ih tiW la to T tn e m llo rn E m o rf tn e m llo rn E fo % e c n a d n e ttA d o o h ro b h g ie N a e rA | * Note optional enrollment areas excluded.,14,7,72
2016-2017,middle,middle_2016-2017.pdf,https://resources.finalsite.net/images/v1564076684/bvsdorg/pqsuxtylvmgvc49tt8ew/MiddleSchoolMatrix2016-17.pdf,a2f4ec4a239e84328c48fe368d34f8173fb202d2b428fc961b468e09bcb83caf,1/11/2017,"Middle School, 6th - 8th",,20,12,132
2017-2018,elementary,elementary_2017-2018.pdf,https://resources.finalsite.net/images/v1564076602/bvsdorg/kuzsyrafndjmdhmuoguz/ElemMatrix2017-18.pdf,217acc505b6cc761892bef3882344a665579bddc321d827f591c07aa7e9aea7b,5/17/2018,"ELEMENTARY SCHOOL, K-5",* Note optional enrollment areas excluded. | ** May include a nominal number of placements from outside BVSD,37,30,442
2017-2018,high,high_2017-2018.pdf,https://resources.finalsite.net/images/v1564076602/bvsdorg/ezjcypmrvciiq6msekqq/HighMatrix2017-18.pdf,647bef5548053f0d4ab926b5ee0f5c174fcdb6dbe112945031afd3eb283bade0,5/14/2018,"HIGH SCHOOL, 9-12",* Note optional enrollment areas excluded.,13,7,71
2017-2018,middle,middle_2017-2018.pdf,https://resources.finalsite.net/images/v1564076602/bvsdorg/korigaxdlprb44atsymu/MiddleMatrix2017-18.pdf,11b95a5007c5bc0ea87be01a0a8a098cd0c66c4e1739fb7706f71dfb6a1e00c5,5/14/2018,"Middle School, 6th - 8th",,19,13,146
2018-2019,elementary,elementary_2018-2019.pdf,https://resources.finalsite.net/images/v1564076568/bvsdorg/bkf2eudj2p86kvqfbu85/ElementarySchoolMatrix2018-19.pdf,200305a585f181196489e1babacc6a743d5025401f1df9462b3ba0bfe6dd3581,12/13/2018,"ELEMENTARY SCHOOL, K-5",* Note optional enrollment areas excluded. | ** May include a nominal number of placements from outside BVSD,36,30,433
2018-2019,high,high_2018-2019.pdf,https://resources.finalsite.net/images/v1564076567/bvsdorg/ktwf1thulgux7xtukfda/HighSchoolMatrix2018-19.pdf,3b382349284f3597df2477d4193a19082a5bfef5a3d59b195a94a4d8e1f269e7,12/11/2018,"HIGH SCHOOL, 9-12",* Note optional enrollment areas excluded.,13,7,80
2018-2019,middle,middle_2018-2019.pdf,https://resources.finalsite.net/images/v1564076568/bvsdorg/co17ws08vnjt83qljjde/MiddleSchoolMatrix2018-19.pdf,8c6f78f2bb1e665e25eb0062486da01f668688384c1b950d9bb97cbbab39e8df,12/11/2018,"Middle School, 6th - 8th",,19,13,150
2019-2020,elementary,elementary_2019-2020.pdf,https://resources.finalsite.net/images/v1666968489/bvsdorg/unatplekaavcyouzcngk/ElemMatrix2019-20.pdf,5f08c75ecc3ae08bb7b8c7d4f99fb189fe2b901017d475fc5b0289390469a1e7,10/27/2022,"ELEMENTARY SCHOOL, K-5",*ke e rC ra e B e n ib m u lo C *e d iske e rC w e iV tse rC ssa lg u o D re w o h n e siE sn o rita lF llih to o F d o o w re h ta e H *a se M re ittih W /ke e rC ra e B la n o itp O e d iske e rC a se M /ke e rC ra e B la n o itp O 8 -K ke e rC n e p sA h criB d la re m E lh o K e tte ya fa L n a yR ze h cn a S kra lw o d a e M ke e rC la o C e d ise riF e llivsiu o L 8 -K h cra n o M 8 -K o d a ro d lE ro ire p u S lliH d lo G n w o tse m a J d n a lre d e N do o h ro b h g ie N g n id n e ttA lo o h cS n ih tiw m o rf d e llo rn E n e p O tcirtsiD e d istu o m o rf d e llo rn E n e p O tcirtsiD lo o h cS o tn i stn e m e ca lP se sse rd d A d e h cta m n U **se ira d n u o B D S V B n ih tiW la to T tn e m llo rn E tn e d u tS m o rf tn e m llo rn E fo % e rA e cn a d n e ttA do o h ro b h g ie | *ke e rC ra e B e n ib m u lo C *e d iske e rC w e iV tse rC ssa lg u o D re w o h n e siE sn o rita lF llih to o F d o o w re h ta e H *a se M re ittih W e d iske e rC /ke e rC ra e B la n o itp | * Note optional enrollment areas excluded. | ** May include a nominal number of placements from outside BVSD,37,30,438
