school_year,level,school,school_raw,matrix_row_sum,attending_neighborhood,oe_from_within_district,oe_from_outside_district,placements_into_school,unmatched_addresses,within_bvsd_total,enrollment_total,pct_from_neighborhood
2016-2017,elementary,Bear Creek,Bear Creek *,435,392.0,43.0,2.0,1.0,,436.0,438.0,0.89
2016-2017,elementary,Columbine,Columbine,475,399.0,76.0,2.0,6.0,3.0,484.0,486.0,0.82
2016-2017,elementary,Creekside,Creekside *,261,220.0,41.0,5.0,14.0,1.0,276.0,281.0,0.78
2016-2017,elementary,Crest View,Crest View,591,538.0,53.0,7.0,8.0,,599.0,606.0,0.89
2016-2017,elementary,Douglass,Douglass,424,352.0,72.0,8.0,2.0,,426.0,434.0,0.81
2016-2017,elementary,Eisenhower,Eisenhower,394,318.0,76.0,3.0,21.0,,415.0,418.0,0.76
2016-2017,elementary,Flatirons,Flatirons,250,177.0,73.0,4.0,,,250.0,254.0,0.7
2016-2017,elementary,Foothill,Foothill,530,481.0,49.0,3.0,8.0,,538.0,541.0,0.89
2016-2017,elementary,Heatherwood,Heatherwood,336,320.0,16.0,17.0,7.0,,343.0,360.0,0.89
2016-2017,elementary,Mesa,Mesa *,277,222.0,55.0,3.0,7.0,,284.0,287.0,0.77
2016-2017,elementary,Whittier,Whittier,415,376.0,39.0,9.0,,,415.0,424.0,0.89
2016-2017,elementary,Aspen Creek K-8,Aspen Creek K-8,409,317.0,92.0,56.0,7.0,1.0,417.0,473.0,0.67
2016-2017,elementary,Birch,Birch,289,251.0,38.0,64.0,15.0,,304.0,368.0,0.68
2016-2017,elementary,Emerald,Emerald,280,253.0,27.0,55.0,5.0,4.0,289.0,344.0,0.74
2016-2017,elementary,Kohl,Kohl,367,276.0,91.0,77.0,9.0,,376.0,453.0,0.61
2016-2017,elementary,Lafayette,Lafayette Elem.,613,549.0,64.0,14.0,6.0,,619.0,633.0,0.87
2016-2017,elementary,Ryan,Ryan,407,325.0,82.0,17.0,8.0,1.0,416.0,433.0,0.75
2016-2017,elementary,Sanchez,Sanchez,332,286.0,46.0,4.0,5.0,3.0,340.0,344.0,0.83
2016-2017,elementary,Coal Creek,Coal Creek,407,365.0,42.0,9.0,1.0,,408.0,417.0,0.88
2016-2017,elementary,Fireside,Fireside,417,338.0,79.0,10.0,16.0,,433.0,443.0,0.76
2016-2017,elementary,Louisville,Louisville Elem.,558,520.0,38.0,1.0,9.0,1.0,568.0,569.0,0.91
2016-2017,elementary,Monarch K-8,Monarch K-8,328,242.0,86.0,39.0,8.0,2.0,338.0,377.0,0.64
2016-2017,elementary,Eldorado K-8,Eldorado K-8,417,368.0,49.0,27.0,5.0,1.0,423.0,450.0,0.82
2016-2017,elementary,Superior,Superior,457,413.0,44.0,8.0,,,457.0,465.0,0.89
2016-2017,elementary,Gold Hill,Gold Hill,26,9.0,17.0,,,,26.0,26.0,0.35
2016-2017,elementary,Jamestown,Jamestown,19,6.0,13.0,,,,19.0,19.0,0.32
2016-2017,elementary,Nederland,Nederland Elem.,258,256.0,2.0,2.0,,1.0,259.0,261.0,0.98
2016-2017,elementary,BCSIS,BCSIS,304,,304.0,4.0,1.0,,305.0,309.0,
2016-2017,elementary,Boulder Explorer,Boulder Explorer,10,,10.0,1.0,,,10.0,11.0,
2016-2017,elementary,High Peaks,High Peaks,281,,281.0,9.0,,,281.0,290.0,
2016-2017,elementary,Community Montessori,Comm. Montessori,235,,235.0,14.0,2.0,,237.0,251.0,
2016-2017,elementary,University Hill International,Uni-Hill Int.,373,,373.0,24.0,25.0,,398.0,422.0,
2016-2017,elementary,Pioneer,Pioneer,342,,342.0,63.0,28.0,,370.0,433.0,
2016-2017,elementary,Contracted Ed Program,Contracted Ed Prog,0,,0.0,,,,0.0,0.0,
2016-2017,elementary,Horizons,Horizons,227,,227.0,4.0,,1.0,228.0,232.0,
2016-2017,elementary,Peak to Peak,Peak to Peak,327,,327.0,123.0,1.0,,328.0,451.0,
2016-2017,high,Boulder,Boulder,1908,1634.0,274.0,60.0,10.0,3.0,1921.0,1981.0,0.82
2016-2017,high,Fairview,Fairview,2064,1226.0,838.0,92.0,10.0,,2074.0,2166.0,0.57
2016-2017,high,Broomfield,Broomfield,988,965.0,23.0,604.0,3.0,,991.0,1595.0,0.61
2016-2017,high,Centaurus,Centaurus,1064,913.0,151.0,57.0,3.0,3.0,1070.0,1127.0,0.81
2016-2017,high,Monarch,Monarch,1549,1316.0,233.0,151.0,6.0,2.0,1557.0,1708.0,0.77
2016-2017,high,Nederland,Nederland,124,122.0,2.0,2.0,,,124.0,126.0,0.97
2016-2017,high,Arapahoe Ridge,Arapahoe Ridge,70,,70.0,3.0,17.0,,87.0,90.0,
2016-2017,high,Boulder Universal,Boulder Universal,48,,48.0,15.0,,,48.0,63.0,
2016-2017,high,Halcyon,Halcyon,0,,,,12.0,,12.0,12.0,
2016-2017,high,New Vista,New Vista,254,,254.0,37.0,1.0,,255.0,292.0,
2016-2017,high,Contracted Ed Program,Contracted Ed Prog,0,,,,,,,,
2016-2017,high,Boulder Prep,Boulder Prep,66,,66.0,36.0,2.0,,68.0,104.0,
2016-2017,high,Peak to Peak,Peak-to-Peak,374,,374.0,214.0,,,374.0,588.0,
2016-2017,high,Justice High,Justice High,50,,50.0,24.0,3.0,1.0,54.0,78.0,
2016-2017,middle,Manhattan,Manhattan,427,269.0,158.0,12.0,13.0,6.0,446.0,458.0,0.59
2016-2017,middle,Casey,Casey,624,472.0,152.0,17.0,10.0,1.0,635.0,652.0,0.72
2016-2017,middle,Centennial,Centennial,619,561.0,58.0,8.0,1.0,,620.0,628.0,0.89
2016-2017,middle,Platt,Platt,609,350.0,259.0,18.0,11.0,,620.0,638.0,0.55
2016-2017,middle,Southern Hills,Southern Hills,548,401.0,147.0,5.0,6.0,,554.0,559.0,0.72
2016-2017,middle,Aspen Creek K-8,Aspen Creek K-8,347,320.0,27.0,79.0,5.0,,352.0,431.0,0.74
2016-2017,middle,Broomfield Heights,Broomfield Heights,359,282.0,77.0,158.0,3.0,,362.0,520.0,0.54
2016-2017,middle,Angevine,Angevine,688,669.0,19.0,20.0,2.0,,690.0,710.0,0.94
2016-2017,middle,Louisville Middle,Louisville Middle,617,529.0,88.0,16.0,7.0,2.0,626.0,642.0,0.82
2016-2017,middle,Monarch K-8,Monarch K-8,424,303.0,121.0,34.0,6.0,3.0,433.0,467.0,0.65
2016-2017,middle,Eldorado K-8,Eldorado K-8,448,433.0,15.0,15.0,3.0,,451.0,466.0,0.93
2016-2017,middle,Nederland,Nederland,131,130.0,1.0,4.0,,,131.0,135.0,0.96
2016-2017,middle,Boulder Explorer,Boulder Explorer,0,,,,,,,,
2016-2017,middle,Boulder Universal,Boulder Universal,11,,11.0,5.0,,,11.0,16.0,
2016-2017,middle,Halcyon,Halcyon,0,,,,5.0,,5.0,5.0,
2016-2017,middle,Horizons,Horizons,112,,112.0,3.0,,,112.0,115.0,
2016-2017,middle,Contracted Ed Program,Contract Ed,0,,,,,,,,
2016-2017,middle,Summit,Summit,353,,353.0,,1.0,,354.0,354.0,
2016-2017,middle,Justice High,Justice High,1,,1.0,3.0,,,1.0,4.0,
2016-2017,middle,Peak to Peak,Peak to Peak,273,,273.0,132.0,,,273.0,405.0,
2017-2018,elementary,Bear Creek,Bear Creek *,439,401.0,38.0,2.0,7.0,0.0,446.0,448.0,0.9
2017-2018,elementary,Columbine,Columbine,472,400.0,72.0,2.0,9.0,0.0,481.0,483.0,0.83
2017-2018,elementary,Creekside,Creekside *,251,215.0,36.0,5.0,16.0,0.0,267.0,272.0,0.79
2017-2018,elementary,Crest View,Crest View,571,525.0,46.0,7.0,4.0,0.0,575.0,582.0,0.9
2017-2018,elementary,Douglass,Douglass,403,334.0,69.0,7.0,4.0,1.0,408.0,415.0,0.8
2017-2018,elementary,Eisenhower,Eisenhower,357,292.0,65.0,6.0,22.0,0.0,379.0,385.0,0.76
2017-2018,elementary,Flatirons,Flatirons,240,175.0,65.0,4.0,1.0,0.0,241.0,245.0,0.71
2017-2018,elementary,Foothill,Foothill,484,438.0,46.0,1.0,8.0,0.0,492.0,493.0,0.89
2017-2018,elementary,Heatherwood,Heatherwood,316,305.0,11.0,13.0,8.0,0.0,324.0,337.0,0.91
2017-2018,elementary,Mesa,Mesa *,262,215.0,47.0,3.0,6.0,0.0,268.0,271.0,0.79
2017-2018,elementary,Whittier,Whittier,373,325.0,48.0,2.0,5.0,1.0,379.0,381.0,0.85
2017-2018,elementary,Aspen Creek K-8,Aspen Creek K-8,398,321.0,77.0,56.0,12.0,0.0,410.0,466.0,0.69
2017-2018,elementary,Birch,Birch,297,257.0,40.0,61.0,13.0,0.0,310.0,371.0,0.69
2017-2018,elementary,Emerald,Emerald,286,261.0,25.0,62.0,12.0,0.0,298.0,360.0,0.73
2017-2018,elementary,Kohl,Kohl,340,255.0,85.0,73.0,9.0,0.0,349.0,422.0,0.6
2017-2018,elementary,Lafayette,Lafayette Elem.,449,363.0,86.0,7.0,9.0,1.0,459.0,466.0,0.78
2017-2018,elementary,Ryan,Ryan,420,362.0,58.0,16.0,7.0,2.0,429.0,445.0,0.81
2017-2018,elementary,Sanchez,Sanchez,339,300.0,39.0,7.0,8.0,1.0,348.0,355.0,0.85
2017-2018,elementary,Meadowlark,Meadowlark,287,261.0,26.0,34.0,4.0,0.0,291.0,325.0,0.8
2017-2018,elementary,Coal Creek,Coal Creek,408,367.0,41.0,7.0,1.0,0.0,409.0,416.0,0.88
2017-2018,elementary,Fireside,Fireside,400,321.0,79.0,8.0,11.0,0.0,411.0,419.0,0.77
2017-2018,elementary,Louisville,Louisville Elem.,536,506.0,30.0,8.0,6.0,1.0,543.0,551.0,0.92
2017-2018,elementary,Monarch K-8,Monarch K-8,331,253.0,78.0,36.0,11.0,0.0,342.0,378.0,0.67
2017-2018,elementary,Eldorado K-8,Eldorado K-8,378,340.0,38.0,23.0,5.0,0.0,383.0,406.0,0.84
2017-2018,elementary,Superior,Superior,449,405.0,44.0,7.0,0.0,1.0,450.0,457.0,0.89
2017-2018,elementary,Gold Hill,Gold Hill,19,4.0,15.0,0.0,0.0,0.0,19.0,19.0,0.21
2017-2018,elementary,Jamestown,Jamestown,16,7.0,9.0,1.0,0.0,0.0,16.0,17.0,0.41
2017-2018,elementary,Nederland,Nederland Elem.,254,248.0,6.0,4.0,0.0,0.0,254.0,258.0,0.96
2017-2018,elementary,BCSIS,BCSIS,302,,302.0,1.0,1.0,0.0,303.0,304.0,
2017-2018,elementary,Boulder Explorer,Boulder Explorer,0,,0.0,0.0,0.0,0.0,0.0,0.0,
2017-2018,elementary,Boulder Universal,Boulder Universal,0,,0.0,1.0,0.0,0.0,0.0,1.0,
2017-2018,elementary,High Peaks,High Peaks,292,,292.0,6.0,1.0,0.0,293.0,299.0,
2017-2018,elementary,Community Montessori,Comm. Montessori,229,,229.0,14.0,5.0,0.0,234.0,248.0,
2017-2018,elementary,University Hill International,Uni-Hill Int.,371,,371.0,23.0,27.0,2.0,400.0,423.0,
2017-2018,elementary,Pioneer,Pioneer,353,,353.0,63.0,28.0,0.0,381.0,444.0,
2017-2018,elementary,Horizons,Horizons,229,,229.0,4.0,1.0,0.0,230.0,234.0,
2017-2018,elementary,Peak to Peak,Peak to Peak,335,,335.0,113.0,2.0,0.0,337.0,450.0,
2017-2018,high,Boulder,Boulder,1995,1763.0,232.0,42.0,11.0,2.0,2008.0,2050.0,0.86
2017-2018,high,Fairview,Fairview,2148,1316.0,832.0,63.0,11.0,1.0,2160.0,2223.0,0.59
2017-2018,high,Broomfield,Broomfield,976,952.0,24.0,595.0,3.0,,979.0,1574.0,0.6
2017-2018,high,Centaurus,Centaurus,1156,997.0,159.0,59.0,3.0,1.0,1160.0,1219.0,0.82
2017-2018,high,Monarch,Monarch,1551,1307.0,244.0,160.0,6.0,,1557.0,1717.0,0.76
2017-2018,high,Nederland,Nederland,113,112.0,1.0,5.0,,,113.0,118.0,0.95
2017-2018,high,Arapahoe Ridge,Arapahoe Ridge,69,,69.0,10.0,19.0,2.0,90.0,100.0,
2017-2018,high,Boulder Universal,Boulder Universal,50,,50.0,17.0,1.0,,51.0,68.0,
2017-2018,high,Halcyon,Halcyon,0,,,,8.0,,8.0,8.0,
2017-2018,high,New Vista,New Vista,264,,264.0,38.0,2.0,,266.0,304.0,
2017-2018,high,Boulder Prep,Boulder Prep,45,,45.0,34.0,1.0,,46.0,80.0,
2017-2018,high,Peak to Peak,Peak-to-Peak,367,,367.0,220.0,2.0,,369.0,589.0,
2017-2018,high,Justice High,Justice High,47,,47.0,24.0,4.0,1.0,52.0,76.0,
2017-2018,middle,Manhattan,Manhattan,439,261.0,178.0,24.0,24.0,1.0,464.0,488.0,0.53
2017-2018,middle,Casey,Casey,648,518.0,130.0,8.0,13.0,,661.0,669.0,0.77
2017-2018,middle,Centennial,Centennial,637,575.0,62.0,7.0,2.0,,639.0,646.0,0.89
2017-2018,middle,Platt,Platt,605,362.0,243.0,15.0,7.0,,612.0,627.0,0.58
2017-2018,middle,Southern Hills,Southern Hills,541,389.0,152.0,7.0,6.0,,547.0,554.0,0.7
2017-2018,middle,Aspen Creek K-8,Aspen Creek K-8,358,328.0,30.0,83.0,4.0,,362.0,445.0,0.74
2017-2018,middle,Broomfield Heights,Broomfield Heights,369,292.0,77.0,165.0,11.0,,380.0,545.0,0.54
2017-2018,middle,Angevine,Angevine,648,582.0,66.0,17.0,4.0,1.0,653.0,670.0,0.87
2017-2018,middle,Meadowlark,Meadowlark,84,66.0,18.0,19.0,9.0,,93.0,112.0,0.59
2017-2018,middle,Louisville Middle,Louisville Middle,638,543.0,95.0,16.0,5.0,,643.0,659.0,0.82
2017-2018,middle,Monarch K-8,Monarch K-8,366,264.0,102.0,33.0,5.0,1.0,372.0,405.0,0.65
2017-2018,middle,Eldorado K-8,Eldorado K-8,462,440.0,22.0,11.0,1.0,,463.0,474.0,0.93
2017-2018,middle,Nederland,Nederland,124,123.0,1.0,,,,124.0,124.0,0.99
2017-2018,middle,Boulder Universal,Boulder Universal,14,,14.0,4.0,,,14.0,18.0,
2017-2018,middle,Halcyon,Halcyon,0,,,,4.0,,4.0,4.0,
2017-2018,middle,Horizons,Horizons,112,,112.0,2.0,,,112.0,114.0,
2017-2018,middle,Summit,Summit,356,,356.0,1.0,,,356.0,357.0,
2017-2018,middle,Justice High,Justice High,1,,1.0,2.0,,,1.0,3.0,
2017-2018,middle,Peak to Peak,Peak to Peak,290,,290.0,116.0,,,290.0,406.0,
2018-2019,elementary,Bear Creek,Bear Creek *,416,386.0,30.0,0.0,9.0,0.0,425.0,425.0,0.91
2018-2019,elementary,Columbine,Columbine,438,377.0,61.0,4.0,14.0,0.0,452.0,456.0,0.83
2018-2019,elementary,Creekside,Creekside *,277,220.0,57.0,7.0,8.0,1.0,286.0,293.0,0.75
2018-2019,elementary,Crest View,Crest View,553,504.0,49.0,8.0,5.0,0.0,558.0,566.0,0.89
2018-2019,elementary,Douglass,Douglass,383,305.0,78.0,9.0,4.0,0.0,387.0,396.0,0.77
2018-2019,elementary,Eisenhower,Eisenhower,375,315.0,60.0,11.0,21.0,0.0,396.0,407.0,0.77
2018-2019,elementary,Flatirons,Flatirons,223,154.0,69.0,5.0,0.0,0.0,223.0,228.0,0.68
2018-2019,elementary,Foothill,Foothill,449,416.0,33.0,0.0,8.0,0.0,457.0,457.0,0.91
2018-2019,elementary,Heatherwood,Heatherwood,277,264.0,13.0,10.0,9.0,0.0,286.0,296.0,0.89
2018-2019,elementary,Mesa,Mesa *,254,209.0,45.0,4.0,2.0,0.0,256.0,260.0,0.8
2018-2019,elementary,Whittier,Whittier,394,332.0,62.0,3.0,3.0,0.0,397.0,400.0,0.83
2018-2019,elementary,Aspen Creek K-8,Aspen Creek K-8,366,299.0,67.0,62.0,9.0,0.0,375.0,437.0,0.68
2018-2019,elementary,Birch,Birch,283,249.0,34.0,54.0,9.0,0.0,292.0,346.0,0.72
2018-2019,elementary,Emerald,Emerald,319,284.0,35.0,61.0,7.0,0.0,326.0,387.0,0.73
2018-2019,elementary,Kohl,Kohl,334,259.0,75.0,61.0,7.0,0.0,341.0,402.0,0.64
2018-2019,elementary,Lafayette,Lafayette Elem.,408,345.0,63.0,9.0,10.0,0.0,418.0,427.0,0.81
2018-2019,elementary,Ryan,Ryan,443,402.0,41.0,12.0,8.0,0.0,451.0,463.0,0.87
2018-2019,elementary,Sanchez,Sanchez,319,285.0,34.0,5.0,7.0,0.0,326.0,331.0,0.86
2018-2019,elementary,Meadowlark,Meadowlark,395,374.0,21.0,33.0,9.0,0.0,404.0,437.0,0.86
2018-2019,elementary,Coal Creek,Coal Creek,402,367.0,35.0,8.0,0.0,0.0,402.0,410.0,0.9
2018-2019,elementary,Fireside,Fireside,404,328.0,76.0,9.0,7.0,0.0,411.0,420.0,0.78
2018-2019,elementary,Louisville,Louisville Elem.,550,521.0,29.0,4.0,9.0,0.0,559.0,563.0,0.93
2018-2019,elementary,Monarch K-8,Monarch K-8,304,224.0,80.0,27.0,17.0,0.0,321.0,348.0,0.64
2018-2019,elementary,Eldorado K-8,Eldorado K-8,370,332.0,38.0,22.0,4.0,0.0,374.0,396.0,0.84
2018-2019,elementary,Superior,Superior,426,391.0,35.0,7.0,6.0,0.0,432.0,439.0,0.89
2018-2019,elementary,Gold Hill,Gold Hill,19,4.0,15.0,0.0,0.0,0.0,19.0,19.0,0.21
2018-2019,elementary,Jamestown,Jamestown,14,7.0,7.0,1.0,0.0,0.0,14.0,15.0,0.47
