place_fips,year,age_group,age_lo,age_hi,pop
0137000,1990,0-4,0,4,10562
0137000,1990,5-9,5,9,10516
0137000,1990,10-14,10,14,9893
0137000,1990,15-17,15,17,6076
0137000,1990,18-19,18,19,5810
0137000,1990,20-24,20,24,13887
0137000,1990,25-29,25,29,15620
0137000,1990,30-34,30,34,14219
0137000,1990,35-39,35,39,11865
0137000,1990,40-44,40,44,11296
0137000,1990,45-49,45,49,9529
0137000,1990,50-54,50,54,9186
0137000,1990,55-59,55,59,8470
0137000,1990,60-64,60,64,6878
0137000,1990,65-69,65,69,6026
0137000,1990,70-74,70,74,4077
0137000,1990,75-79,75,79,2756
0137000,1990,80-84,80,84,1772
0137000,1990,85+,85,999,1351
0137000,2000,0-4,0,4,9732
0137000,2000,5-9,5,9,10299
0137000,2000,10-14,10,14,10389
0137000,2000,15-17,15,17,6195
0137000,2000,18-19,18,19,5174
0137000,2000,20-24,20,24,11781
0137000,2000,25-29,25,29,10727
0137000,2000,30-34,30,34,10606
0137000,2000,35-39,35,39,12531
0137000,2000,40-44,40,44,12564
0137000,2000,45-49,45,49,10874
0137000,2000,50-54,50,54,10212
0137000,2000,55-59,55,59,8346
0137000,2000,60-64,60,64,7624
0137000,2000,65-69,65,69,6749
0137000,2000,70-74,70,74,5470
0137000,2000,75-79,75,79,4276
0137000,2000,80-84,80,84,2698
0137000,2000,85+,85,999,1969
0137000,2010,0-4,0,4,11171
0137000,2010,5-9,5,9,10221
0137000,2010,10-14,10,14,10568
0137000,2010,15-17,15,17,6679
0137000,2010,18-19,18,19,6244
0137000,2010,20-24,20,24,16304
0137000,2010,25-29,25,29,14383
0137000,2010,30-34,30,34,11310
0137000,2010,35-39,35,39,10495
0137000,2010,40-44,40,44,10939
0137000,2010,45-49,45,49,13341
0137000,2010,50-54,50,54,12830
0137000,2010,55-59,55,59,10731
0137000,2010,60-64,60,64,9362
0137000,2010,65-69,65,69,7239
0137000,2010,70-74,70,74,6383
0137000,2010,75-79,75,79,5136
0137000,2010,80-84,80,84,3573
0137000,2010,85+,85,999,3196
0137000,2020,0-4,0,4,11950
0137000,2020,5-9,5,9,11886
0137000,2020,10-14,10,14,11949
0137000,2020,15-17,15,17,6919
0137000,2020,18-19,18,19,7241
0137000,2020,20-24,20,24,19098
0137000,2020,25-29,25,29,17381
0137000,2020,30-34,30,34,15418
0137000,2020,35-39,35,39,13894
0137000,2020,40-44,40,44,11864
0137000,2020,45-49,45,49,11673
0137000,2020,50-54,50,54,12517
0137000,2020,55-59,55,59,14740
0137000,2020,60-64,60,64,13348
0137000,2020,65-69,65,69,10465
0137000,2020,70-74,70,74,8789
0137000,2020,75-79,75,79,6263
0137000,2020,80-84,80,84,4860
