place_fips,year,age,pop
0137000,2000,0,1908
0137000,2000,1,1987
0137000,2000,2,1984
0137000,2000,3,1925
0137000,2000,4,1928
0137000,2000,5,1902
0137000,2000,6,1966
0137000,2000,7,2143
0137000,2000,8,2146
0137000,2000,9,2142
0137000,2000,10,2228
0137000,2000,11,2046
0137000,2000,12,2073
0137000,2000,13,1978
0137000,2000,14,2064
0137000,2000,15,2053
0137000,2000,16,2047
0137000,2000,17,2095
0137000,2000,18,2390
0137000,2000,19,2784
0137000,2010,0,2276
0137000,2010,1,2180
0137000,2010,2,2341
0137000,2010,3,2278
0137000,2010,4,2096
0137000,2010,5,2150
0137000,2010,6,1954
0137000,2010,7,2023
0137000,2010,8,1948
0137000,2010,9,2146
0137000,2010,10,2119
0137000,2010,11,2152
0137000,2010,12,2216
0137000,2010,13,2035
0137000,2010,14,2046
0137000,2010,15,2146
0137000,2010,16,2223
0137000,2010,17,2310
0137000,2010,18,2894
0137000,2010,19,3350
0137000,2020,0,2373
0137000,2020,1,2328
0137000,2020,2,2443
0137000,2020,3,2484
0137000,2020,4,2322
0137000,2020,5,2425
0137000,2020,6,2338
0137000,2020,7,2309
0137000,2020,8,2428
0137000,2020,9,2386
0137000,2020,10,2418
0137000,2020,11,2329
0137000,2020,12,2516
0137000,2020,13,2367
0137000,2020,14,2319
0137000,2020,15,2373
0137000,2020,16,2244
0137000,2020,17,2302
0137000,2020,18,3193
0137000,2020,19,4048
0473000,2000,0,1935
0473000,2000,1,1884
0473000,2000,2,1785
0473000,2000,3,1685
0473000,2000,4,1785
0473000,2000,5,1693
0473000,2000,6,1665
0473000,2000,7,1721
0473000,2000,8,1693
0473000,2000,9,1694
0473000,2000,10,1791
0473000,2000,11,1699
0473000,2000,12,1688
0473000,2000,13,1661
0473000,2000,14,1786
0473000,2000,15,1699
0473000,2000,16,1754
0473000,2000,17,1863
0473000,2000,18,3648
0473000,2000,19,5631
0473000,2010,0,1653
0473000,2010,1,1673
0473000,2010,2,1648
0473000,2010,3,1551
0473000,2010,4,1524
0473000,2010,5,1475
0473000,2010,6,1415
0473000,2010,7,1421
0473000,2010,8,1415
0473000,2010,9,1492
0473000,2010,10,1469
0473000,2010,11,1409
0473000,2010,12,1459
0473000,2010,13,1410
0473000,2010,14,1456
0473000,2010,15,1542
0473000,2010,16,1532
0473000,2010,17,1664
0473000,2010,18,4278
0473000,2010,19,7425
0473000,2020,0,1751
0473000,2020,1,1736
0473000,2020,2,1662
0473000,2020,3,1634
0473000,2020,4,1607
0473000,2020,5,1551
0473000,2020,6,1568
0473000,2020,7,1444
0473000,2020,8,1430
0473000,2020,9,1450
0473000,2020,10,1458
0473000,2020,11,1449
0473000,2020,12,1552
0473000,2020,13,1430
0473000,2020,14,1377
0473000,2020,15,1460
0473000,2020,16,1447
0473000,2020,17,1526
0473000,2020,18,3551
0473000,2020,19,6672
0606000,2000,0,846
0606000,2000,1,840
0606000,2000,2,824
0606000,2000,3,819
0606000,2000,4,780
0606000,2000,5,798
0606000,2000,6,833
0606000,2000,7,758
0606000,2000,8,805
0606000,2000,9,838
0606000,2000,10,809
0606000,2000,11,809
0606000,2000,12,818
0606000,2000,13,778
0606000,2000,14,760
0606000,2000,15,788
0606000,2000,16,773
0606000,2000,17,837
0606000,2000,18,2053
0606000,2000,19,3527
0606000,2010,0,828
0606000,2010,1,863
0606000,2010,2,836
0606000,2010,3,820
0606000,2010,4,789
0606000,2010,5,813
0606000,2010,6,786
0606000,2010,7,772
0606000,2010,8,730
0606000,2010,9,692
0606000,2010,10,683
0606000,2010,11,780
0606000,2010,12,712
0606000,2010,13,722
0606000,2010,14,713
0606000,2010,15,781
0606000,2010,16,741
0606000,2010,17,811
0606000,2010,18,3843
0606000,2010,19,5626
0606000,2020,0,876
0606000,2020,1,778
0606000,2020,2,757
0606000,2020,3,804
0606000,2020,4,882
0606000,2020,5,776
0606000,2020,6,834
0606000,2020,7,886
0606000,2020,8,781
0606000,2020,9,805
0606000,2020,10,882
0606000,2020,11,915
0606000,2020,12,859
0606000,2020,13,850
0606000,2020,14,846
0606000,2020,15,993
0606000,2020,16,937
0606000,2020,17,933
0606000,2020,18,4562
0606000,2020,19,5496
0636770,2000,0,1532
0636770,2000,1,1562
0636770,2000,2,1568
0636770,2000,3,1633
0636770,2000,4,1702
0636770,2000,5,1818
0636770,2000,6,1912
0636770,2000,7,1921
0636770,2000,8,2008
0636770,2000,9,2021
0636770,2000,10,1953
0636770,2000,11,2041
0636770,2000,12,1966
0636770,2000,13,1937
0636770,2000,14,1974
0636770,2000,15,1968
0636770,2000,16,2029
0636770,2000,17,2010
