place_fips,year,housing_units
0137000,2010,84949
0137000,2020,100391
0473000,2010,73462
0473000,2020,82626
0606000,2010,49454
0606000,2020,52331
0636770,2010,83899
0636770,2020,119215
0649670,2010,33881
0649670,2020,37295
0656000,2010,59551
0656000,2020,61643
0669070,2010,37820
0669070,2020,38208
0807850,2010,43479
0807850,2020,46289
0824950,2010,6581
0824950,2020,10332
0827425,2010,60503
0827425,2020,71625
0841835,2010,9997
0841835,2020,12456
0845970,2010,35008
0845970,2020,41680
0846355,2010,7892
0846355,2020,8929
0875640,2010,4698
0875640,2020,5025
0952000,2010,54967
0952000,2020,57525
1225175,2010,57576
1225175,2020,63612
1724582,2010,33181
1724582,2020,34462
1805860,2010,33239
1805860,2020,36454
1938595,2010,29270
1938595,2020,32854
2205000,2010,100801
2205000,2020,105272
2511000,2010,47291
2511000,2020,53907
2603000,2010,49789
2603000,2020,53213
2754880,2010,45683
2754880,2020,53210
3673000,2010,64356
3673000,2020,66791
3711800,2010,22254
3711800,2020,23713
3719000,2010,103221
3719000,2020,128005
4123850,2010,69951
4123850,2020,77395
4261000,2010,156165
4261000,2020,157695
4815976,2010,37226
4815976,2020,48782
4962470,2010,33212
4962470,2020,36106
5548000,2010,108843
5548000,2020,126070
