place_fips,year,size_class,months_reported,buildings,units
0137000,2010,1-unit,12,1073,1073
0137000,2010,2-units,12,0,0
0137000,2010,3-4 units,12,0,0
0137000,2010,5+ units,12,0,0
0137000,2011,1-unit,12,1018,1018
0137000,2011,2-units,12,0,0
0137000,2011,3-4 units,12,1,4
0137000,2011,5+ units,12,0,0
0137000,2012,1-unit,12,960,960
0137000,2012,2-units,12,0,0
0137000,2012,3-4 units,12,0,0
0137000,2012,5+ units,12,19,420
0137000,2013,1-unit,12,1000,1000
0137000,2013,2-units,12,0,0
0137000,2013,3-4 units,12,11,44
0137000,2013,5+ units,12,12,262
0137000,2014,1-unit,12,897,897
0137000,2014,2-units,12,8,16
0137000,2014,3-4 units,12,8,26
0137000,2014,5+ units,12,49,935
0137000,2015,1-unit,12,1021,1021
0137000,2015,2-units,12,1,2
0137000,2015,3-4 units,12,4,16
0137000,2015,5+ units,12,21,466
0137000,2016,1-unit,12,1091,1091
0137000,2016,2-units,12,0,0
0137000,2016,3-4 units,12,0,0
0137000,2016,5+ units,12,28,672
0137000,2017,1-unit,12,1144,1144
0137000,2017,2-units,12,0,0
0137000,2017,3-4 units,12,0,0
0137000,2017,5+ units,12,6,380
0137000,2018,1-unit,12,1241,1241
0137000,2018,2-units,12,0,0
0137000,2018,3-4 units,12,9,36
0137000,2018,5+ units,12,6,35
0137000,2019,1-unit,12,1436,1436
0137000,2019,2-units,12,1,2
0137000,2019,3-4 units,12,20,80
0137000,2019,5+ units,12,17,85
0137000,2020,1-unit,12,1705,1705
0137000,2020,2-units,12,12,24
0137000,2020,3-4 units,12,0,0
0137000,2020,5+ units,12,2,60
0137000,2021,1-unit,12,1483,1483
0137000,2021,2-units,12,0,0
0137000,2021,3-4 units,12,0,0
0137000,2021,5+ units,12,71,1328
0137000,2022,1-unit,12,1083,1083
0137000,2022,2-units,12,1,2
0137000,2022,3-4 units,12,1,4
0137000,2022,5+ units,12,8,41
0137000,2023,1-unit,12,1403,1403
0137000,2023,2-units,12,45,90
0137000,2023,3-4 units,12,1,4
0137000,2023,5+ units,12,28,1103
0137000,2024,1-unit,12,1245,1245
0137000,2024,2-units,12,6,12
0137000,2024,3-4 units,12,0,0
0137000,2024,5+ units,12,10,228
0137000,2025,1-unit,12,1002,1002
0137000,2025,2-units,12,3,6
0137000,2025,3-4 units,12,18,72
0137000,2025,5+ units,12,61,862
0473000,2010,1-unit,3,51,51
0473000,2010,2-units,3,0,0
0473000,2010,3-4 units,3,0,0
0473000,2010,5+ units,3,9,245
0473000,2011,1-unit,12,19,19
0473000,2011,2-units,12,0,0
0473000,2011,3-4 units,12,0,0
0473000,2011,5+ units,12,13,448
0473000,2012,1-unit,12,33,33
0473000,2012,2-units,12,6,12
0473000,2012,3-4 units,12,0,0
0473000,2012,5+ units,12,26,372
0473000,2013,1-unit,12,10,10
0473000,2013,2-units,12,9,18
0473000,2013,3-4 units,12,1,4
0473000,2013,5+ units,12,11,916
0473000,2014,1-unit,12,56,56
0473000,2014,2-units,12,0,0
0473000,2014,3-4 units,12,0,0
0473000,2014,5+ units,12,43,2064
0473000,2015,1-unit,12,229,229
0473000,2015,2-units,12,0,0
0473000,2015,3-4 units,12,13,51
0473000,2015,5+ units,12,18,658
0473000,2016,1-unit,12,85,85
0473000,2016,2-units,12,3,6
0473000,2016,3-4 units,12,0,0
0473000,2016,5+ units,12,17,1494
0473000,2017,1-unit,12,72,72
0473000,2017,2-units,12,7,14
0473000,2017,3-4 units,12,0,0
0473000,2017,5+ units,12,3,622
0473000,2018,1-unit,11,123,123
0473000,2018,2-units,11,4,8
0473000,2018,3-4 units,11,0,0
0473000,2018,5+ units,11,13,1629
0473000,2019,1-unit,0,102,102
0473000,2019,2-units,0,6,12
0473000,2019,3-4 units,0,0,0
0473000,2019,5+ units,0,12,1287
0473000,2020,1-unit,0,118,118
0473000,2020,2-units,0,8,16
0473000,2020,3-4 units,0,0,0
0473000,2020,5+ units,0,13,1205
0473000,2021,1-unit,0,123,123
0473000,2021,2-units,0,11,22
0473000,2021,3-4 units,0,0,0
0473000,2021,5+ units,0,16,1613
0473000,2022,1-unit,0,102,102
0473000,2022,2-units,0,8,16
0473000,2022,3-4 units,0,0,0
0473000,2022,5+ units,0,17,1627
0473000,2023,1-unit,0,91,91
0473000,2023,2-units,0,7,14
0473000,2023,3-4 units,0,0,0
0473000,2023,5+ units,0,15,1391
0473000,2024,1-unit,0,99,99
0473000,2024,2-units,0,7,14
0473000,2024,3-4 units,0,0,0
0473000,2024,5+ units,0,12,962
0473000,2025,1-unit,0,84,84
0473000,2025,2-units,0,7,14
0473000,2025,3-4 units,0,0,0
0473000,2025,5+ units,0,15,1189
0606000,2010,1-unit,12,2,2
0606000,2010,2-units,12,0,0
0606000,2010,3-4 units,12,0,0
0606000,2010,5+ units,12,1,16
0606000,2011,1-unit,12,4,4
0606000,2011,2-units,12,0,0
0606000,2011,3-4 units,12,0,0
0606000,2011,5+ units,12,1,38
0606000,2012,1-unit,12,1,1
0606000,2012,2-units,12,0,0
0606000,2012,3-4 units,12,0,0
0606000,2012,5+ units,12,1,94
0606000,2013,1-unit,12,17,17
0606000,2013,2-units,12,0,0
0606000,2013,3-4 units,12,0,0
0606000,2013,5+ units,12,1,45
0606000,2014,1-unit,12,20,20
0606000,2014,2-units,12,1,2
0606000,2014,3-4 units,12,0,0
0606000,2014,5+ units,12,5,342
0606000,2015,1-unit,12,12,12
0606000,2015,2-units,12,0,0
0606000,2015,3-4 units,12,0,0
0606000,2015,5+ units,12,5,292
0606000,2016,1-unit,0,16,16
0606000,2016,2-units,0,0,0
0606000,2016,3-4 units,0,0,0
0606000,2016,5+ units,0,12,341
0606000,2017,1-unit,2,36,36
0606000,2017,2-units,2,0,0
0606000,2017,3-4 units,2,0,0
0606000,2017,5+ units,2,13,275
0606000,2018,1-unit,12,66,66
0606000,2018,2-units,12,2,4
0606000,2018,3-4 units,12,0,0
0606000,2018,5+ units,12,3,125
0606000,2019,1-unit,12,80,80
0606000,2019,2-units,12,0,0
0606000,2019,3-4 units,12,0,0
0606000,2019,5+ units,12,3,186
0606000,2020,1-unit,6,82,82
0606000,2020,2-units,6,1,2
0606000,2020,3-4 units,6,0,0
0606000,2020,5+ units,6,9,255
0606000,2021,1-unit,12,88,88
0606000,2021,2-units,12,3,6
0606000,2021,3-4 units,12,0,0
0606000,2021,5+ units,12,7,222
0606000,2022,1-unit,12,79,79
0606000,2022,2-units,12,0,0
0606000,2022,3-4 units,12,0,0
0606000,2022,5+ units,12,8,716
0606000,2023,1-unit,12,89,89
0606000,2023,2-units,12,4,8
0606000,2023,3-4 units,12,1,4
0606000,2023,5+ units,12,6,332
0606000,2024,1-unit,7,98,98
0606000,2024,2-units,7,3,6
0606000,2024,3-4 units,7,1,3
0606000,2024,5+ units,7,8,200
0606000,2025,1-unit,9,106,106
0606000,2025,2-units,9,4,8
0606000,2025,3-4 units,9,0,0
0606000,2025,5+ units,9,7,250
0636770,2010,1-unit,12,641,641
0636770,2010,2-units,12,14,28
0636770,2010,3-4 units,12,56,201
0636770,2010,5+ units,12,46,884
0636770,2011,1-unit,12,857,857
0636770,2011,2-units,12,8,16
0636770,2011,3-4 units,12,4,14
0636770,2011,5+ units,12,102,1746
0636770,2012,1-unit,12,943,943
0636770,2012,2-units,12,107,214
0636770,2012,3-4 units,12,2,6
0636770,2012,5+ units,12,109,1428
0636770,2013,1-unit,12,1608,1608
0636770,2013,2-units,12,14,28
0636770,2013,3-4 units,12,44,151
0636770,2013,5+ units,12,90,2903
0636770,2014,1-unit,12,1564,1564
0636770,2014,2-units,12,15,30
0636770,2014,3-4 units,12,43,155
0636770,2014,5+ units,12,66,1499
0636770,2015,1-unit,12,1333,1333
0636770,2015,2-units,12,65,130
