countyfips,year,births,deaths,netmig
13,1970,2309,780,4903
13,1971,2268,778,4684
13,1972,2198,802,8628
13,1973,2147,841,8001
13,1974,2066,851,6241
13,1975,2073,811,1526
13,1976,2120,810,-75
13,1977,2207,845,6200
13,1978,2331,853,4018
13,1979,2491,869,2103
13,1980,2644,897,1749
13,1981,2876,956,2299
13,1982,3039,999,3223
13,1983,3060,977,2346
13,1984,3160,1002,3461
13,1985,3279,1055,-3005
13,1986,3299,1036,134
13,1987,3262,1034,153
13,1988,3241,1066,1983
13,1989,3231,1068,1811
13,1990,3275,1080,1493
13,1991,3323,1104,2716
13,1992,3332,1043,5126
13,1993,3228,1191,6853
13,1994,3166,1205,3483
13,1995,3050,1281,3007
13,1996,3199,1242,2310
13,1997,3182,1352,2465
13,1998,3377,1343,6023
13,1999,3513,1369,7663
13,2000,3719,1388,-10005
13,2001,3402,1444,5298
13,2002,3575,1403,-1249
13,2003,3636,1474,-3832
13,2004,3571,1434,-1612
13,2005,3510,1378,-2510
13,2006,3511,1471,1183
13,2007,3390,1481,715
13,2008,3353,1524,1241
13,2009,3187,1512,139
13,2010,3141,1544,367
13,2011,2995,1510,3436
13,2012,2954,1571,3972
13,2013,2963,1666,3718
13,2014,2939,1709,2087
13,2015,2857,1784,5066
13,2016,2841,1813,2577
13,2017,2628,1790,619
13,2018,2580,1832,1893
13,2019,2525,1998,245
13,2020,2507,2040,1657
13,2021,2472,2129,-4159
13,2022,2430,2201,665
13,2023,2398,2148,58
13,2024,2304,2178,1533
13,2025,2351,2218,-689
13,2026,2342,2250,-523
13,2027,2360,2305,928
13,2028,2373,2360,1172
13,2029,2397,2419,1438
13,2030,2431,2480,1571
13,2031,2477,2543,1808
13,2032,2532,2608,2000
13,2033,2591,2675,1994
13,2034,2646,2744,1987
13,2035,2695,2810,1972
13,2036,2738,2878,1967
13,2037,2774,2945,1944
13,2038,2802,3009,1917
13,2039,2822,3072,1891
13,2040,2832,3131,1864
13,2041,2835,3188,1842
13,2042,2825,3243,1835
13,2043,2810,3293,1728
13,2044,2787,3343,1664
13,2045,2759,3384,1595
13,2046,2726,3424,1511
13,2047,2690,3459,1445
13,2048,2653,3499,1384
13,2049,2615,3528,1338
13,2050,2578,3550,1245
13,2051,2542,3577,1245
13,2052,2506,3598,1245
13,2053,2474,3617,1245
13,2054,2445,3637,1245
13,2055,2419,3652,1245
13,2056,2397,3672,1245
13,2057,2379,3688,1245
13,2058,2365,3704,1245
13,2059,2355,3718,1245
13,2060,2348,3730,1245
14,2000,0,0,38545
14,2001,645,0,2197
14,2002,677,116,484
14,2003,689,190,2029
14,2004,604,208,1050
14,2005,649,193,1389
14,2006,676,228,2453
14,2007,722,231,1685
14,2008,723,230,579
14,2009,693,244,529
14,2010,690,271,310
14,2011,682,316,1111
14,2012,673,318,1332
14,2013,684,323,1037
14,2014,699,347,1483
14,2015,671,358,3014
14,2016,735,377,1518
14,2017,673,352,1627
14,2018,634,373,1406
14,2019,685,435,1097
14,2020,642,432,1623
14,2021,645,444,730
14,2022,635,492,693
14,2023,673,467,658
14,2024,676,513,1157
14,2025,696,530,778
14,2026,715,541,799
14,2027,702,557,917
14,2028,728,573,1035
14,2029,686,590,1153
14,2030,698,608,1300
14,2031,686,626,1300
14,2032,697,645,1300
14,2033,682,664,1300
14,2034,687,684,1300
14,2035,678,703,1300
14,2036,700,723,1300
14,2037,699,743,1300
14,2038,711,763,1300
14,2039,712,782,1300
14,2040,714,801,1300
14,2041,721,820,1300
14,2042,707,839,1300
14,2043,722,857,1300
14,2044,717,875,1300
14,2045,718,893,1300
14,2046,728,909,1300
14,2047,728,925,1300
14,2048,731,943,1300
14,2049,723,959,1300
14,2050,735,973,1300
14,2051,724,987,1300
14,2052,726,1001,1300
14,2053,729,1015,1300
14,2054,733,1029,1300
14,2055,736,1043,1300
14,2056,740,1059,1300
14,2057,744,1074,1300
14,2058,748,1090,1300
14,2059,751,1105,1300
14,2060,754,1120,1300
