area_code,year,age_group_id,household_type_id,total_households
13,2010,0,0,119568
13,2010,1,0,11214
13,2010,2,0,41267
13,2010,3,0,47940
13,2010,4,0,19148
13,2010,0,1,34413
13,2010,1,1,3286
13,2010,2,1,9129
13,2010,3,1,13393
13,2010,4,1,8606
13,2010,0,2,6368
13,2010,1,2,836
13,2010,2,2,3788
13,2010,3,2,1691
13,2010,4,2,53
13,2010,0,3,46992
13,2010,1,3,5242
13,2010,2,3,9490
13,2010,3,3,22339
13,2010,4,3,9921
13,2010,0,4,31795
13,2010,1,4,1849
13,2010,2,4,18860
13,2010,3,4,10517
13,2010,4,4,568
13,2011,0,0,121382
13,2011,1,0,10416
13,2011,2,0,40984
13,2011,3,0,49267
13,2011,4,0,20716
13,2011,0,1,34867
13,2011,1,1,3005
13,2011,2,1,8975
13,2011,3,1,13634
13,2011,4,1,9252
13,2011,0,2,6246
13,2011,1,2,741
13,2011,2,2,3690
13,2011,3,2,1754
13,2011,4,2,61
13,2011,0,3,48366
13,2011,1,3,4978
13,2011,2,3,9655
13,2011,3,3,22961
13,2011,4,3,10771
13,2011,0,4,31903
13,2011,1,4,1692
13,2011,2,4,18662
13,2011,3,4,10917
13,2011,4,4,632
13,2012,0,0,123381
13,2012,1,0,10485
13,2012,2,0,41184
13,2012,3,0,49418
13,2012,4,0,22294
13,2012,0,1,35341
13,2012,1,1,2975
13,2012,2,1,8927
13,2012,3,1,13546
13,2012,4,1,9894
13,2012,0,2,6188
13,2012,1,2,707
13,2012,2,2,3636
13,2012,3,2,1776
13,2012,4,2,69
13,2012,0,3,49732
13,2012,1,3,5127
13,2012,2,3,9938
13,2012,3,3,23036
13,2012,4,3,11632
13,2012,0,4,32119
13,2012,1,4,1676
13,2012,2,4,18684
13,2012,3,4,11060
13,2012,4,4,699
13,2013,0,0,125254
13,2013,1,0,10476
13,2013,2,0,41448
13,2013,3,0,49603
13,2013,4,0,23728
13,2013,0,1,35736
13,2013,1,1,2923
13,2013,2,1,8886
13,2013,3,1,13464
13,2013,4,1,10463
13,2013,0,2,6128
13,2013,1,2,667
13,2013,2,2,3584
13,2013,3,2,1799
13,2013,4,2,78
13,2013,0,3,51030
13,2013,1,3,5238
13,2013,2,3,10244
13,2013,3,3,23126
13,2013,4,3,12423
13,2013,0,4,32359
13,2013,1,4,1648
13,2013,2,4,18734
13,2013,3,4,11214
13,2013,4,4,764
13,2014,0,0,126418
13,2014,1,0,10352
13,2014,2,0,41189
13,2014,3,0,49838
13,2014,4,0,25039
13,2014,0,1,35927
13,2014,1,1,2835
13,2014,2,1,8731
13,2014,3,1,13392
13,2014,4,1,10969
13,2014,0,2,6014
13,2014,1,2,617
13,2014,2,2,3485
13,2014,3,2,1825
13,2014,4,2,87
13,2014,0,3,52123
13,2014,1,3,5301
13,2014,2,3,10426
13,2014,3,3,23240
13,2014,4,3,13156
13,2014,0,4,32353
13,2014,1,4,1598
13,2014,2,4,18547
13,2014,3,4,11381
13,2014,4,4,828
13,2015,0,0,128728
13,2015,1,0,10324
13,2015,2,0,41446
13,2015,3,0,50544
13,2015,4,0,26414
13,2015,0,1,36389
13,2015,1,1,2772
13,2015,2,1,8680
13,2015,3,1,13442
13,2015,4,1,11495
13,2015,0,2,5967
13,2015,1,2,571
13,2015,2,2,3431
13,2015,3,2,1869
13,2015,4,2,96
13,2015,0,3,53661
13,2015,1,3,5420
13,2015,2,3,10740
13,2015,3,3,23573
13,2015,4,3,13927
13,2015,0,4,32710
13,2015,1,4,1561
13,2015,2,4,18595
13,2015,3,4,11659
13,2015,4,4,896
13,2016,0,0,130165
13,2016,1,0,10155
13,2016,2,0,41684
13,2016,3,0,50591
13,2016,4,0,27735
13,2016,0,1,36590
13,2016,1,1,2667
13,2016,2,1,8621
13,2016,3,1,13313
13,2016,4,1,11988
13,2016,0,2,5884
13,2016,1,2,516
13,2016,2,2,3374
13,2016,3,2,1888
13,2016,4,2,106
13,2016,0,3,54805
13,2016,1,3,5469
13,2016,2,3,11054
13,2016,3,3,23605
13,2016,4,3,14677
13,2016,0,4,32885
13,2016,1,4,1502
13,2016,2,4,18634
13,2016,3,4,11785
13,2016,4,4,964
13,2017,0,0,130647
13,2017,1,0,9888
13,2017,2,0,41463
13,2017,3,0,50182
13,2017,4,0,29113
13,2017,0,1,36561
13,2017,1,1,2535
13,2017,2,1,8468
13,2017,3,1,13062
13,2017,4,1,12496
13,2017,0,2,5741
13,2017,1,2,454
13,2017,2,2,3280
13,2017,3,2,1890
13,2017,4,2,117
13,2017,0,3,55613
13,2017,1,3,5473
13,2017,2,3,11251
13,2017,3,3,23427
13,2017,4,3,15463
13,2017,0,4,32732
13,2017,1,4,1427
13,2017,2,4,18465
13,2017,3,4,11803
13,2017,4,4,1037
13,2018,0,0,131636
13,2018,1,0,9748
13,2018,2,0,41641
13,2018,3,0,49700
13,2018,4,0,30547
13,2018,0,1,36639
13,2018,1,1,2435
13,2018,2,1,8390
13,2018,3,1,12794
13,2018,4,1,13020
13,2018,0,2,5633
13,2018,1,2,399
13,2018,2,2,3216
13,2018,3,2,1890
13,2018,4,2,129
13,2018,0,3,56597
13,2018,1,3,5545
13,2018,2,3,11558
13,2018,3,3,23211
13,2018,4,3,16284
13,2018,0,4,32767
13,2018,1,4,1369
13,2018,2,4,18478
13,2018,3,4,11806
13,2018,4,4,1114
13,2019,0,0,131875
13,2019,1,0,9421
13,2019,2,0,41751
13,2019,3,0,48821
13,2019,4,0,31882
13,2019,0,1,36503
13,2019,1,1,2289
13,2019,2,1,8296
13,2019,3,1,12425
13,2019,4,1,13493
13,2019,0,2,5494
13,2019,1,2,335
13,2019,2,2,3145
13,2019,3,2,1874
13,2019,4,2,140
13,2019,0,3,57234
13,2019,1,3,5512
13,2019,2,3,11853
13,2019,3,3,22810
13,2019,4,3,17058
13,2019,0,4,32645
13,2019,1,4,1285
13,2019,2,4,18457
13,2019,3,4,11712
13,2019,4,4,1191
13,2020,0,0,133467
13,2020,1,0,10975
13,2020,2,0,41839
13,2020,3,0,48037
13,2020,4,0,32615
13,2020,0,1,37009
13,2020,1,1,2667
13,2020,2,1,8313
13,2020,3,1,12225
13,2020,4,1,13803
13,2020,0,2,5529
13,2020,1,2,390
13,2020,2,2,3152
13,2020,3,2,1844
13,2020,4,2,143
13,2020,0,3,58194
13,2020,1,3,6421
13,2020,2,3,11878
13,2020,3,3,22444
13,2020,4,3,17451
13,2020,0,4,32735
13,2020,1,4,1497
13,2020,2,4,18496
13,2020,3,4,11524
13,2020,4,4,1218
13,2021,0,0,135346
13,2021,1,0,11260
13,2021,2,0,41228
13,2021,3,0,48586
13,2021,4,0,34272
13,2021,0,1,37768
13,2021,1,1,2710
13,2021,2,1,8188
13,2021,3,1,12365
13,2021,4,1,14504
13,2021,0,2,5516
13,2021,1,2,396
13,2021,2,2,3104
13,2021,3,2,1865
13,2021,4,2,151
13,2021,0,3,59387
13,2021,1,3,6632
13,2021,2,3,11718
13,2021,3,3,22700
13,2021,4,3,18337
13,2021,0,4,32675
13,2021,1,4,1521
13,2021,2,4,18218
13,2021,3,4,11656
13,2021,4,4,1280
13,2022,0,0,135561
13,2022,1,0,11514
13,2022,2,0,40472
13,2022,3,0,48334
13,2022,4,0,35241
13,2022,0,1,37994
13,2022,1,1,2744
13,2022,2,1,8035
13,2022,3,1,12301
13,2022,4,1,14914
13,2022,0,2,5457
13,2022,1,2,401
13,2022,2,2,3046
13,2022,3,2,1855
13,2022,4,2,155
13,2022,0,3,59782
13,2022,1,3,6829
13,2022,2,3,11515
13,2022,3,3,22582
13,2022,4,3,18855
13,2022,0,4,32328
13,2022,1,4,1540
13,2022,2,4,17876
13,2022,3,4,11596
13,2022,4,4,1316
13,2023,0,0,136837
13,2023,1,0,11553
13,2023,2,0,40275
13,2023,3,0,48450
13,2023,4,0,36559
13,2023,0,1,38520
13,2023,1,1,2725
13,2023,2,1,7992
13,2023,3,1,12330
13,2023,4,1,15472
13,2023,0,2,5449
13,2023,1,2,398
13,2023,2,2,3030
13,2023,3,2,1860
13,2023,4,2,161
13,2023,0,3,60568
13,2023,1,3,6899
13,2023,2,3,11472
13,2023,3,3,22637
13,2023,4,3,19561
13,2023,0,4,32300
13,2023,1,4,1530
13,2023,2,4,17782
13,2023,3,4,11623
13,2023,4,4,1365
13,2024,0,0,139314
13,2024,1,0,11697
13,2024,2,0,40805
13,2024,3,0,48843
13,2024,4,0,37969
13,2024,0,1,39323
13,2024,1,1,2730
13,2024,2,1,8094
13,2024,3,1,12430
13,2024,4,1,16069
13,2024,0,2,5509
13,2024,1,2,399
13,2024,2,2,3068
13,2024,3,2,1875
13,2024,4,2,167
13,2024,0,3,61806
13,2024,1,3,7036
13,2024,2,3,11635
13,2024,3,3,22820
13,2024,4,3,20315
13,2024,0,4,32675
13,2024,1,4,1532
13,2024,2,4,18007
13,2024,3,4,11718
13,2024,4,4,1418
13,2025,0,0,135701
13,2025,1,0,11191
13,2025,2,0,39169
13,2025,3,0,47220
13,2025,4,0,38121
13,2025,0,1,38500
13,2025,1,1,2583
13,2025,2,1,7766
13,2025,3,1,12017
13,2025,4,1,16134
13,2025,0,2,5302
13,2025,1,2,378
13,2025,2,2,2944
13,2025,3,2,1813
13,2025,4,2,167
13,2025,0,3,60419
13,2025,1,3,6780
13,2025,2,3,11181
13,2025,3,3,22062
13,2025,4,3,20397
13,2025,0,4,31480
13,2025,1,4,1450
13,2025,2,4,17278
13,2025,3,4,11328
13,2025,4,4,1424
13,2026,0,0,136129
13,2026,1,0,11075
13,2026,2,0,38862
13,2026,3,0,47031
13,2026,4,0,39161
13,2026,0,1,38772
13,2026,1,1,2527
13,2026,2,1,7702
13,2026,3,1,11969
13,2026,4,1,16574
13,2026,0,2,5267
13,2026,1,2,369
13,2026,2,2,2920
13,2026,3,2,1805
13,2026,4,2,172
13,2026,0,3,60791
13,2026,1,3,6760
13,2026,2,3,11105
13,2026,3,3,21973
13,2026,4,3,20953
13,2026,0,4,31299
13,2026,1,4,1419
13,2026,2,4,17135
13,2026,3,4,11283
13,2026,4,4,1462
13,2027,0,0,136940
13,2027,1,0,10792
13,2027,2,0,39052
13,2027,3,0,46997
13,2027,4,0,40099
13,2027,0,1,39100
13,2027,1,1,2433
13,2027,2,1,7736
13,2027,3,1,11961
13,2027,4,1,16971
13,2027,0,2,5269
13,2027,1,2,356
13,2027,2,2,2933
13,2027,3,2,1804
13,2027,4,2,176
13,2027,0,3,61221
13,2027,1,3,6637
13,2027,2,3,11171
13,2027,3,3,21958
13,2027,4,3,21455
13,2027,0,4,31349
13,2027,1,4,1366
13,2027,2,4,17211
13,2027,3,4,11275
13,2027,4,4,1497
13,2028,0,0,137820
13,2028,1,0,10652
13,2028,2,0,39149
13,2028,3,0,47006
13,2028,4,0,41012
13,2028,0,1,39444
13,2028,1,1,2372
13,2028,2,1,7752
13,2028,3,1,11963
13,2028,4,1,17357
13,2028,0,2,5270
13,2028,1,2,347
13,2028,2,2,2939
13,2028,3,2,1804
13,2028,4,2,180
13,2028,0,3,61719
13,2028,1,3,6602
13,2028,2,3,11212
13,2028,3,3,21962
13,2028,4,3,21943
13,2028,0,4,31387
13,2028,1,4,1332
13,2028,2,4,17247
13,2028,3,4,11277
13,2028,4,4,1531
13,2029,0,0,138687
13,2029,1,0,10494
13,2029,2,0,39453
13,2029,3,0,47030
13,2029,4,0,41710
13,2029,0,1,39737
13,2029,1,1,2307
13,2029,2,1,7809
13,2029,3,1,11969
13,2029,4,1,17652
13,2029,0,2,5286
13,2029,1,2,337
13,2029,2,2,2960
13,2029,3,2,1805
13,2029,4,2,183
13,2029,0,3,62156
13,2029,1,3,6555
13,2029,2,3,11311
13,2029,3,3,21973
13,2029,4,3,22317
13,2029,0,4,31508
13,2029,1,4,1295
13,2029,2,4,17373
13,2029,3,4,11283
13,2029,4,4,1558
13,2030,0,0,139725
13,2030,1,0,10243
13,2030,2,0,39425
13,2030,3,0,47359
13,2030,4,0,42698
13,2030,0,1,40144
13,2030,1,1,2221
13,2030,2,1,7800
13,2030,3,1,12053
13,2030,4,1,18070
13,2030,0,2,5287
13,2030,1,2,325
13,2030,2,2,2957
13,2030,3,2,1818
13,2030,4,2,188
13,2030,0,3,62737
13,2030,1,3,6450
13,2030,2,3,11315
13,2030,3,3,22127
13,2030,4,3,22845
13,2030,0,4,31556
13,2030,1,4,1247
13,2030,2,4,17353
13,2030,3,4,11362
13,2030,4,4,1594
13,2031,0,0,140714
13,2031,1,0,10058
13,2031,2,0,39553
13,2031,3,0,47698
13,2031,4,0,43405
13,2031,0,1,40480
13,2031,1,1,2148
13,2031,2,1,7823
13,2031,3,1,12139
13,2031,4,1,18370
13,2031,0,2,5301
13,2031,1,2,314
13,2031,2,2,2966
