countyfips,year,age,totalpopulation
13,1990,0,3227
13,1990,1,3164
13,1990,2,3157
13,1990,3,3161
13,1990,4,3290
13,1990,5,3137
13,1990,6,3074
13,1990,7,3104
13,1990,8,2917
13,1990,9,3094
13,1990,10,2867
13,1990,11,2732
13,1990,12,2623
13,1990,13,2555
13,1990,14,2519
13,1990,15,2497
13,1990,16,2440
13,1990,17,2641
13,1990,18,4087
13,1990,19,5543
13,1990,20,5731
13,1990,21,5557
13,1990,22,4670
13,1990,23,3892
13,1990,24,3601
13,1990,25,3790
13,1990,26,4023
13,1990,27,4166
13,1990,28,4139
13,1990,29,4630
13,1990,30,4722
13,1990,31,4572
13,1990,32,4724
13,1990,33,4700
13,1990,34,4820
13,1990,35,4707
13,1990,36,4630
13,1990,37,4704
13,1990,38,4342
13,1990,39,4387
13,1990,40,4272
13,1990,41,4082
13,1990,42,4050
13,1990,43,4000
13,1990,44,3007
13,1990,45,2968
13,1990,46,2838
13,1990,47,2898
13,1990,48,2311
13,1990,49,2280
13,1990,50,2165
13,1990,51,2078
13,1990,52,1948
13,1990,53,1758
13,1990,54,1746
13,1990,55,1740
13,1990,56,1501
13,1990,57,1496
13,1990,58,1465
13,1990,59,1432
13,1990,60,1369
13,1990,61,1307
13,1990,62,1281
13,1990,63,1243
13,1990,64,1195
13,1990,65,1196
13,1990,66,1147
13,1990,67,1090
13,1990,68,1076
13,1990,69,999
13,1990,70,916
13,1990,71,922
13,1990,72,863
13,1990,73,790
13,1990,74,731
13,1990,75,724
13,1990,76,693
13,1990,77,669
13,1990,78,640
13,1990,79,610
13,1990,80,531
13,1990,81,494
13,1990,82,440
13,1990,83,403
13,1990,84,343
13,1990,85,368
13,1990,86,295
13,1990,87,260
13,1990,88,192
13,1990,89,193
13,1990,90,671
13,1991,0,3230
13,1991,1,3180
13,1991,2,3168
13,1991,3,3171
13,1991,4,3294
13,1991,5,3159
13,1991,6,3102
13,1991,7,3155
13,1991,8,2992
13,1991,9,3157
13,1991,10,2959
13,1991,11,2833
13,1991,12,2720
13,1991,13,2665
13,1991,14,2642
13,1991,15,2606
13,1991,16,2543
13,1991,17,2723
13,1991,18,4143
13,1991,19,5594
13,1991,20,5733
13,1991,21,5558
13,1991,22,4750
13,1991,23,3981
13,1991,24,3685
13,1991,25,3871
13,1991,26,4045
13,1991,27,4188
13,1991,28,4186
13,1991,29,4632
13,1991,30,4735
13,1991,31,4535
13,1991,32,4660
13,1991,33,4641
13,1991,34,4739
13,1991,35,4688
13,1991,36,4615
13,1991,37,4704
13,1991,38,4380
13,1991,39,4437
13,1991,40,4357
13,1991,41,4163
13,1991,42,4156
13,1991,43,4100
13,1991,44,3201
13,1991,45,3174
13,1991,46,3013
13,1991,47,3084
13,1991,48,2542
13,1991,49,2475
13,1991,50,2379
13,1991,51,2264
13,1991,52,2148
13,1991,53,1972
13,1991,54,1853
13,1991,55,1839
13,1991,56,1614
13,1991,57,1594
13,1991,58,1530
13,1991,59,1489
13,1991,60,1414
13,1991,61,1345
13,1991,62,1316
13,1991,63,1265
13,1991,64,1224
13,1991,65,1218
13,1991,66,1156
13,1991,67,1106
13,1991,68,1091
13,1991,69,1012
13,1991,70,940
13,1991,71,931
13,1991,72,882
13,1991,73,811
13,1991,74,754
13,1991,75,743
13,1991,76,712
13,1991,77,687
13,1991,78,659
13,1991,79,623
13,1991,80,547
13,1991,81,513
13,1991,82,456
13,1991,83,412
13,1991,84,360
13,1991,85,375
13,1991,86,306
13,1991,87,269
13,1991,88,202
13,1991,89,201
13,1991,90,701
13,1992,0,3278
13,1992,1,3238
13,1992,2,3223
13,1992,3,3224
13,1992,4,3345
13,1992,5,3221
13,1992,6,3169
13,1992,7,3242
13,1992,8,3096
13,1992,9,3255
13,1992,10,3077
13,1992,11,2957
13,1992,12,2841
13,1992,13,2796
13,1992,14,2785
13,1992,15,2735
13,1992,16,2665
13,1992,17,2830
13,1992,18,4248
13,1992,19,5716
13,1992,20,5817
13,1992,21,5639
13,1992,22,4883
13,1992,23,4114
13,1992,24,3807
13,1992,25,3993
13,1992,26,4121
13,1992,27,4265
13,1992,28,4285
13,1992,29,4700
13,1992,30,4811
13,1992,31,4567
13,1992,32,4670
13,1992,33,4657
13,1992,34,4738
13,1992,35,4736
13,1992,36,4666
13,1992,37,4769
13,1992,38,4472
13,1992,39,4541
13,1992,40,4490
13,1992,41,4289
13,1992,42,4302
13,1992,43,4241
13,1992,44,3409
13,1992,45,3391
13,1992,46,3202
13,1992,47,3283
13,1992,48,2770
13,1992,49,2673
13,1992,50,2593
13,1992,51,2453
13,1992,52,2346
13,1992,53,2180
13,1992,54,1971
13,1992,55,1949
13,1992,56,1731
13,1992,57,1698
13,1992,58,1605
13,1992,59,1558
13,1992,60,1471
13,1992,61,1395
13,1992,62,1365
13,1992,63,1303
13,1992,64,1264
13,1992,65,1253
13,1992,66,1180
13,1992,67,1135
13,1992,68,1120
13,1992,69,1037
13,1992,70,973
13,1992,71,952
13,1992,72,911
13,1992,73,841
13,1992,74,784
13,1992,75,770
13,1992,76,737
13,1992,77,713
13,1992,78,685
13,1992,79,642
13,1992,80,569
13,1992,81,535
13,1992,82,476
13,1992,83,428
13,1992,84,380
13,1992,85,387
13,1992,86,319
13,1992,87,280
13,1992,88,213
13,1992,89,211
13,1992,90,737
13,1993,0,3343
13,1993,1,3314
13,1993,2,3293
13,1993,3,3293
13,1993,4,3412
13,1993,5,3301
13,1993,6,3253
13,1993,7,3347
13,1993,8,3221
13,1993,9,3372
13,1993,10,3216
13,1993,11,3101
13,1993,12,2981
13,1993,13,2947
13,1993,14,2946
13,1993,15,2883
13,1993,16,2807
13,1993,17,2957
13,1993,18,4377
13,1993,19,5869
13,1993,20,5929
13,1993,21,5746
13,1993,22,5046
13,1993,23,4272
13,1993,24,3954
13,1993,25,4141
13,1993,26,4217
13,1993,27,4365
13,1993,28,4406
13,1993,29,4791
13,1993,30,4912
13,1993,31,4619
13,1993,32,4700
13,1993,33,4691
13,1993,34,4755
13,1993,35,4806
13,1993,36,4740
13,1993,37,4858
13,1993,38,4589
13,1993,39,4670
13,1993,40,4649
13,1993,41,4442
13,1993,42,4477
13,1993,43,4410
13,1993,44,3645
13,1993,45,3636
13,1993,46,3417
13,1993,47,3509
13,1993,48,3026
13,1993,49,2896
13,1993,50,2832
13,1993,51,2664
13,1993,52,2568
13,1993,53,2411
13,1993,54,2105
13,1993,55,2075
13,1993,56,1864
13,1993,57,1817
13,1993,58,1693
13,1993,59,1637
13,1993,60,1540
13,1993,61,1455
13,1993,62,1422
13,1993,63,1348
13,1993,64,1314
13,1993,65,1296
13,1993,66,1211
13,1993,67,1172
13,1993,68,1154
13,1993,69,1068
13,1993,70,1012
13,1993,71,978
13,1993,72,945
13,1993,73,876
13,1993,74,820
13,1993,75,802
13,1993,76,769
13,1993,77,744
13,1993,78,715
13,1993,79,665
13,1993,80,595
13,1993,81,563
13,1993,82,500
13,1993,83,444
13,1993,84,402
13,1993,85,402
13,1993,86,335
13,1993,87,293
13,1993,88,227
13,1993,89,223
13,1993,90,779
13,1994,0,3358
13,1994,1,3341
13,1994,2,3316
13,1994,3,3313
13,1994,4,3429
13,1994,5,3332
13,1994,6,3290
13,1994,7,3405
13,1994,8,3300
13,1994,9,3442
13,1994,10,3312
13,1994,11,3205
13,1994,12,3081
13,1994,13,3059
13,1994,14,3072
13,1994,15,2995
13,1994,16,2912
13,1994,17,3043
13,1994,18,4444
13,1994,19,5937
13,1994,20,5952
13,1994,21,5768
13,1994,22,5138
13,1994,23,4371
13,1994,24,4045
13,1994,25,4230
13,1994,26,4253
13,1994,27,4400
13,1994,28,4465
13,1994,29,4810
13,1994,30,4941
13,1994,31,4601
13,1994,32,4656
13,1994,33,4653
13,1994,34,4697
13,1994,35,4804
13,1994,36,4741
13,1994,37,4873
13,1994,38,4638
13,1994,39,4731
13,1994,40,4743
13,1994,41,4532
13,1994,42,4590
13,1994,43,4517
13,1994,44,3836
13,1994,45,3839
13,1994,46,3590
13,1994,47,3692
13,1994,48,3250
13,1994,49,3085
13,1994,50,3040
13,1994,51,2846
13,1994,52,2761
13,1994,53,2618
13,1994,54,2212
13,1994,55,2174
13,1994,56,1975
13,1994,57,1914
13,1994,58,1758
13,1994,59,1695
13,1994,60,1587
13,1994,61,1495
13,1994,62,1460
13,1994,63,1374
13,1994,64,1345
13,1994,65,1320
13,1994,66,1223
13,1994,67,1192
13,1994,68,1174
13,1994,69,1085
13,1994,70,1038
13,1994,71,990
13,1994,72,966
13,1994,73,900
13,1994,74,845
13,1994,75,823
13,1994,76,789
13,1994,77,764
13,1994,78,735
13,1994,79,680
13,1994,80,611
13,1994,81,582
13,1994,82,517
13,1994,83,455
13,1994,84,419
13,1994,85,410
13,1994,86,345
13,1994,87,302
13,1994,88,238
13,1994,89,232
13,1994,90,810
13,1995,0,3362
13,1995,1,3357
13,1995,2,3327
13,1995,3,3323
13,1995,4,3433
13,1995,5,3353
13,1995,6,3317
13,1995,7,3454
13,1995,8,3372
13,1995,9,3502
13,1995,10,3400
13,1995,11,3302
13,1995,12,3175
13,1995,13,3165
13,1995,14,3191
13,1995,15,3100
13,1995,16,3011
13,1995,17,3122
13,1995,18,4498
13,1995,19,5986
13,1995,20,5956
13,1995,21,5770
13,1995,22,5214
13,1995,23,4459
13,1995,24,4126
