county_fips,age_group,age_lo,age_hi,ssp,year,pop
06059,0-4,0,4,1,2020,205701.713135
06083,0-4,0,4,1,2020,30168.0593872
42003,0-4,0,4,1,2020,68238.1390381
37063,0-4,0,4,1,2020,23378.8675537
48041,0-4,0,4,1,2020,18814.1826782
41039,0-4,0,4,1,2020,21399.1079407
06085,0-4,0,4,1,2020,120829.440552
55025,0-4,0,4,1,2020,37951.3129883
36067,0-4,0,4,1,2020,24509.6296387
08069,0-4,0,4,1,2020,22588.2931213
49049,0-4,0,4,1,2020,57910.8398743
26161,0-4,0,4,1,2020,24464.6300659
17031,0-4,0,4,1,2020,358483.060547
25017,0-4,0,4,1,2020,86181.0107422
08013,0-4,0,4,1,2020,21355.5337067
01089,0-4,0,4,1,2020,22619.3633423
12001,0-4,0,4,1,2020,17858.8452759
08014,0-4,0,4,1,2020,4638.64778137
18105,0-4,0,4,1,2020,10026.3501892
19103,0-4,0,4,1,2020,12905.3378296
09009,0-4,0,4,1,2020,46365.8070068
06037,0-4,0,4,1,2020,722453.021484
06001,0-4,0,4,1,2020,110445.322266
22033,0-4,0,4,1,2020,33941.2427979
04013,0-4,0,4,1,2020,310828.911133
37135,0-4,0,4,1,2020,9222.10540771
27109,0-4,0,4,1,2020,10498.041687
06059,5-9,5,9,1,2020,197193.723877
06083,5-9,5,9,1,2020,29956.5347595
42003,5-9,5,9,1,2020,65566.5657959
37063,5-9,5,9,1,2020,19640.7634277
48041,5-9,5,9,1,2020,13698.5053406
41039,5-9,5,9,1,2020,19018.5052948
06085,5-9,5,9,1,2020,121906.23291
55025,5-9,5,9,1,2020,31994.3787842
36067,5-9,5,9,1,2020,27666.7207031
08069,5-9,5,9,1,2020,20137.5497589
49049,5-9,5,9,1,2020,56859.897171
26161,5-9,5,9,1,2020,18541.1217651
17031,5-9,5,9,1,2020,317965.624023
25017,5-9,5,9,1,2020,90502.5078125
08013,5-9,5,9,1,2020,17258.1306229
01089,5-9,5,9,1,2020,21916.4841614
12001,5-9,5,9,1,2020,14499.0699158
08014,5-9,5,9,1,2020,4374.35984802
18105,5-9,5,9,1,2020,6210.1033783
19103,5-9,5,9,1,2020,9186.63461304
09009,5-9,5,9,1,2020,46001.1762695
06037,5-9,5,9,1,2020,627140.970703
06001,5-9,5,9,1,2020,101329.401367
22033,5-9,5,9,1,2020,27975.6861877
04013,5-9,5,9,1,2020,293501.660156
37135,5-9,5,9,1,2020,7972.85916138
27109,5-9,5,9,1,2020,10787.2996216
06059,10-14,10,14,1,2020,215201.529785
06083,10-14,10,14,1,2020,29797.9968262
42003,10-14,10,14,1,2020,68213.0946045
37063,10-14,10,14,1,2020,20288.9133301
48041,10-14,10,14,1,2020,13851.196991
41039,10-14,10,14,1,2020,20875.1943359
06085,10-14,10,14,1,2020,133044.996338
55025,10-14,10,14,1,2020,33715.8330078
36067,10-14,10,14,1,2020,29836.4777832
08069,10-14,10,14,1,2020,21997.7103729
49049,10-14,10,14,1,2020,63327.4462585
26161,10-14,10,14,1,2020,20262.9017334
17031,10-14,10,14,1,2020,339710.171875
25017,10-14,10,14,1,2020,97218.4123535
08013,10-14,10,14,1,2020,20250.3130035
01089,10-14,10,14,1,2020,24098.2663574
12001,10-14,10,14,1,2020,14209.7530518
08014,10-14,10,14,1,2020,5149.53173447
18105,10-14,10,14,1,2020,6741.00312805
19103,10-14,10,14,1,2020,9186.97027588
09009,10-14,10,14,1,2020,52118.7867432
06037,10-14,10,14,1,2020,654968.644531
06001,10-14,10,14,1,2020,106180.354004
22033,10-14,10,14,1,2020,29035.2944946
04013,10-14,10,14,1,2020,319975.394531
37135,10-14,10,14,1,2020,9353.41033936
27109,10-14,10,14,1,2020,11407.2162781
06059,15-19,15,19,1,2020,198859.535156
06083,15-19,15,19,1,2020,40194.7003174
42003,15-19,15,19,1,2020,74926.0981445
37063,15-19,15,19,1,2020,23254.4761353
48041,15-19,15,19,1,2020,28377.5730591
41039,15-19,15,19,1,2020,25127.622406
06085,15-19,15,19,1,2020,119466.560547
55025,15-19,15,19,1,2020,38913.9549561
