age_group,age_lo,age_hi,ssp,year,pop
0-4,0,4,1,2020,20908024.885007095
5-9,5,9,1,2020,20611696.184178863
10-14,10,14,1,2020,22317711.269164875
15-19,15,19,1,2020,21227989.08298044
20-24,20,24,1,2020,20030032.568946224
25-29,25,29,1,2020,22997764.933703344
30-34,30,34,1,2020,24025717.981401477
35-39,35,39,1,2020,23697605.942709368
40-44,40,44,1,2020,20802772.183771193
45-49,45,49,1,2020,20780103.335731443
50-54,50,54,1,2020,20484524.970963415
55-59,55,59,1,2020,22267091.336345002
60-64,60,64,1,2020,21086272.514554452
65-69,65,69,1,2020,17825898.554103058
70-74,70,74,1,2020,14495922.3992145
75-79,75,79,1,2020,9772345.53799006
80-84,80,84,1,2020,6259641.128817907
85+,85,999,1,2020,7107308.202138133
0-4,0,4,1,2025,21245656.34949118
5-9,5,9,1,2025,21301352.321410634
10-14,10,14,1,2025,20866953.975311313
15-19,15,19,1,2025,22436615.438209042
20-24,20,24,1,2025,21356001.576454386
25-29,25,29,1,2025,21256777.066679403
30-34,30,34,1,2025,24070893.538949445
35-39,35,39,1,2025,24697334.81206332
40-44,40,44,1,2025,24057380.525909383
45-49,45,49,1,2025,20941859.63090791
50-54,50,54,1,2025,20710761.20179675
55-59,55,59,1,2025,20217311.182580274
60-64,60,64,1,2025,21699793.711593505
65-69,65,69,1,2025,20189282.02348657
70-74,70,74,1,2025,16617509.955087988
75-79,75,79,1,2025,12856770.769232744
80-84,80,84,1,2025,7970274.64860041
85+,85,999,1,2025,7899328.575831711
0-4,0,4,1,2030,21208557.892318826
5-9,5,9,1,2030,21603235.461441867
10-14,10,14,1,2030,21538970.36171965
15-19,15,19,1,2030,20996147.403265435
20-24,20,24,1,2030,22575607.782764446
25-29,25,29,1,2030,22589068.482705504
30-34,30,34,1,2030,22373813.62441456
35-39,35,39,1,2030,24741090.23380987
40-44,40,44,1,2030,25110564.654384073
45-49,45,49,1,2030,24219822.741461568
50-54,50,54,1,2030,20930537.21525443
55-59,55,59,1,2030,20514320.30551282
60-64,60,64,1,2030,19817383.195896618
65-69,65,69,1,2030,20917146.79571387
70-74,70,74,1,2030,18985515.928382624
75-79,75,79,1,2030,14945049.78072785
80-84,80,84,1,2030,10723220.18582669
85+,85,999,1,2030,9869803.651327275
0-4,0,4,1,2035,21447827.10430266
5-9,5,9,1,2035,21533498.12715806
10-14,10,14,1,2035,21822152.6616968
15-19,15,19,1,2035,21662054.94228716
20-24,20,24,1,2035,21147213.956749715
25-29,25,29,1,2035,23858149.86420821
30-34,30,34,1,2035,23676236.527884427
35-39,35,39,1,2035,23093478.823870867
40-44,40,44,1,2035,25167642.655472852
45-49,45,49,1,2035,25322227.632488668
50-54,50,54,1,2035,24232056.893182386
55-59,55,59,1,2035,20797437.240629066
60-64,60,64,1,2035,20193946.935502805
65-69,65,69,1,2035,19228491.10106677
70-74,70,74,1,2035,19831169.935690425
75-79,75,79,1,2035,17282110.03752737
80-84,80,84,1,2035,12712054.749576695
85+,85,999,1,2035,13479796.285882924
0-4,0,4,1,2040,21764727.335919335
5-9,5,9,1,2040,21755907.222902738
10-14,10,14,1,2040,21736521.355338767
15-19,15,19,1,2040,21938735.878902256
20-24,20,24,1,2040,21811067.75697278
25-29,25,29,1,2040,22418464.533787504
30-34,30,34,1,2040,24976449.58289653
35-39,35,39,1,2040,24375467.308569722
40-44,40,44,1,2040,23563103.719812337
45-49,45,49,1,2040,25406614.925354067
50-54,50,54,1,2040,25385594.28122905
55-59,55,59,1,2040,24125815.779067073
60-64,60,64,1,2040,20553430.455992155
65-69,65,69,1,2040,19701106.063988723
70-74,70,74,1,2040,18380504.92512233
75-79,75,79,1,2040,18270012.42597804
80-84,80,84,1,2040,14972305.938619621
85+,85,999,1,2040,17635942.740047295
0-4,0,4,1,2045,21788294.938305173
5-9,5,9,1,2045,22058124.982792042
10-14,10,14,1,2045,21950671.030502845
15-19,15,19,1,2045,21847210.52540604
20-24,20,24,1,2045,22084410.042516645
25-29,25,29,1,2045,23047505.233411014
30-34,30,34,1,2045,23574800.404235985
35-39,35,39,1,2045,25697545.66464962
40-44,40,44,1,2045,24842297.83619946
45-49,45,49,1,2045,23844123.293766603
50-54,50,54,1,2045,25505005.16144525
55-59,55,59,1,2045,25330489.270827692
60-64,60,64,1,2045,23908668.25452798
65-69,65,69,1,2045,20147969.763941795
70-74,70,74,1,2045,18958892.64238142
75-79,75,79,1,2045,17114107.85073009
80-84,80,84,1,2045,16095715.07648834
85+,85,999,1,2045,22419523.80083034
0-4,0,4,1,2050,21700697.932827152
5-9,5,9,1,2050,22066985.916474212
10-14,10,14,1,2050,22245940.304725014
15-19,15,19,1,2050,22059020.49450327
20-24,20,24,1,2050,21989909.840585686
25-29,25,29,1,2050,23275011.815817993
30-34,30,34,1,2050,24150167.681522217
35-39,35,39,1,2050,24336876.246549957
40-44,40,44,1,2050,26187274.192194067
45-49,45,49,1,2050,25134339.571772013
50-54,50,54,1,2050,23990826.50996416
55-59,55,59,1,2050,25495259.09369977
60-64,60,64,1,2050,25172987.70241392
65-69,65,69,1,2050,23536826.99701236
70-74,70,74,1,2050,19513229.94728952
75-79,75,79,1,2050,17833393.403565276
80-84,80,84,1,2050,15334058.484585071
85+,85,999,1,2050,27003661.575573955
0-4,0,4,1,2055,21691628.587895963
5-9,5,9,1,2055,21959735.016497713
10-14,10,14,1,2055,22246184.951294705
15-19,15,19,1,2055,22352308.089578487
20-24,20,24,1,2055,22202458.029775895
25-29,25,29,1,2055,23127410.593373317
30-34,30,34,1,2055,24317728.90405105
35-39,35,39,1,2055,24875197.963316698
40-44,40,44,1,2055,24855616.463442937
45-49,45,49,1,2055,26501631.451561093
50-54,50,54,1,2055,25297360.080221407
55-59,55,59,1,2055,24032995.988017615
60-64,60,64,1,2055,25392550.125946652
65-69,65,69,1,2055,24872742.74554864
70-74,70,74,1,2055,22936426.92722447
75-79,75,79,1,2055,18539433.722778603
80-84,80,84,1,2055,16234368.021380177
85+,85,999,1,2055,30079763.22203636
0-4,0,4,1,2060,21699713.868665375
5-9,5,9,1,2060,21929118.291708805
10-14,10,14,1,2060,22127194.544546593
15-19,15,19,1,2060,22349509.82859424
20-24,20,24,1,2060,22495264.179228056
25-29,25,29,1,2060,23316259.2945296
30-34,30,34,1,2060,24109825.80346034
35-39,35,39,1,2060,25002261.72721524
40-44,40,44,1,2060,25374643.094825342
45-49,45,49,1,2060,25193340.413088854
50-54,50,54,1,2060,26688607.29862027
55-59,55,59,1,2060,25361771.072241534
60-64,60,64,1,2060,23992567.888958097
65-69,65,69,1,2060,25164774.526695408
70-74,70,74,1,2060,24366507.708161328
75-79,75,79,1,2060,22002704.506830577
80-84,80,84,1,2060,17135350.32864908
85+,85,999,1,2060,33611584.56901313
0-4,0,4,1,2065,21681969.159242842
5-9,5,9,1,2065,21899856.214512434
10-14,10,14,1,2065,22070274.921972398
15-19,15,19,1,2065,22214171.07280959
20-24,20,24,1,2065,22470390.80622452
25-29,25,29,1,2065,23443573.941426743
30-34,30,34,1,2065,24163082.645503517
35-39,35,39,1,2065,24698938.465903018
40-44,40,44,1,2065,25442927.60173543
45-49,45,49,1,2065,25676076.388747443
50-54,50,54,1,2065,25355776.678842183
55-59,55,59,1,2065,26752784.38917065
60-64,60,64,1,2065,25338748.96878074
65-69,65,69,1,2065,23831035.76434719
70-74,70,74,1,2065,24757800.633353878
75-79,75,79,1,2065,23560932.023221854
80-84,80,84,1,2065,20631627.939105716
85+,85,999,1,2065,37800366.86099567
0-4,0,4,1,2070,21605541.22653231
5-9,5,9,1,2070,21846863.941112626
10-14,10,14,1,2070,22016801.315224104
15-19,15,19,1,2070,22142743.332693204
20-24,20,24,1,2070,22313888.621184103
25-29,25,29,1,2070,23249690.2787918
30-34,30,34,1,2070,24149538.97256689
35-39,35,39,1,2070,24664325.80728126
40-44,40,44,1,2070,25070919.01702258
45-49,45,49,1,2070,25703706.039996497
50-54,50,54,1,2070,25819811.544124845
55-59,55,59,1,2070,25414049.3175298
60-64,60,64,1,2070,26738459.484032035
65-69,65,69,1,2070,25207338.300317697
70-74,70,74,1,2070,23525071.40883259
75-79,75,79,1,2070,24093452.629403215
80-84,80,84,1,2070,22346377.925873287
85+,85,999,1,2070,45016778.52197588
0-4,0,4,1,2075,21412316.047445923
5-9,5,9,1,2075,21737405.27258783
10-14,10,14,1,2075,21940814.428050812
15-19,15,19,1,2075,22075529.40137839
20-24,20,24,1,2075,22223523.12613451
25-29,25,29,1,2075,22935085.182009183
30-34,30,34,1,2075,23814109.69144295
35-39,35,39,1,2075,24558282.02355803
40-44,40,44,1,2075,24973109.408923738
45-49,45,49,1,2075,25284992.391389567
50-54,50,54,1,2075,25825640.48095889
55-59,55,59,1,2075,25871880.908056285
60-64,60,64,1,2075,25408196.741185285
65-69,65,69,1,2075,26631888.779987443
70-74,70,74,1,2075,24952182.392443076
75-79,75,79,1,2075,23018931.005456902
80-84,80,84,1,2075,23076572.48399335
85+,85,999,1,2075,53358926.987973005
0-4,0,4,1,2080,21112596.743428465
5-9,5,9,1,2080,21512993.942425344
10-14,10,14,1,2080,21809716.82375025
15-19,15,19,1,2080,21986277.461221155
20-24,20,24,1,2080,22137890.829778124
25-29,25,29,1,2080,22703229.464600343
30-34,30,34,1,2080,23367223.397791114
35-39,35,39,1,2080,24128368.640336074
40-44,40,44,1,2080,24799557.16830951
45-49,45,49,1,2080,25141959.89548048
50-54,50,54,1,2080,25378984.961958624
55-59,55,59,1,2080,25865526.82107345
60-64,60,64,1,2080,25864310.58259377
65-69,65,69,1,2080,25323361.038536757
70-74,70,74,1,2080,26405868.785978712
75-79,75,79,1,2080,24498695.16743677
80-84,80,84,1,2080,22182951.26063742
85+,85,999,1,2080,60997242.17876481
0-4,0,4,1,2085,20780183.460559204
5-9,5,9,1,2085,21183959.77623522
10-14,10,14,1,2085,21564656.374881484
15-19,15,19,1,2085,21842311.399975132
20-24,20,24,1,2085,22030730.63126989
25-29,25,29,1,2085,22485086.325237285
30-34,30,34,1,2085,23015795.552390903
35-39,35,39,1,2085,23592401.60820612
40-44,40,44,1,2085,24300893.73139801
45-49,45,49,1,2085,24920821.245108806
50-54,50,54,1,2085,25208173.71857435
55-59,55,59,1,2085,25403126.785578366
60-64,60,64,1,2085,25852413.91822765
65-69,65,69,1,2085,25786765.653055035
70-74,70,74,1,2085,25136612.987038363
75-79,75,79,1,2085,25987975.184979547
80-84,80,84,1,2085,23711069.583669882
85+,85,999,1,2085,66119498.6522057
0-4,0,4,1,2090,20455626.47404735
5-9,5,9,1,2090,20824621.439263225
10-14,10,14,1,2090,21216426.83515613
15-19,15,19,1,2090,21584962.813620873
20-24,20,24,1,2090,21869738.873158615
25-29,25,29,1,2090,22252661.206752345
30-34,30,34,1,2090,22685077.49651078
35-39,35,39,1,2090,23159333.184463393
40-44,40,44,1,2090,23700049.22831551
45-49,45,49,1,2090,24374755.38426105
50-54,50,54,1,2090,24958317.258280616
55-59,55,59,1,2090,25216339.334632482
60-64,60,64,1,2090,25383058.463320125
65-69,65,69,1,2090,25780596.811062347
70-74,70,74,1,2090,25619354.801267408
75-79,75,79,1,2090,24787423.724191282
80-84,80,84,1,2090,25244100.34491357
85+,85,999,1,2090,71447437.42110524
0-4,0,4,1,2095,20126183.819706522
5-9,5,9,1,2095,20475369.88652996
10-14,10,14,1,2095,20839516.22677221
15-19,15,19,1,2095,21225310.57811132
20-24,20,24,1,2095,21595825.26259224
25-29,25,29,1,2095,21973631.15266443
30-34,30,34,1,2095,22345665.028303057
35-39,35,39,1,2095,22750837.73610175
40-44,40,44,1,2095,23206475.70028689
45-49,45,49,1,2095,23728447.47299504
50-54,50,54,1,2095,24382464.565370835
55-59,55,59,1,2095,24947331.20071851
60-64,60,64,1,2095,25184214.295715973
65-69,65,69,1,2095,25308901.158374593
70-74,70,74,1,2095,25618393.80562289
75-79,75,79,1,2095,25280163.345338974
80-84,80,84,1,2095,24107933.63343091
85+,85,999,1,2095,76670710.02467011
0-4,0,4,1,2100,19761549.743575923
5-9,5,9,1,2100,20122945.875211045
10-14,10,14,1,2100,20473999.18447934
15-19,15,19,1,2100,20837662.905828048
20-24,20,24,1,2100,21220642.522332937
25-29,25,29,1,2100,21590021.385294545
30-34,30,34,1,2100,21967082.94629954
35-39,35,39,1,2100,22338111.002787393
40-44,40,44,1,2100,22741073.002746087
45-49,45,49,1,2100,23192801.54429055
50-54,50,54,1,2100,23708220.858392872
55-59,55,59,1,2100,24352657.707623262
60-64,60,64,1,2100,24901728.01030809
65-69,65,69,1,2100,25103066.811198525
70-74,70,74,1,2100,25146329.5780557
75-79,75,79,1,2100,25278541.109977014
80-84,80,84,1,2100,24586145.641873453
85+,85,999,1,2100,79140697.70324478
0-4,0,4,2,2020,21174493.03277958
5-9,5,9,2,2020,20716553.579106927
10-14,10,14,2,2020,22317015.000473548
15-19,15,19,2,2020,21228703.617237873
20-24,20,24,2,2020,20024634.037049167
25-29,25,29,2,2020,22980362.512292147
30-34,30,34,2,2020,24006644.423311125
35-39,35,39,2,2020,23673774.34330707
40-44,40,44,2,2020,20778103.545406383
45-49,45,49,2,2020,20742792.623979956
50-54,50,54,2,2020,20427441.2772265
55-59,55,59,2,2020,22176077.66931851
60-64,60,64,2,2020,20961158.684227303
65-69,65,69,2,2020,17676572.37620495
70-74,70,74,2,2020,14326596.48383988
