survey_year,state,id6,county,census_place,place,mcd,pop,csa,cbsa,footnote,central_city,zip,region,division,months_reported,place_name,u1_bldgs,u1_units,u1_value,u2_bldgs,u2_units,u2_value,u34_bldgs,u34_units,u34_value,u5_bldgs,u5_units,u5_value,r1_bldgs,r1_units,r1_value,r2_bldgs,r2_units,r2_value,r34_bldgs,r34_units,r34_value,r5_bldgs,r5_units,r5_value,place_fips,year
2010,04,357000,013,0368,73000 ,92601 ,158625 ,999,38060, ,1,85281      ,4,8,3,Tempe,51,51,13398656,0,0,0,0,0,0,9,245,43816127,23,23,6412200,0,0,0,0,0,0,0,0,0,0473000,2010
2010,06,039000,001,0245,06000 ,90200 ,102743 ,488,41860, ,1,94704      ,4,9,12,Berkeley,2,2,1133000,0,0,0,0,0,0,1,16,2271088,2,2,1133000,0,0,0,0,0,0,1,16,2271088,0606000,2010
2010,06,198000,059,1347,36770 ,90420 ,143072 ,348,31100, ,1,92714      ,4,9,12,Irvine,641,641,151737198,14,28,6498832,56,201,32975952,46,884,101096008,641,641,151737198,14,28,6498832,56,201,32975952,46,884,101096008,0636770,2010
2010,06,289000,085,1863,49670 ,92830 ,70708 ,488,41940, ,1,94039      ,4,9,6,Mountain View,66,66,19970460,0,0,0,1,4,1095212,7,64,13517153,27,27,8291235,0,0,0,1,4,1095212,1,6,1575976,0649670,2010
2010,06,325000,037,2125,56000 ,93090 ,133936 ,348,31100, ,1,911011704  ,4,9,12,Pasadena,52,52,14131767,2,4,477500,0,0,0,0,0,0,52,52,14131767,2,4,477500,0,0,0,0,0,0,0656000,2010
2010,06,410000,083,2575,69070 ,92890 ,92325 ,999,42060, ,1,931021990  ,4,9,0,Santa Barbara,18,18,7644218,1,2,301200,1,3,500000,1,16,2704762,0,0,0,0,0,0,0,0,0,0,0,0,0669070,2010
2010,08,063000,013,0110,07850 ,90228 ,94673 ,216,14500, ,1,803060791  ,4,8,12,Boulder,115,115,20681300,1,2,184135,5,20,2326115,10,316,49121723,115,115,20681300,1,2,184135,5,20,2326115,10,316,49121723,0807850,2010
2010,08,213000,123,0400,24950 ,91216 ,2009 ,216,24540,2, ,805160750  ,4,8,12,Erie town,119,119,25699169,0,0,0,0,0,0,0,0,0,119,119,25699169,0,0,0,0,0,0,0,0,0,0824950,2010
2010,08,231000,069,0455,27425 ,91330 ,118652 ,999,22660, ,1,80522      ,4,8,12,Fort Collins,180,180,38764103,2,4,563880,5,17,1873183,3,45,3883064,180,180,38764103,2,4,563880,5,17,1873183,3,45,3883064,0827425,2010
2010,08,365000,013,0735,41835 ,92052 ,23197 ,216,14500, , ,80026      ,4,8,12,Lafayette,31,31,6703116,2,4,513020,0,0,0,0,0,0,31,31,6703116,2,4,513020,0,0,0,0,0,0,0841835,2010
2010,08,401000,013,0820,45970 ,92318 ,71069 ,216,14500,2, ,80501      ,4,8,12,Longmont,71,71,15836906,1,2,217563,3,10,1356613,4,27,4032408,71,71,15836906,1,2,217563,3,10,1356613,4,27,4032408,0845970,2010
2010,08,403000,013,0825,46355 ,90342 ,18937 ,216,14500, , ,80027      ,4,8,12,Louisville,13,13,3070305,0,0,0,0,0,0,0,0,0,13,13,3070305,0,0,0,0,0,0,0,0,0,0846355,2010
2010,08,619000,013,1270,75640 ,92052 ,9008 ,216,14500,2, ,80027      ,4,8,12,Superior town,1,1,125500,0,0,0,0,0,0,0,0,0,1,1,125500,0,0,0,0,0,0,0,0,0,0875640,2010
2010,41,151000,039,0360,23850 ,91105 ,137893 ,999,21660, ,1,97401      ,4,9,12,Eugene,168,168,35405988,5,10,1227092,5,17,1618320,2,43,5759107,168,168,35405988,5,10,1227092,5,17,1618320,2,43,5759107,4123850,2010
2010,49,369000,049,0800,62470 ,92709 ,105166 ,999,39340, ,1,84601      ,4,8,12,Provo,76,76,17675235,0,0,0,0,0,0,1,238,34000000,76,76,17675235,0,0,0,0,0,0,1,238,34000000,4962470,2010
2010,17,256600,031,1845,24582 ,24595 ,74239 ,176,16980,2,1,60201      ,2,3,0,Evanston,10,10,2337256,0,0,0,0,0,0,12,146,10914030,0,0,0,0,0,0,0,0,0,0,0,0,1724582,2010
2010,19,349000,103,2040,38595 ,92077 ,62220 ,999,26980, ,1,52240      ,2,4,12,Iowa City,153,153,31939923,1,2,300000,0,0,0,6,57,10935363,153,153,31939923,1,2,300000,0,0,0,6,57,10935363,1938595,2010
2010,26,026500,161,0080,03000 ,03000 ,114024 ,220,11460, ,1,481078647  ,2,3,1,Ann Arbor,96,96,11160793,0,0,0,0,0,0,9,45,2718639,33,33,3460000,0,0,0,0,0,0,0,0,0,2603000,2010
2010,27,634600,109,3235,54880 ,54880 ,85806 ,999,40340, ,1,55904      ,2,4,12,Rochester,200,200,41421297,0,0,0,1,4,749800,2,138,20925837,200,200,41421297,0,0,0,1,4,749800,2,138,20925837,2754880,2010
2010,55,516500,025,1475,48000 ,48000 ,208054 ,358,31540, ,1,537012984  ,2,3,5,Madison,186,186,36390820,3,6,567500,2,7,639750,9,327,33714225,82,82,16057000,2,4,320000,1,4,368000,2,37,2900000,5548000,2010
2010,09,413000,009,1450,52000 ,52070 ,123626 ,408,35300,2,1,06510      ,1,1,12,New Haven,23,23,1187000,1,2,70000,1,3,100000,1,450,97975736,23,23,1187000,1,2,70000,1,3,100000,1,450,97975736,0952000,2010
2010,25,103000,017,0610,11000 ,11000 ,101355 ,148,14460, ,1,02139      ,1,1,12,Cambridge,8,8,10954023,0,0,0,0,0,0,1,30,4998666,8,8,10954023,0,0,0,0,0,0,1,30,4998666,2511000,2010
2010,36,715000,067,3565,73000 ,73000 ,147306 ,532,45060, ,1,132021430  ,1,2,12,Syracuse,15,15,1480000,1,2,169000,0,0,0,1,13,500000,15,15,1480000,1,2,169000,0,0,0,1,13,500000,3673000,2010
2010,42,538000,003,7234,61000 ,61000 ,334563 ,430,38300, ,1,15219      ,1,2,12,Pittsburgh,147,147,21799881,0,0,0,0,0,0,0,0,0,147,147,21799881,0,0,0,0,0,0,0,0,0,4261000,2010
