GISJOIN,YEAR,STUSAB,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,UAA,URA,CD116A,SLDU18A,SLDL18A,VTD,VTDI,ZCTAA,SDELMA,SDSECA,SDUNIA,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,UGA,U82001,U82002,U82003,U9R001,U9R002,U9R003,U9R004,U9R005,U9R006,U9R007,U9R008,U9R009,U9R010,U9R011,U9R012,U9R013,U9R014,U9R015,U9R016,U9R017,U9R018,U9R019,U9R020,U9R021,U9R022,U9R023,U9R024,U9R025,U9R026,U9R027,U9R028,U9R029,U9R030,U9R031,U9R032,U9R033,U9R034,U9R035,U9R036,U9R037,U9R038,U9R039,U9R040,U9R041,U9R042,U9R043,U9R044,U9R045,U9R046,U9R047,U9R048,U9R049,U9R050,U9R051,U9R052,U9R053,U9R054,U9R055,U9R056,U9R057,U9R058,U9R059,U9R060,U9R061,U9R062,U9R063
GIS Join Match Code,Data File Year,State/US-Abbreviation (USPS),Geographic Record Identifier,Geographic Code Identifier,Region Code,Division Code,State (FIPS) Name,State (FIPS) Code,County (FIPS) Name,County (FIPS) Code,County Subdivision (FIPS) Code,FIPS County Subdivision Class Code,Subminor Civil Division (FIPS) Code,Consolidated City (FIPS) Code,Place (FIPS) Code,FIPS Place Class Code,Census Tract Code,Block Group Code,Block Code,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census) Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,FIPS American Indian Area/Alaska Native Area/Hawaiian Home Land Class Code,American Indian Tribal Subdivision (Census) Code,Tribal Census Tract Code,Tribal Block Group Code,Alaska Native Regional Corporation (FIPS) Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Metropolitan/Micropolitan Indicator,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Area Code,NECTA Metropolitan/Micropolitan Indicator,Combined New England City and Town Area Code,New England City and Town Area Division Code,Metropolitan Statistical Area/Micropolitan Statistical Area Principal City Indicator,New England City and Town Area Principal City Indicator,Urban Area Code,Urban/Rural Code,Congressional District (116th) Code,State Legislative District (Upper Chamber) (2018) Code,State Legislative District (Lower Chamber) (2018) Code,Voting District,Voting District Indicator,ZIP Code Tabulation Area (5-Digit) Code,School District (Elementary) Code,School District (Secondary) Code,School District (Unified) Code,Public Use Microdata Area,Area (Land),Area (Water),Area Base Name,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Functional Status Code,Internal Point (Latitude),Internal Point (Longitude),Legal/Statistical Area Description Code,Urban Growth Area,Total,Under 18 years,18 years and over,Total,Male,Male: Under 18 years,"Male: Under 18 years: Institutionalized population (101-106, 201-203, 301, 401-405)","Male: Under 18 years: Institutionalized population (101-106, 201-203, 301, 401-405): Correctional facilities for adults (101-106)","Male: Under 18 years: Institutionalized population (101-106, 201-203, 301, 401-405): Juvenile facilities (201-203)","Male: Under 18 years: Institutionalized population (101-106, 201-203, 301, 401-405): Nursing facilities/Skilled-nursing facilities (301)","Male: Under 18 years: Institutionalized population (101-106, 201-203, 301, 401-405): Other institutional facilities (401-405)","Male: Under 18 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Male: Under 18 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): College/University student housing (501)","Male: Under 18 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Military quarters (601-602)","Male: Under 18 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)",Male: 18 to 64 years,"Male: 18 to 64 years: Institutionalized population (101-106, 201-203, 301, 401-405)","Male: 18 to 64 years: Institutionalized population (101-106, 201-203, 301, 401-405): Correctional facilities for adults (101-106)","Male: 18 to 64 years: Institutionalized population (101-106, 201-203, 301, 401-405): Juvenile facilities (201-203)","Male: 18 to 64 years: Institutionalized population (101-106, 201-203, 301, 401-405): Nursing facilities/Skilled-nursing facilities (301)","Male: 18 to 64 years: Institutionalized population (101-106, 201-203, 301, 401-405): Other institutional facilities (401-405)","Male: 18 to 64 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Male: 18 to 64 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): College/University student housing (501)","Male: 18 to 64 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Military quarters (601-602)","Male: 18 to 64 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)",Male: 65 years and over,"Male: 65 years and over: Institutionalized population (101-106, 201-203, 301, 401-405)","Male: 65 years and over: Institutionalized population (101-106, 201-203, 301, 401-405): Correctional facilities for adults (101-106)","Male: 65 years and over: Institutionalized population (101-106, 201-203, 301, 401-405): Juvenile facilities (201-203)","Male: 65 years and over: Institutionalized population (101-106, 201-203, 301, 401-405): Nursing facilities/Skilled-nursing facilities (301)","Male: 65 years and over: Institutionalized population (101-106, 201-203, 301, 401-405): Other institutional facilities (401-405)","Male: 65 years and over: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Male: 65 years and over: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): College/University student housing (501)","Male: 65 years and over: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Military quarters (601-602)","Male: 65 years and over: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)",Female,Female: Under 18 years,"Female: Under 18 years: Institutionalized population (101-106, 201-203, 301, 401-405)","Female: Under 18 years: Institutionalized population (101-106, 201-203, 301, 401-405): Correctional facilities for adults (101-106)","Female: Under 18 years: Institutionalized population (101-106, 201-203, 301, 401-405): Juvenile facilities (201-203)","Female: Under 18 years: Institutionalized population (101-106, 201-203, 301, 401-405): Nursing facilities/Skilled-nursing facilities (301)","Female: Under 18 years: Institutionalized population (101-106, 201-203, 301, 401-405): Other institutional facilities (401-405)","Female: Under 18 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Female: Under 18 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): College/University student housing (501)","Female: Under 18 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Military quarters (601-602)","Female: Under 18 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)",Female: 18 to 64 years,"Female: 18 to 64 years: Institutionalized population (101-106, 201-203, 301, 401-405)","Female: 18 to 64 years: Institutionalized population (101-106, 201-203, 301, 401-405): Correctional facilities for adults (101-106)","Female: 18 to 64 years: Institutionalized population (101-106, 201-203, 301, 401-405): Juvenile facilities (201-203)","Female: 18 to 64 years: Institutionalized population (101-106, 201-203, 301, 401-405): Nursing facilities/Skilled-nursing facilities (301)","Female: 18 to 64 years: Institutionalized population (101-106, 201-203, 301, 401-405): Other institutional facilities (401-405)","Female: 18 to 64 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Female: 18 to 64 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): College/University student housing (501)","Female: 18 to 64 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Military quarters (601-602)","Female: 18 to 64 years: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)",Female: 65 years and over,"Female: 65 years and over: Institutionalized population (101-106, 201-203, 301, 401-405)","Female: 65 years and over: Institutionalized population (101-106, 201-203, 301, 401-405): Correctional facilities for adults (101-106)","Female: 65 years and over: Institutionalized population (101-106, 201-203, 301, 401-405): Juvenile facilities (201-203)","Female: 65 years and over: Institutionalized population (101-106, 201-203, 301, 401-405): Nursing facilities/Skilled-nursing facilities (301)","Female: 65 years and over: Institutionalized population (101-106, 201-203, 301, 401-405): Other institutional facilities (401-405)","Female: 65 years and over: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904)","Female: 65 years and over: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): College/University student housing (501)","Female: 65 years and over: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Military quarters (601-602)","Female: 65 years and over: Noninstitutionalized population (501, 601-602, 701-702, 704, 706, 801-802, 900-901, 903-904): Other noninstitutional facilities (701-702, 704, 706, 801-802, 900-901, 903-904)"
"G0100010","2020","AL","0500000US01001","01001","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,"33860","1","388","99999",,,,,,,,,,,,,,,,,,,"1539634184","25674812","Autauga","Autauga County","A","+32.5322367","-086.6464395","06",,58318,14277,44041,487,222,4,4,0,4,0,0,0,0,0,0,160,125,114,2,9,0,35,0,0,35,58,55,3,0,52,0,3,0,0,3,265,1,0,0,0,0,0,1,0,0,1,75,46,24,0,22,0,29,0,0,29,189,178,1,0,177,0,11,0,0,11
"G0100030","2020","AL","0500000US01003","01003","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"19300","1","380","99999",,,,,,,,,,,,,,,,,,,"4117656199","1132956041","Baldwin","Baldwin County","A","+30.6592183","-087.7460666","06",,228215,49078,179137,3552,2087,132,54,0,48,0,6,78,4,0,74,1539,1247,1113,5,32,97,292,149,0,143,416,398,24,0,357,17,18,0,0,18,1465,86,20,0,20,0,0,66,10,0,56,507,229,87,1,51,90,278,146,0,132,872,813,5,0,772,36,59,0,0,59
"G0100050","2020","AL","0500000US01005","01005","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,"21640","2","999","99999",,,,,,,,,,,,,,,,,,,"2292160149","50523213","Barbour","Barbour County","A","+31.8702531","-085.4051035","06",,22506,5082,17424,2717,2611,4,0,0,0,0,0,4,0,0,4,2446,2423,2415,0,8,0,23,0,0,23,161,152,90,0,62,0,9,0,0,9,106,3,0,0,0,0,0,3,0,0,3,34,29,11,0,18,0,5,0,0,5,69,68,1,0,67,0,1,0,0,1
"G0100070","2020","AL","0500000US01007","01007","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,"13820","1","142","99999",,,,,,,,,,,,,,,,,,,"1612188717","9572303","Bibb","Bibb County","A","+33.0158929","-087.1271475","06",,20153,4750,15403,2140,1933,6,6,0,6,0,0,0,0,0,0,1830,1820,1803,1,16,0,10,0,0,10,97,89,40,0,49,0,8,0,0,8,207,4,3,0,3,0,0,1,0,0,1,30,17,13,0,4,0,13,0,0,13,173,166,0,0,166,0,7,0,0,7
"G0100090","2020","AL","0500000US01009","01009","3","6","Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,"13820","1","142","99999",,,,,,,,,,,,,,,,,,,"1670259090","14860281","Blount","Blount County","A","+33.9773575","-086.5664400","06",,58521,13731,44790,613,238,0,0,0,0,0,0,0,0,0,0,155,79,71,0,8,0,76,0,0,76,83,57,5,0,52,0,26,0,0,26,375,0,0,0,0,0,0,0,0,0,0,110,32,12,0,20,0,78,0,0,78,265,243,3,0,240,0,22,0,0,22
"G0100110","2020","AL","0500000US01011","01011","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,"99999","9","999","99999",,,,,,,,,,,,,,,,,,,"1613083467","6030667","Bullock","Bullock County","A","+32.1017589","-085.7172613","06",,8653,1993,6660,1704,1645,7,0,0,0,0,0,7,0,0,7,1526,1518,1501,0,17,0,8,0,0,8,112,109,68,0,41,0,3,0,0,3,59,1,0,0,0,0,0,1,0,0,1,13,11,11,0,0,0,2,0,0,2,45,45,0,0,45,0,0,0,0,0
"G0100130","2020","AL","0500000US01013","01013","3","6","Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,"99999","9","999","99999",,,,,,,,,,,,,,,,,,,"2012002546","2701199","Butler","Butler County","A","+31.7516670","-086.6819689","06",,18770,4147,14623,281,140,1,0,0,0,0,0,1,0,0,1,71,55,46,0,9,0,16,0,0,16,68,68,3,0,65,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,29,21,5,0,16,0,8,0,0,8,112,108,0,0,108,0,4,0,0,4
"G0100150","2020","AL","0500000US01015","01015","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"11500","1","999","99999",,,,,,,,,,,,,,,,,,,"1569246127","16536293","Calhoun","Calhoun County","A","+33.7705162","-085.8279089","06",,110821,23972,86849,5620,2525,132,128,0,128,0,0,4,2,0,2,2211,446,387,3,56,0,1765,1615,0,150,182,180,9,0,171,0,2,0,0,2,3095,48,47,0,47,0,0,1,1,0,0,2467,691,628,2,61,0,1776,1727,0,49,580,574,0,0,574,0,6,0,0,6
"G0100170","2020","AL","0500000US01017","01017","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,"29300","2","122","99999",,,,,,,,,,,,,,,,,,,"1545085601","16971700","Chambers","Chambers County","A","+32.9155039","-085.3940321","06",,33898,6976,26922,874,559,4,0,0,0,0,0,4,0,0,4,425,103,80,0,23,0,322,295,0,27,130,128,18,0,110,0,2,0,0,2,315,1,0,0,0,0,0,1,0,0,1,110,69,28,0,41,0,41,34,0,7,204,204,0,0,204,0,0,0,0,0
