GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Under 1 year,1 and 2 years,3 and 4 years,5 years,6 years,7 to 9 years,10 and 11 years,12 and 13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"G0100010","1990","AL",,,,,,,,,,,,"99","Autauga","001",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0001543666","0000021962","Autauga County","A","+32542207","-086641472","06",470,1085,1124,531,515,1706,1171,1152,564,572,572,636,576,539,469,423,1324,2675,2882,2611,2453,2042,1845,1608,530,775,1114,852,668,439,299
"G0100030","1990","AL",,,,,,,,,,,,"99","Baldwin","003",,,"6","5160",,,,"9999","3","Alabama","01",,,,"0004135016","0001115118","Baldwin County","A","+30654881","-087754736","06",1142,2851,2760,1443,1406,4242,2925,2948,1391,1471,1504,1450,1493,1403,1238,1049,3181,6924,7546,7301,6807,5783,5031,4912,1906,3294,5156,3865,2923,1775,1160
"G0100050","1990","AL",,,,,,,,,,,,"99","Barbour","005",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002292133","0000050747","Barbour County","A","+31863073","-085388993","06",327,766,792,413,438,1290,867,864,398,408,456,445,387,397,331,301,954,1837,1830,1834,1782,1253,1081,1114,441,685,1139,950,807,496,334
"G0100070","1990","AL",,,,,,,,,,,,"99","Bibb","007",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001611914","0000008130","Bibb County","A","+32996943","-087126855","06",200,504,467,234,269,804,546,578,276,348,268,299,272,289,265,232,725,1235,1232,1173,1092,1028,738,709,288,404,639,469,486,287,220
"G0100090","1990","AL",,,,,,,,,,,,"99","Blount","009",,,"6","1000",,,,"9999","3","Alabama","01",,,,"0001672287","0000012884","Blount County","A","+33979740","-086566214","06",488,1104,1056,530,531,1610,1118,1179,565,585,621,649,614,614,552,547,1616,2956,2986,2945,2805,2516,2197,1927,733,1088,1576,1336,1098,698,408
"G0100110","1990","AL",,,,,,,,,,,,"99","Bullock","011",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001618915","0000002703","Bullock County","A","+32101773","-085717786","06",179,398,371,210,195,535,389,358,192,194,180,180,166,155,119,146,430,829,857,809,613,535,420,414,146,249,457,479,404,258,175
"G0100130","1990","AL",,,,,,,,,,,,"99","Butler","013",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002012260","0000002724","Butler County","A","+31751982","-086682302","06",271,681,687,380,372,1202,789,717,357,363,402,370,340,318,290,248,678,1387,1573,1499,1328,1068,936,943,380,633,977,949,802,537,415
"G0100150","1990","AL",,,,,,,,,,,,"99","Calhoun","015",,,"6","0450",,,,"9999","3","Alabama","01",,,,"0001576038","0000009959","Calhoun County","A","+33774548","-085825619","06",1247,3071,3061,1525,1506,4934,3400,3445,1597,1753,1679,1760,2248,2739,2531,2232,5217,8950,9475,8744,8079,6397,5458,5396,2040,3173,4845,3762,2861,1741,1168
"G0100170","1990","AL",,,,,,,,,,,,"99","Chambers","017",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001547283","0000014885","Chambers County","A","+32915184","-085389802","06",444,1047,927,539,547,1550,1109,1072,567,591,616,623,590,590,512,517,1486,2568,2628,2533,2399,1990,1690,1781,660,1081,1747,1630,1399,910,533
"G0100190","1990","AL",,,,,,,,,,,,"99","Cherokee","019",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001432714","0000121285","Cherokee County","A","+34187088","-085605750","06",192,473,467,208,232,759,593,573,285,290,323,297,295,324,260,266,762,1334,1480,1386,1412,1187,1141,1080,398,636,968,781,594,342,205
"G0100210","1990","AL",,,,,,,,,,,,"99","Chilton","021",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001797629","0000017453","Chilton County","A","+32844987","-086718688","06",421,907,871,461,494,1377,1010,1072,493,545,490,546,490,482,438,447,1253,2389,2529,2362,2170,1960,1641,1656,608,841,1377,1141,979,592,416
"G0100230","1990","AL",,,,,,,,,,,,"99","Choctaw","023",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002366161","0000018995","Choctaw County","A","+32024863","-088265781","06",187,475,474,242,226,764,550,571,275,295,318,331,287,253,204,182,597,1102,1158,1090,1030,947,813,731,259,438,707,488,450,329,245
"G0100250","1990","AL",,,,,,,,,,,,"99","Clarke","025",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0003207659","0000036584","Clarke County","A","+31677523","-087835981","06",343,832,773,416,414,1445,970,966,503,476,515,502,501,462,399,369,1090,1960,2021,1819,1691,1516,1351,1216,441,672,1031,902,775,507,362
"G0100270","1990","AL",,,,,,,,,,,,"99","Clay","027",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001567273","0000002403","Clay County","A","+33268721","-085859858","06",134,353,301,189,164,565,393,393,171,215,221,219,204,197,188,179,546,931,945,836,871,783,703,651,253,415,584,554,496,334,264
"G0100290","1990","AL",,,,,,,,,,,,"99","Cleburne","029",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001450928","0000002226","Cleburne County","A","+33670870","-085517385","06",137,386,331,192,163,561,365,397,177,197,196,210,180,228,158,178,556,969,954,890,876,836,662,608,265,353,496,482,344,207,176
"G0100310","1990","AL",,,,,,,,,,,,"99","Coffee","031",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001759093","0000003449","Coffee County","A","+31402888","-085989130","06",488,1110,1096,547,487,1715,1149,1167,633,654,610,671,627,629,545,504,1700,3235,3147,2967,2987,2401,2092,1961,736,1072,1689,1357,1076,683,505
"G0100330","1990","AL",,,,,,,,,,,,"99","Colbert","033",,,"6","2650",,,,"9999","3","Alabama","01",,,,"0001539948","0000075322","Colbert County","A","+34707296","-087796569","06",590,1396,1420,672,684,2093,1459,1441,681,675,705,732,704,774,730,663,2078,3833,3951,3710,3615,3214,2859,2738,1017,1644,2574,2082,1469,858,605
"G0100350","1990","AL",,,,,,,,,,,,"99","Conecuh","035",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002203757","0000004438","Conecuh County","A","+31428183","-086992999","06",162,406,375,209,215,664,532,440,212,241,234,228,199,210,190,159,485,925,1038,938,852,724,617,651,298,420,706,599,503,375,247
"G0100370","1990","AL",,,,,,,,,,,,"99","Coosa","037",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001689951","0000036041","Coosa County","A","+32935503","-086239249","06",142,321,327,151,152,492,327,327,122,158,172,191,174,187,162,164,453,842,843,780,642,611,550,579,236,356,518,402,331,217,134
"G0100390","1990","AL",,,,,,,,,,,,"99","Covington","039",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002679941","0000023877","Covington County","A","+31248133","-086453162","06",429,967,924,517,519,1533,1102,1091,524,525,555,551,538,553,478,398,1304,2507,2647,2409,2391,2014,1901,1918,739,1143,1849,1632,1356,903,561
"G0100410","1990","AL",,,,,,,,,,,,"99","Crenshaw","041",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001578918","0000003345","Crenshaw County","A","+31731354","-086311599","06",135,384,377,193,173,626,413,454,207,208,240,234,198,204,166,132,501,903,914,883,899,744,623,645,263,420,730,638,535,337,256
"G0100430","1990","AL",,,,,,,,,,,,"99","Cullman","043",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001912664","0000042427","Cullman County","A","+34131670","-086866896","06",757,1875,1831,995,936,2770,1958,1932,971,1048,976,963,1047,1072,984,908,2678,5086,5217,4752,4787,4033,3533,3333,1364,2033,3095,2468,2053,1280,878
"G0100450","1990","AL",,,,,,,,,,,,"99","Dale","045",,,"6","2180",,,,"9999","3","Alabama","01",,,,"0001453300","0000004134","Dale County","A","+31426115","-085612338","06",716,1810,1757,839,792,2254,1434,1436,728,696,695,719,814,925,867,868,3040,5424,4351,3471,3119,2459,2111,1893,767,989,1594,1121,846,609,489
"G0100470","1990","AL",,,,,,,,,,,,"99","Dallas","047",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002540256","0000032798","Dallas County","A","+32329593","-087109517","06",657,1666,1547,824,868,2584,1717,1759,834,895,854,900,884,855,692,587,1818,3389,3478,3210,2936,2291,2181,1983,800,1308,2008,1609,1418,850,728
"G0100490","1990","AL",,,,,,,,,,,,"99","DeKalb","049",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002014972","0000001898","DeKalb County","A","+34459830","-085798731","06",625,1377,1360,741,725,2338,1680,1672,786,836,918,849,787,841,833,660,2153,3969,4229,3925,3901,3289,2762,2756,1058,1573,2425,2059,1716,1083,725
"G0100510","1990","AL",,,,,,,,,,,,"99","Elmore","051",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0001609888","0000092419","Elmore County","A","+32599910","-086138157","06",569,1399,1359,737,729,2100,1451,1433,730,776,746,763,734,820,727,739,2167,4132,4300,3942,3567,2809,2497,2219,786,1237,1838,1459,1158,739,548
"G0100530","1990","AL",,,,,,,,,,,,"99","Escambia","053",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002453958","0000014420","Escambia County","A","+31136909","-087162695","06",403,960,943,516,506,1526,1101,1139,586,557,572,658,624,588,514,430,1358,2609,2810,2591,2384,2024,1840,1688,648,1013,1468,1232,1045,692,493
"G0100550","1990","AL",,,,,,,,,,,,"99","Etowah","055",,,"6","2880",,,,"9999","3","Alabama","01",,,,"0001385231","0000036177","Etowah County","A","+34047533","-086038250","06",973,2578,2422,1284,1316,4039,2966,2840,1417,1540,1590,1624,1530,1539,1486,1390,3739,6732,7439,7359,7183,5647,5090,4951,2064,3226,5130,4294,3281,1932,1239
"G0100570","1990","AL",,,,,,,,,,,,"99","Fayette","057",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001626038","0000004067","Fayette County","A","+33729772","-087735378","06",189,458,452,231,243,785,553,550,275,264,280,322,290,305,279,198,645,1211,1285,1285,1228,1040,961,855,314,534,845,708,614,479,284
