GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACE,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Name,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Under 1 year,1 and 2 years,3 and 4 years,5 years,6 years,7 to 9 years,10 and 11 years,12 and 13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"G01000124","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Abbeville city","00124","C1","4",,"3","Alabama","01",,,,"0000040308","0000000121","Abbeville city","A","+31567949","-085253681","58",28,97,77,37,36,130,97,109,50,44,57,49,61,51,41,36,104,195,195,198,234,159,131,173,54,78,197,149,134,114,58
"G01000460","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Adamsville city","00460","C1","4",,"3","Alabama","01",,,,"0000007948","0000000000","Adamsville city","A","+33595542","-086957993","58",43,89,125,56,54,167,124,114,66,59,66,60,54,67,70,56,137,285,338,327,327,274,219,218,91,114,184,155,103,65,54
"G01000484","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Addison town","00484","C1","4",,"3","Alabama","01",,,,"0000007688","0000000000","Addison town","A","+34199940","-087177921","60",7,17,18,4,5,23,18,12,7,8,7,7,3,12,8,7,35,51,42,37,43,39,51,31,17,15,24,30,22,16,10
"G01000676","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Akron town","00676","C1","4",,"3","Alabama","01",,,,"0000001437","0000000000","Akron town","A","+32876118","-087738779","60",6,10,18,9,7,18,26,18,7,12,8,9,5,6,6,5,9,22,41,37,15,18,17,14,7,15,23,32,17,12,19
"G01000820","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Alabaster city","00820","C1","4",,"3","Alabama","01",,,,"0000048812","0000000106","Alabaster city","A","+33226547","-086824620","58",235,583,513,285,266,781,483,464,219,185,227,211,191,188,178,181,543,1422,1683,1475,1158,757,545,443,148,226,352,246,243,137,164
"G01000988","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Albertville city","00988","C1","4",,"3","Alabama","01",,,,"0000066073","0000000260","Albertville city","A","+34262453","-086209414","58",158,418,435,176,196,589,406,410,179,207,198,239,197,231,188,190,617,1129,1114,1028,972,876,757,708,284,405,680,592,465,281,182
"G01001132","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Alexander City city","01132","C1","4",,"3","Alabama","01",,,,"0000100616","0000000435","Alexander City city","A","+32927015","-085934009","58",177,403,400,199,208,608,471,451,237,249,219,252,265,217,225,174,587,995,1121,1051,926,754,723,719,277,441,732,644,586,350,256
"G01001228","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Aliceville city","01228","C1","4",,"3","Alabama","01",,,,"0000011646","0000000000","Aliceville city","A","+33125078","-088157999","58",35,93,86,47,43,160,109,74,57,46,46,46,51,42,24,34,93,161,189,153,133,146,147,135,68,106,172,174,132,114,93
"G01001396","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Allgood town","01396","C1","4",,"3","Alabama","01",,,,"0000002685","0000000000","Allgood town","A","+33906430","-086518044","60",4,19,13,6,7,27,13,11,7,4,12,9,10,13,5,12,26,59,37,34,26,26,19,19,4,9,8,8,9,6,2
