GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET5001,ET5002,ET5003,ET5004,ET5005,ET5006,ET5007,ET5008,ET5009,ET5010,ET5011,ET5012,ET5013,ET5014,ET5015,ET5016,ET5017,ET5018,ET5019,ET5020,ET5021,ET5022,ET5023,ET5024,ET5025,ET5026,ET5027,ET5028,ET5029,ET5030,ET5031,ET5032,ET5033,ET5034,ET5035,ET5036,ET5037,ET5038,ET5039,ET5040,ET5041,ET5042,ET5043,ET5044,ET5045,ET5046,ET5047,ET5048,ET5049,ET5050,ET5051,ET5052,ET5053,ET5054,ET5055,ET5056,ET5057,ET5058,ET5059,ET5060,ET5061,ET5062
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Male >> Under 1 year,Male >> 1 and 2 years,Male >> 3 and 4 years,Male >> 5 years,Male >> 6 years,Male >> 7 to 9 years,Male >> 10 and 11 years,Male >> 12 and 13 years,Male >> 14 years,Male >> 15 years,Male >> 16 years,Male >> 17 years,Male >> 18 years,Male >> 19 years,Male >> 20 years,Male >> 21 years,Male >> 22 to 24 years,Male >> 25 to 29 years,Male >> 30 to 34 years,Male >> 35 to 39 years,Male >> 40 to 44 years,Male >> 45 to 49 years,Male >> 50 to 54 years,Male >> 55 to 59 years,Male >> 60 and 61 years,Male >> 62 to 64 years,Male >> 65 to 69 years,Male >> 70 to 74 years,Male >> 75 to 79 years,Male >> 80 to 84 years,Male >> 85 years and over,Female >> Under 1 year,Female >> 1 and 2 years,Female >> 3 and 4 years,Female >> 5 years,Female >> 6 years,Female >> 7 to 9 years,Female >> 10 and 11 years,Female >> 12 and 13 years,Female >> 14 years,Female >> 15 years,Female >> 16 years,Female >> 17 years,Female >> 18 years,Female >> 19 years,Female >> 20 years,Female >> 21 years,Female >> 22 to 24 years,Female >> 25 to 29 years,Female >> 30 to 34 years,Female >> 35 to 39 years,Female >> 40 to 44 years,Female >> 45 to 49 years,Female >> 50 to 54 years,Female >> 55 to 59 years,Female >> 60 and 61 years,Female >> 62 to 64 years,Female >> 65 to 69 years,Female >> 70 to 74 years,Female >> 75 to 79 years,Female >> 80 to 84 years,Female >> 85 years and over
"G0100010","1990","AL",,,,,,,,,,,,"99","Autauga","001",,,"6","5240",,,,"9999","3","Alabama","01",,,,"0001543666","0000021962","Autauga County","A","+32542207","-086641472","06",2,5,5,0,2,10,5,5,3,2,1,1,0,3,0,0,4,10,10,9,5,5,3,6,0,3,2,2,1,0,2,2,2,8,1,1,10,5,7,0,1,3,3,0,4,1,1,1,9,17,8,8,8,7,4,4,0,2,4,2,0,1
"G0100030","1990","AL",,,,,,,,,,,,"99","Baldwin","003",,,"6","5160",,,,"9999","3","Alabama","01",,,,"0004135016","0001115118","Baldwin County","A","+30654881","-087754736","06",11,24,24,13,8,32,20,21,11,10,9,13,9,12,5,4,21,35,44,40,34,25,13,13,9,14,13,4,8,1,0,12,28,23,12,6,23,19,13,10,9,8,9,12,10,5,6,13,53,39,40,38,26,25,20,2,13,21,9,7,8,3
"G0100050","1990","AL",,,,,,,,,,,,"99","Barbour","005",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002292133","0000050747","Barbour County","A","+31863073","-085388993","06",0,3,2,0,4,4,2,6,1,0,3,0,0,0,0,0,4,6,4,6,5,4,0,0,1,1,3,0,4,0,0,0,2,2,4,1,4,4,2,1,0,2,1,3,0,0,1,3,3,7,3,1,1,0,4,0,1,2,1,4,1,3
"G0100070","1990","AL",,,,,,,,,,,,"99","Bibb","007",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001611914","0000008130","Bibb County","A","+32996943","-087126855","06",0,3,1,1,0,0,1,1,0,0,0,0,0,1,1,1,2,1,2,3,1,0,1,0,0,1,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,1,0,0,0,2,0,1,1,0
"G0100090","1990","AL",,,,,,,,,,,,"99","Blount","009",,,"6","1000",,,,"9999","3","Alabama","01",,,,"0001672287","0000012884","Blount County","A","+33979740","-086566214","06",3,9,3,4,1,6,4,8,3,1,4,5,4,10,4,9,32,26,19,12,4,7,5,0,0,2,1,1,0,1,0,4,4,6,1,4,5,1,5,1,2,3,2,1,3,3,5,5,10,7,3,6,6,2,2,0,1,1,1,4,0,0
"G0100110","1990","AL",,,,,,,,,,,,"99","Bullock","011",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001618915","0000002703","Bullock County","A","+32101773","-085717786","06",2,2,1,2,1,0,2,0,0,0,2,1,0,0,0,0,0,2,3,3,2,3,2,1,0,0,0,0,2,1,0,2,2,1,0,0,1,0,2,0,1,1,0,1,0,1,2,1,3,2,1,1,2,1,0,0,0,1,4,1,2,0
"G0100130","1990","AL",,,,,,,,,,,,"99","Butler","013",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002012260","0000002724","Butler County","A","+31751982","-086682302","06",0,1,0,0,0,0,1,0,0,1,0,0,1,1,2,1,1,0,2,1,1,1,1,0,1,1,1,2,0,1,1,1,2,2,1,0,3,4,3,1,1,1,1,0,2,0,0,3,0,3,2,3,0,0,0,1,0,0,3,3,3,0
"G0100150","1990","AL",,,,,,,,,,,,"99","Calhoun","015",,,"6","0450",,,,"9999","3","Alabama","01",,,,"0001576038","0000009959","Calhoun County","A","+33774548","-085825619","06",9,33,22,9,15,53,27,26,10,9,9,10,26,31,28,27,53,86,65,61,34,12,14,8,3,2,9,4,0,1,0,12,17,32,13,17,52,23,24,10,7,7,8,13,21,11,12,41,60,75,54,24,15,12,12,1,1,6,1,4,1,0
"G0100170","1990","AL",,,,,,,,,,,,"99","Chambers","017",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001547283","0000014885","Chambers County","A","+32915184","-085389802","06",0,1,3,1,0,5,4,3,1,0,1,3,0,3,1,2,4,3,3,1,5,1,4,2,0,0,2,0,0,1,0,1,2,0,1,3,8,4,2,1,4,4,0,1,1,0,2,2,8,4,2,7,0,7,2,0,2,3,0,0,1,1
"G0100190","1990","AL",,,,,,,,,,,,"99","Cherokee","019",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001432714","0000121285","Cherokee County","A","+34187088","-085605750","06",0,0,2,1,1,4,0,2,0,1,1,0,0,0,3,2,1,1,2,2,2,2,2,2,0,0,1,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,1,1,0,0,2,2,0,0,3,4,1,0,0,0,0,1,2,0,1
"G0100210","1990","AL",,,,,,,,,,,,"99","Chilton","021",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001797629","0000017453","Chilton County","A","+32844987","-086718688","06",1,1,3,1,4,6,3,1,0,2,2,0,2,0,2,2,1,1,6,3,3,1,1,2,0,3,1,0,1,1,0,2,2,4,1,2,3,2,3,2,2,3,2,0,1,1,0,2,5,6,3,2,1,4,3,1,1,2,0,0,2,0
"G0100230","1990","AL",,,,,,,,,,,,"99","Choctaw","023",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0002366161","0000018995","Choctaw County","A","+32024863","-088265781","06",0,2,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,4,1,1,2,1,0,0,2,0,0,0,2,1,0,1,0,0,1,1,0,0,1,3,1,1,0,1,1,0,3,4,1,1,2,0,2,0,1,1,1,1,1,2
"G0100250","1990","AL",,,,,,,,,,,,"99","Clarke","025",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0003207659","0000036584","Clarke County","A","+31677523","-087835981","06",1,2,2,1,0,2,2,3,0,1,0,1,0,1,1,1,4,4,4,2,1,1,2,2,1,0,1,1,1,1,1,0,2,0,0,2,3,3,4,0,1,1,1,0,0,2,1,5,5,7,5,2,1,2,2,0,4,0,3,2,0,1
"G0100270","1990","AL",,,,,,,,,,,,"99","Clay","027",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001567273","0000002403","Clay County","A","+33268721","-085859858","06",1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,1,2,0,2,1,0,0,1,0,0,0,0,0
"G0100290","1990","AL",,,,,,,,,,,,"99","Cleburne","029",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001450928","0000002226","Cleburne County","A","+33670870","-085517385","06",0,0,0,1,0,0,2,0,0,1,1,1,0,0,1,1,0,3,2,4,1,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0
"G0100310","1990","AL",,,,,,,,,,,,"99","Coffee","031",,,"6","9999",,,,"9999","3","Alabama","01",,,,"0001759093","0000003449","Coffee County","A","+31402888","-085989130","06",7,10,12,5,1,18,5,11,6,5,7,3,2,3,6,1,20,41,16,21,19,10,3,8,1,2,3,3,1,0,0,4,11,5,2,4,16,8,9,2,7,7,4,2,2,1,4,13,26,27,20,13,5,6,8,3,5,4,1,1,0,1
"G0100330","1990","AL",,,,,,,,,,,,"99","Colbert","033",,,"6","2650",,,,"9999","3","Alabama","01",,,,"0001539948","0000075322","Colbert County","A","+34707296","-087796569","06",1,4,4,1,4,4,2,1,2,3,1,3,3,1,2,0,5,11,6,10,7,6,2,4,0,3,1,4,1,1,0,2,4,3,2,2,3,8,2,2,0,4,2,2,1,2,1,4,3,7,9,4,5,3,1,0,4,4,3,0,2,1
