GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACE,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET5001,ET5002,ET5003,ET5004,ET5005,ET5006,ET5007,ET5008,ET5009,ET5010,ET5011,ET5012,ET5013,ET5014,ET5015,ET5016,ET5017,ET5018,ET5019,ET5020,ET5021,ET5022,ET5023,ET5024,ET5025,ET5026,ET5027,ET5028,ET5029,ET5030,ET5031,ET5032,ET5033,ET5034,ET5035,ET5036,ET5037,ET5038,ET5039,ET5040,ET5041,ET5042,ET5043,ET5044,ET5045,ET5046,ET5047,ET5048,ET5049,ET5050,ET5051,ET5052,ET5053,ET5054,ET5055,ET5056,ET5057,ET5058,ET5059,ET5060,ET5061,ET5062
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Name,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Male >> Under 1 year,Male >> 1 and 2 years,Male >> 3 and 4 years,Male >> 5 years,Male >> 6 years,Male >> 7 to 9 years,Male >> 10 and 11 years,Male >> 12 and 13 years,Male >> 14 years,Male >> 15 years,Male >> 16 years,Male >> 17 years,Male >> 18 years,Male >> 19 years,Male >> 20 years,Male >> 21 years,Male >> 22 to 24 years,Male >> 25 to 29 years,Male >> 30 to 34 years,Male >> 35 to 39 years,Male >> 40 to 44 years,Male >> 45 to 49 years,Male >> 50 to 54 years,Male >> 55 to 59 years,Male >> 60 and 61 years,Male >> 62 to 64 years,Male >> 65 to 69 years,Male >> 70 to 74 years,Male >> 75 to 79 years,Male >> 80 to 84 years,Male >> 85 years and over,Female >> Under 1 year,Female >> 1 and 2 years,Female >> 3 and 4 years,Female >> 5 years,Female >> 6 years,Female >> 7 to 9 years,Female >> 10 and 11 years,Female >> 12 and 13 years,Female >> 14 years,Female >> 15 years,Female >> 16 years,Female >> 17 years,Female >> 18 years,Female >> 19 years,Female >> 20 years,Female >> 21 years,Female >> 22 to 24 years,Female >> 25 to 29 years,Female >> 30 to 34 years,Female >> 35 to 39 years,Female >> 40 to 44 years,Female >> 45 to 49 years,Female >> 50 to 54 years,Female >> 55 to 59 years,Female >> 60 and 61 years,Female >> 62 to 64 years,Female >> 65 to 69 years,Female >> 70 to 74 years,Female >> 75 to 79 years,Female >> 80 to 84 years,Female >> 85 years and over
"G01000124","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Abbeville city","00124","C1","4",,"3","Alabama","01",,,,"0000040308","0000000121","Abbeville city","A","+31567949","-085253681","58",0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G01000460","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Adamsville city","00460","C1","4",,"3","Alabama","01",,,,"0000007948","0000000000","Adamsville city","A","+33595542","-086957993","58",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,0,1,0,0,0,1
"G01000484","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Addison town","00484","C1","4",,"3","Alabama","01",,,,"0000007688","0000000000","Addison town","A","+34199940","-087177921","60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G01000676","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Akron town","00676","C1","4",,"3","Alabama","01",,,,"0000001437","0000000000","Akron town","A","+32876118","-087738779","60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"G01000820","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Alabaster city","00820","C1","4",,"3","Alabama","01",,,,"0000048812","0000000106","Alabaster city","A","+33226547","-086824620","58",1,1,2,2,1,4,2,0,1,2,0,1,1,0,0,1,0,4,3,2,1,2,1,0,0,0,1,0,1,0,0,1,4,1,1,1,2,1,0,1,1,1,1,0,1,0,0,3,5,7,5,3,3,0,2,1,1,0,0,0,0,0
"G01000988","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Albertville city","00988","C1","4",,"3","Alabama","01",,,,"0000066073","0000000260","Albertville city","A","+34262453","-086209414","58",2,2,1,4,0,3,2,0,2,0,0,0,0,0,1,0,3,8,3,0,2,0,0,3,0,1,1,0,2,1,0,0,6,1,1,0,3,1,0,0,0,0,0,0,0,1,1,2,2,6,1,0,1,1,3,0,3,1,0,2,0,0
"G01001132","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Alexander City city","01132","C1","4",,"3","Alabama","01",,,,"0000100616","0000000435","Alexander City city","A","+32927015","-085934009","58",0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,1,0,0,0,0
"G01001228","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Aliceville city","01228","C1","4",,"3","Alabama","01",,,,"0000011646","0000000000","Aliceville city","A","+33125078","-088157999","58",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G01001396","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Allgood town","01396","C1","4",,"3","Alabama","01",,,,"0000002685","0000000000","Allgood town","A","+33906430","-086518044","60",1,1,2,0,1,1,1,2,0,0,0,1,0,1,0,1,4,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0
"G01001660","1990","AL",,,,,,,,,,,"99999",,,,,"6",,"Altoona town","01660","C1","4",,"3","Alabama","01",,,,"0000009862","0000000028","Altoona town","A","+34031381","-086313552","60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
