school_year,level,area,area_raw,placed_out,living_in_area_total,oe_out_of_area,pct_enrolled_in_neighborhood,matrix_col_sum
2016-2017,elementary,Bear Creek,Bear Creek*,1.0,253,30,0.88,252
2016-2017,elementary,Columbine,Columbine,18.0,687,270,0.58,669
2016-2017,elementary,Creekside,Creekside*,4.0,514,290,0.43,510
2016-2017,elementary,Crest View,Crest View,17.0,904,349,0.6,887
2016-2017,elementary,Douglass,Douglass,17.0,451,82,0.78,434
2016-2017,elementary,Eisenhower,Eisenhower,4.0,495,173,0.64,491
2016-2017,elementary,Flatirons,Flatirons,4.0,258,77,0.69,254
2016-2017,elementary,Foothill,Foothill,10.0,628,137,0.77,618
2016-2017,elementary,Heatherwood,Heatherwood,2.0,397,75,0.81,395
2016-2017,elementary,Mesa,Mesa*,3.0,237,47,0.79,234
2016-2017,elementary,Whittier,Whittier,8.0,497,113,0.76,489
2016-2017,elementary,Optional Bear Creek/Creekside,Optional Bear Creek/ Creekside,,48,5,0.9,48
2016-2017,elementary,Optional Bear Creek/Mesa,Optional Bear Creek/Mesa,3.0,203,37,0.8,200
2016-2017,elementary,Aspen Creek K-8,Aspen Creek K-8,18.0,427,92,0.74,409
2016-2017,elementary,Birch,Birch,7.0,362,104,0.69,355
2016-2017,elementary,Emerald,Emerald,10.0,383,120,0.66,373
2016-2017,elementary,Kohl,Kohl,8.0,344,60,0.8,336
2016-2017,elementary,Lafayette,Lafayette,12.0,945,384,0.58,933
2016-2017,elementary,Ryan,Ryan,10.0,555,220,0.59,545
2016-2017,elementary,Sanchez,Sanchez,27.0,648,335,0.44,621
2016-2017,elementary,Coal Creek,Coal Creek,4.0,447,78,0.82,443
2016-2017,elementary,Fireside,Fireside,4.0,398,56,0.85,394
2016-2017,elementary,Louisville,Louisville,8.0,635,107,0.82,627
2016-2017,elementary,Monarch K-8,Monarch K-8,14.0,333,77,0.73,319
2016-2017,elementary,Eldorado K-8,Eldorado K-8,,441,73,0.83,441
2016-2017,elementary,Superior,Superior,12.0,482,57,0.86,470
2016-2017,elementary,Gold Hill,Gold Hill,,9,0,1.0,9
2016-2017,elementary,Jamestown,Jamestown,,11,5,0.55,11
2016-2017,elementary,Nederland,Nederland,,304,48,0.84,304
2016-2017,high,Boulder,Boulder*,18.0,2138,570,0.72,2120
2016-2017,high,Fairview,Fairview*,11.0,1327,254,0.8,1316
