school_year,level,source,target,students,self_loop,edge_type,source_raw,target_raw
2016-2017,elementary,Bear Creek,Bear Creek,222,True,matrix,Bear Creek*,Bear Creek *
2016-2017,elementary,Creekside,Bear Creek,7,False,matrix,Creekside*,Bear Creek *
2016-2017,elementary,Crest View,Bear Creek,6,False,matrix,Crest View,Bear Creek *
2016-2017,elementary,Douglass,Bear Creek,1,False,matrix,Douglass,Bear Creek *
2016-2017,elementary,Eisenhower,Bear Creek,3,False,matrix,Eisenhower,Bear Creek *
2016-2017,elementary,Flatirons,Bear Creek,1,False,matrix,Flatirons,Bear Creek *
2016-2017,elementary,Foothill,Bear Creek,2,False,matrix,Foothill,Bear Creek *
2016-2017,elementary,Mesa,Bear Creek,11,False,matrix,Mesa*,Bear Creek *
2016-2017,elementary,Optional Bear Creek/Creekside,Bear Creek,42,False,matrix,Optional Bear Creek/ Creekside,Bear Creek *
2016-2017,elementary,Optional Bear Creek/Mesa,Bear Creek,128,False,matrix,Optional Bear Creek/Mesa,Bear Creek *
2016-2017,elementary,Kohl,Bear Creek,1,False,matrix,Kohl,Bear Creek *
2016-2017,elementary,Lafayette,Bear Creek,3,False,matrix,Lafayette,Bear Creek *
2016-2017,elementary,Sanchez,Bear Creek,1,False,matrix,Sanchez,Bear Creek *
2016-2017,elementary,Coal Creek,Bear Creek,1,False,matrix,Coal Creek,Bear Creek *
2016-2017,elementary,Fireside,Bear Creek,2,False,matrix,Fireside,Bear Creek *
2016-2017,elementary,Monarch K-8,Bear Creek,1,False,matrix,Monarch K-8,Bear Creek *
2016-2017,elementary,Eldorado K-8,Bear Creek,3,False,matrix,Eldorado K-8,Bear Creek *
2016-2017,elementary,Columbine,Columbine,399,True,matrix,Columbine,Columbine
2016-2017,elementary,Creekside,Columbine,3,False,matrix,Creekside*,Columbine
2016-2017,elementary,Crest View,Columbine,35,False,matrix,Crest View,Columbine
2016-2017,elementary,Eisenhower,Columbine,1,False,matrix,Eisenhower,Columbine
2016-2017,elementary,Flatirons,Columbine,3,False,matrix,Flatirons,Columbine
2016-2017,elementary,Foothill,Columbine,13,False,matrix,Foothill,Columbine
2016-2017,elementary,Heatherwood,Columbine,6,False,matrix,Heatherwood,Columbine
2016-2017,elementary,Whittier,Columbine,9,False,matrix,Whittier,Columbine
2016-2017,elementary,Lafayette,Columbine,1,False,matrix,Lafayette,Columbine
2016-2017,elementary,Ryan,Columbine,1,False,matrix,Ryan,Columbine
2016-2017,elementary,Sanchez,Columbine,3,False,matrix,Sanchez,Columbine
2016-2017,elementary,Nederland,Columbine,1,False,matrix,Nederland,Columbine
2016-2017,elementary,Bear Creek,Creekside,3,False,matrix,Bear Creek*,Creekside *
2016-2017,elementary,Columbine,Creekside,8,False,matrix,Columbine,Creekside *
2016-2017,elementary,Creekside,Creekside,219,True,matrix,Creekside*,Creekside *
2016-2017,elementary,Crest View,Creekside,1,False,matrix,Crest View,Creekside *
2016-2017,elementary,Douglass,Creekside,2,False,matrix,Douglass,Creekside *
2016-2017,elementary,Eisenhower,Creekside,7,False,matrix,Eisenhower,Creekside *
2016-2017,elementary,Flatirons,Creekside,1,False,matrix,Flatirons,Creekside *
2016-2017,elementary,Foothill,Creekside,1,False,matrix,Foothill,Creekside *
2016-2017,elementary,Heatherwood,Creekside,4,False,matrix,Heatherwood,Creekside *
2016-2017,elementary,Mesa,Creekside,1,False,matrix,Mesa*,Creekside *
2016-2017,elementary,Whittier,Creekside,2,False,matrix,Whittier,Creekside *
2016-2017,elementary,Optional Bear Creek/Creekside,Creekside,1,False,matrix,Optional Bear Creek/ Creekside,Creekside *
2016-2017,elementary,Optional Bear Creek/Mesa,Creekside,2,False,matrix,Optional Bear Creek/Mesa,Creekside *
2016-2017,elementary,Kohl,Creekside,1,False,matrix,Kohl,Creekside *
2016-2017,elementary,Sanchez,Creekside,3,False,matrix,Sanchez,Creekside *
2016-2017,elementary,Coal Creek,Creekside,1,False,matrix,Coal Creek,Creekside *
2016-2017,elementary,Monarch K-8,Creekside,3,False,matrix,Monarch K-8,Creekside *
2016-2017,elementary,Nederland,Creekside,1,False,matrix,Nederland,Creekside *
2016-2017,elementary,Columbine,Crest View,21,False,matrix,Columbine,Crest View
2016-2017,elementary,Creekside,Crest View,3,False,matrix,Creekside*,Crest View
2016-2017,elementary,Crest View,Crest View,538,True,matrix,Crest View,Crest View
2016-2017,elementary,Foothill,Crest View,7,False,matrix,Foothill,Crest View
2016-2017,elementary,Heatherwood,Crest View,7,False,matrix,Heatherwood,Crest View
2016-2017,elementary,Whittier,Crest View,4,False,matrix,Whittier,Crest View
2016-2017,elementary,Lafayette,Crest View,1,False,matrix,Lafayette,Crest View
2016-2017,elementary,Sanchez,Crest View,2,False,matrix,Sanchez,Crest View
2016-2017,elementary,Coal Creek,Crest View,3,False,matrix,Coal Creek,Crest View
2016-2017,elementary,Jamestown,Crest View,3,False,matrix,Jamestown,Crest View
2016-2017,elementary,Nederland,Crest View,2,False,matrix,Nederland,Crest View
2016-2017,elementary,Douglass,Douglass,352,True,matrix,Douglass,Douglass
2016-2017,elementary,Eisenhower,Douglass,1,False,matrix,Eisenhower,Douglass
2016-2017,elementary,Heatherwood,Douglass,7,False,matrix,Heatherwood,Douglass
2016-2017,elementary,Mesa,Douglass,1,False,matrix,Mesa*,Douglass
2016-2017,elementary,Whittier,Douglass,4,False,matrix,Whittier,Douglass
2016-2017,elementary,Lafayette,Douglass,40,False,matrix,Lafayette,Douglass
2016-2017,elementary,Ryan,Douglass,9,False,matrix,Ryan,Douglass
2016-2017,elementary,Sanchez,Douglass,7,False,matrix,Sanchez,Douglass
2016-2017,elementary,Coal Creek,Douglass,2,False,matrix,Coal Creek,Douglass
2016-2017,elementary,Louisville,Douglass,1,False,matrix,Louisville,Douglass
2016-2017,elementary,Bear Creek,Eisenhower,1,False,matrix,Bear Creek*,Eisenhower
2016-2017,elementary,Columbine,Eisenhower,17,False,matrix,Columbine,Eisenhower
2016-2017,elementary,Creekside,Eisenhower,17,False,matrix,Creekside*,Eisenhower
2016-2017,elementary,Crest View,Eisenhower,12,False,matrix,Crest View,Eisenhower
2016-2017,elementary,Douglass,Eisenhower,3,False,matrix,Douglass,Eisenhower
2016-2017,elementary,Eisenhower,Eisenhower,318,True,matrix,Eisenhower,Eisenhower
2016-2017,elementary,Flatirons,Eisenhower,3,False,matrix,Flatirons,Eisenhower
2016-2017,elementary,Foothill,Eisenhower,3,False,matrix,Foothill,Eisenhower
2016-2017,elementary,Heatherwood,Eisenhower,1,False,matrix,Heatherwood,Eisenhower
2016-2017,elementary,Whittier,Eisenhower,3,False,matrix,Whittier,Eisenhower
2016-2017,elementary,Optional Bear Creek/Mesa,Eisenhower,1,False,matrix,Optional Bear Creek/Mesa,Eisenhower
2016-2017,elementary,Birch,Eisenhower,1,False,matrix,Birch,Eisenhower
2016-2017,elementary,Lafayette,Eisenhower,2,False,matrix,Lafayette,Eisenhower
2016-2017,elementary,Ryan,Eisenhower,1,False,matrix,Ryan,Eisenhower
2016-2017,elementary,Sanchez,Eisenhower,2,False,matrix,Sanchez,Eisenhower
2016-2017,elementary,Coal Creek,Eisenhower,1,False,matrix,Coal Creek,Eisenhower
2016-2017,elementary,Louisville,Eisenhower,2,False,matrix,Louisville,Eisenhower
2016-2017,elementary,Monarch K-8,Eisenhower,1,False,matrix,Monarch K-8,Eisenhower
2016-2017,elementary,Superior,Eisenhower,2,False,matrix,Superior,Eisenhower
2016-2017,elementary,Nederland,Eisenhower,3,False,matrix,Nederland,Eisenhower
2016-2017,elementary,Columbine,Flatirons,9,False,matrix,Columbine,Flatirons
2016-2017,elementary,Creekside,Flatirons,20,False,matrix,Creekside*,Flatirons
2016-2017,elementary,Crest View,Flatirons,11,False,matrix,Crest View,Flatirons
2016-2017,elementary,Douglass,Flatirons,1,False,matrix,Douglass,Flatirons
2016-2017,elementary,Eisenhower,Flatirons,3,False,matrix,Eisenhower,Flatirons
2016-2017,elementary,Flatirons,Flatirons,177,True,matrix,Flatirons,Flatirons
2016-2017,elementary,Foothill,Flatirons,7,False,matrix,Foothill,Flatirons
2016-2017,elementary,Mesa,Flatirons,2,False,matrix,Mesa*,Flatirons
2016-2017,elementary,Whittier,Flatirons,8,False,matrix,Whittier,Flatirons
2016-2017,elementary,Optional Bear Creek/Creekside,Flatirons,1,False,matrix,Optional Bear Creek/ Creekside,Flatirons
2016-2017,elementary,Lafayette,Flatirons,1,False,matrix,Lafayette,Flatirons
