city,series,x_start,y_start,x_end,y_end,change_2000s,change_2010s
Mountain View,peer,136.4,162.4,162.4,117.0,26.0,-45.4
Provo,peer,179.5,170.3,170.3,129.8,-9.2,-40.5
Boulder,Boulder,98.5,111.3,111.3,71.9,12.8,-39.4
Evanston,peer,106.0,115.6,115.6,76.5,9.6,-39.1
New Haven,peer,99.5,119.6,119.6,86.6,20.1,-33.0
Durham,peer,119.9,140.8,140.8,108.5,20.9,-32.3
Bloomington,peer,132.9,140.5,140.5,109.0,7.6,-31.5
Fort Collins,peer,95.7,107.9,107.9,80.5,12.2,-27.4
Rochester,peer,103.3,128.0,128.0,101.7,24.6,-26.3
Cambridge,peer,112.6,166.2,166.2,141.7,53.6,-24.5
Santa Barbara,peer,108.5,111.6,111.6,87.8,3.1,-23.7
Pasadena,peer,113.6,121.1,121.1,100.6,7.5,-20.5
Berkeley,peer,103.4,114.6,114.6,94.1,11.2,-20.4
Madison,peer,104.7,136.2,136.2,116.5,31.5,-19.7
Chapel Hill,peer,78.4,82.6,82.6,66.6,4.1,-15.9
Syracuse,peer,100.8,120.5,120.5,105.7,19.7,-14.7
Gainesville,peer,88.9,135.9,135.9,122.6,47.0,-13.3
Irvine,peer,81.0,93.4,93.4,81.1,12.4,-12.3
Iowa City,peer,102.1,124.9,124.9,113.0,22.8,-11.9
College Station,peer,121.4,133.7,133.7,121.8,12.2,-11.8
Eugene,peer,91.8,94.2,94.2,84.4,2.5,-9.8
Huntsville,peer,93.7,105.7,105.7,100.0,12.0,-5.7
Baton Rouge,peer,101.7,108.1,108.1,102.6,6.4,-5.5
Pittsburgh,peer,93.1,117.6,117.6,113.6,24.5,-4.0
Ann Arbor,peer,112.0,113.6,113.6,114.4,1.6,0.8
Tempe,peer,105.2,111.7,111.7,115.5,6.5,3.7
