city,series,point,point_order,x,y
Ann Arbor,peer,start,1,112.0,113.6
Ann Arbor,peer,end,2,113.6,114.4
Baton Rouge,peer,start,1,101.7,108.1
Baton Rouge,peer,end,2,108.1,102.6
Berkeley,peer,start,1,103.4,114.6
Berkeley,peer,end,2,114.6,94.1
Bloomington,peer,start,1,132.9,140.5
Bloomington,peer,end,2,140.5,109.0
Boulder,Boulder,start,1,98.5,111.3
Boulder,Boulder,end,2,111.3,71.9
Cambridge,peer,start,1,112.6,166.2
Cambridge,peer,end,2,166.2,141.7
Chapel Hill,peer,start,1,78.4,82.6
Chapel Hill,peer,end,2,82.6,66.6
College Station,peer,start,1,121.4,133.7
College Station,peer,end,2,133.7,121.8
Durham,peer,start,1,119.9,140.8
Durham,peer,end,2,140.8,108.5
Eugene,peer,start,1,91.8,94.2
Eugene,peer,end,2,94.2,84.4
Evanston,peer,start,1,106.0,115.6
Evanston,peer,end,2,115.6,76.5
Fort Collins,peer,start,1,95.7,107.9
Fort Collins,peer,end,2,107.9,80.5
Gainesville,peer,start,1,88.9,135.9
Gainesville,peer,end,2,135.9,122.6
Huntsville,peer,start,1,93.7,105.7
Huntsville,peer,end,2,105.7,100.0
Iowa City,peer,start,1,102.1,124.9
Iowa City,peer,end,2,124.9,113.0
Irvine,peer,start,1,81.0,93.4
Irvine,peer,end,2,93.4,81.1
Madison,peer,start,1,104.7,136.2
Madison,peer,end,2,136.2,116.5
Mountain View,peer,start,1,136.4,162.4
Mountain View,peer,end,2,162.4,117.0
New Haven,peer,start,1,99.5,119.6
New Haven,peer,end,2,119.6,86.6
Pasadena,peer,start,1,113.6,121.1
Pasadena,peer,end,2,121.1,100.6
Pittsburgh,peer,start,1,93.1,117.6
Pittsburgh,peer,end,2,117.6,113.6
Provo,peer,start,1,179.5,170.3
Provo,peer,end,2,170.3,129.8
Rochester,peer,start,1,103.3,128.0
Rochester,peer,end,2,128.0,101.7
Santa Barbara,peer,start,1,108.5,111.6
Santa Barbara,peer,end,2,111.6,87.8
Syracuse,peer,start,1,100.8,120.5
Syracuse,peer,end,2,120.5,105.7
Tempe,peer,start,1,105.2,111.7
Tempe,peer,end,2,111.7,115.5
