year,Boulder County,peer county median,Front Range median
1975,16.3,23.8,20.9
1976,18.0,26.1,23.0
1977,21.4,31.0,26.2
1978,25.4,35.4,31.6
1979,29.5,39.6,36.7
1980,31.9,41.9,41.0
1981,33.9,45.2,42.6
1982,38.9,44.0,46.2
1983,38.4,47.3,49.3
1984,39.6,49.0,49.0
1985,40.4,52.2,49.6
1986,41.6,55.4,51.1
1987,42.0,59.1,50.8
1988,42.3,63.2,48.7
1989,43.3,66.8,49.6
1990,44.7,68.0,50.1
1991,46.8,70.4,51.5
1992,50.9,72.1,54.5
1993,57.2,74.6,59.6
1994,64.0,75.8,65.7
1995,69.1,81.2,71.4
1996,71.4,83.8,73.9
1997,74.9,87.2,77.2
1998,78.6,89.1,81.0
1999,85.3,93.2,87.1
2000,100.0,100.0,100.0
2001,110.4,106.2,108.7
2002,114.7,110.5,113.4
2003,114.8,113.6,114.5
2004,117.0,119.6,117.8
2005,123.0,133.0,122.6
2006,125.8,139.4,123.5
2007,127.2,143.8,123.3
2008,128.9,143.1,119.8
2009,127.6,135.9,118.4
2010,125.2,134.8,115.5
2011,122.7,131.9,112.1
2012,124.0,131.7,112.9
2013,129.6,134.1,121.0
2014,141.7,139.9,131.2
2015,155.5,147.4,144.7
2016,175.2,152.8,160.9
2017,189.7,160.7,176.6
2018,203.8,171.4,191.4
2019,211.2,182.2,200.7
2020,213.4,188.1,206.2
2021,236.0,206.9,233.6
2022,277.8,233.0,273.6
2023,282.0,253.5,276.1
2024,289.1,267.4,282.4
2025,288.8,286.8,281.7
