name,cum_units,cum_per_1k,early_per_1k,late_per_1k,delta_per_1k,family_units,family_share,cum_per_1k_2020_base,housing_units_2010,housing_units_2020,cum_per_1k_stock,permits_2010_2020,stock_change_2010_2020,realized_pct,tier
Evanston,1032,13.85,1.87,0.51,-1.36,151,14.63,13.21,33181,34462,31.1,743,1281,172.41,2
Santa Barbara,1866,21.11,0.52,0.62,0.11,822,44.05,21.05,37820,38208,49.34,1405,388,27.62,2
Ann Arbor,2764,24.26,1.3,3.14,1.83,1183,42.8,22.32,49789,53213,55.51,1325,3424,258.42,2
Syracuse,3900,26.87,1.94,3.38,1.43,296,7.59,26.24,64356,66791,60.6,2400,2435,101.46,2
Baton Rouge,7378,32.15,1.27,4.8,3.54,4732,64.14,32.44,100801,105272,73.19,3557,4471,125.7,2
Pasadena,4526,33.01,1.16,1.54,0.38,679,15.0,32.63,59551,61643,76.0,3466,2092,60.36,2
Berkeley,4568,40.58,0.46,3.27,2.81,796,17.43,36.74,49454,52331,92.37,2353,2877,122.27,2
Provo,4892,43.49,1.57,2.56,0.99,2144,43.83,42.48,33212,36106,147.3,2852,2894,101.47,2
Pittsburgh,14114,46.17,0.62,6.72,6.1,2149,15.23,46.59,156165,157695,90.38,5111,1530,29.94,2
New Haven,6176,47.59,2.07,4.39,2.33,351,5.68,46.08,54967,57525,112.36,3665,2558,69.8,2
Boulder,6000,61.61,3.36,3.41,0.05,1045,17.42,55.43,43479,46289,138.0,4405,2810,63.79,1
Cambridge,6506,61.87,1.47,2.12,0.65,437,6.72,54.95,47291,53907,137.57,4633,6616,142.8,2
Chapel Hill,4005,69.98,0.89,6.13,5.24,949,23.7,64.64,22254,23713,179.97,2302,1459,63.38,2
Eugene,11681,74.79,2.49,5.22,2.73,4045,34.63,66.12,69951,77395,166.99,6753,7444,110.23,2
Louisville,1746,95.02,5.22,6.62,1.4,1195,68.44,82.26,7892,8929,221.24,1203,1037,86.2,1
Iowa City,6874,101.29,4.11,3.93,-0.18,2462,35.82,91.86,29270,32854,234.85,5314,3584,67.44,2
Gainesville,13705,110.21,1.7,12.5,10.8,2000,14.59,97.14,57576,63612,238.03,6475,6036,93.22,2
Superior,1388,111.19,0.08,16.74,16.66,759,54.68,106.0,4698,5025,295.44,427,327,76.58,1
Fort Collins,16162,112.25,4.87,6.95,2.08,6793,42.03,95.18,60503,71625,267.13,11520,11122,96.55,2
Mountain View,8393,113.32,4.02,3.17,-0.85,1687,20.1,101.89,33881,37295,247.72,5825,3414,58.61,2
Rochester,12369,115.85,2.88,7.36,4.48,4666,37.72,101.89,45683,53210,270.76,8305,7527,90.63,2
Tempe,19340,119.59,2.43,7.95,5.52,1397,7.22,107.1,73462,82626,263.27,11979,9164,76.5,2
Longmont,10962,127.07,1.94,11.53,9.59,3910,35.67,110.86,35008,41680,313.13,6577,6672,101.44,1
Madison,31591,135.46,3.37,12.6,9.23,4634,14.67,117.07,108843,126070,290.24,16790,17227,102.6,2
Lafayette,3532,144.44,8.9,1.28,-7.62,1418,40.15,116.14,9997,12456,353.31,3236,2459,75.99,1
Huntsville,26119,145.02,6.43,11.15,4.72,18802,71.99,121.48,84949,100391,307.47,16151,15442,95.61,2
College Station,18239,194.33,10.76,11.19,0.43,9514,52.16,151.35,37226,48782,489.95,13407,11556,86.19,2
Irvine,45771,215.52,10.95,10.21,-0.74,17382,37.98,148.77,83899,119215,545.55,35412,35316,99.73,2
Durham,49352,216.14,7.33,16.99,9.66,25177,51.02,174.08,103221,128005,478.12,30024,24784,82.55,2
Erie,7973,439.65,6.93,33.77,26.84,6830,85.66,265.43,6581,10332,1211.52,4147,3751,90.45,1
