year,Boulder County,peer 25th,peer median,peer 75th,Front Range 25th,Front Range median,Front Range 75th,peer counties reporting,Front Range counties reporting
1997,87.3,86.8,93.9,96.3,84.6,91.7,100.6,25,9
1998,84.5,88.1,91.8,96.2,85.3,88.6,99.2,25,9
1999,89.1,94.8,97.6,100.4,90.2,91.6,98.1,25,9
2000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25,9
2001,113.3,105.9,107.4,110.8,108.2,108.6,109.3,25,9
2002,120.5,109.1,111.0,119.1,112.8,113.9,114.5,25,9
2003,117.8,109.1,113.5,124.4,111.6,113.8,114.5,25,9
2004,118.4,112.7,117.7,133.6,112.6,116.1,116.5,25,9
2005,123.6,118.7,124.9,148.4,113.1,121.3,123.5,25,9
2006,118.3,116.3,124.5,153.0,111.6,120.6,123.5,25,9
2007,115.9,114.3,123.2,151.3,102.7,114.9,119.9,25,9
2008,113.2,110.0,116.8,131.5,94.9,108.8,109.8,25,9
2009,117.3,112.1,116.9,123.6,101.1,109.4,112.0,25,9
2010,117.9,110.1,113.9,122.2,98.0,108.7,111.1,25,9
2011,105.6,104.3,108.5,115.3,90.8,106.9,107.8,25,9
2012,108.6,102.8,106.3,111.7,88.4,103.9,107.2,25,9
2013,106.4,100.9,110.8,113.6,94.9,106.7,107.8,25,9
2014,116.1,103.3,110.2,122.5,100.5,112.5,116.9,25,9
2015,125.9,102.9,110.4,122.4,108.0,116.5,123.4,25,9
2016,137.3,103.8,114.2,129.9,113.3,126.5,131.4,25,9
2017,137.8,104.9,111.8,129.1,120.8,132.9,135.9,25,9
2018,142.9,107.1,117.6,132.2,127.8,138.5,140.8,25,9
2019,140.1,105.3,114.7,128.1,128.2,131.4,138.7,25,9
2020,141.7,106.0,115.2,124.7,130.4,136.4,142.4,25,9
2021,153.1,114.8,129.6,138.8,138.9,145.2,157.2,25,9
2022,168.6,123.2,132.3,149.2,148.0,154.4,166.1,24,9
2023,170.1,126.8,139.1,158.3,139.9,150.1,160.6,24,9
2024,164.0,126.3,139.6,155.4,137.1,150.6,156.2,24,9
