name,cum_units,cum_per_1k,early_per_1k,late_per_1k,delta_per_1k,family_units,family_share,cum_per_1k_2020_base,tier
Evanston,1032,13.85,1.87,0.51,-1.36,151,14.63,13.21,2
Santa Barbara,1866,21.11,0.52,0.62,0.11,822,44.05,21.05,2
Ann Arbor,2764,24.26,1.3,3.14,1.83,1183,42.8,22.32,2
Syracuse,3900,26.87,1.94,3.38,1.43,296,7.59,26.24,2
Baton Rouge,7378,32.15,1.27,4.8,3.54,4732,64.14,32.44,2
Pasadena,4526,33.01,1.16,1.54,0.38,679,15.0,32.63,2
Berkeley,4568,40.58,0.46,3.27,2.81,796,17.43,36.74,2
Provo,4892,43.49,1.57,2.56,0.99,2144,43.83,42.48,2
Pittsburgh,14114,46.17,0.62,6.72,6.1,2149,15.23,46.59,2
New Haven,6176,47.59,2.07,4.39,2.33,351,5.68,46.08,2
Boulder,6000,61.61,3.36,3.41,0.05,1045,17.42,55.43,1
Cambridge,6506,61.87,1.47,2.12,0.65,437,6.72,54.95,2
Chapel Hill,4005,69.98,0.89,6.13,5.24,949,23.7,64.64,2
Eugene,11681,74.79,2.49,5.22,2.73,4045,34.63,66.12,2
Louisville,1746,95.02,5.22,6.62,1.4,1195,68.44,82.26,1
Iowa City,6874,101.29,4.11,3.93,-0.18,2462,35.82,91.86,2
Gainesville,13705,110.21,1.7,12.5,10.8,2000,14.59,97.14,2
Superior,1388,111.19,0.08,16.74,16.66,759,54.68,106.0,1
Fort Collins,16162,112.25,4.87,6.95,2.08,6793,42.03,95.18,2
Mountain View,8393,113.32,4.02,3.17,-0.85,1687,20.1,101.89,2
Rochester,12369,115.85,2.88,7.36,4.48,4666,37.72,101.89,2
Tempe,19340,119.59,2.43,7.95,5.52,1397,7.22,107.1,2
Longmont,10962,127.07,1.94,11.53,9.59,3910,35.67,110.86,1
Madison,31591,135.46,3.37,12.6,9.23,4634,14.67,117.07,2
Lafayette,3532,144.44,8.9,1.28,-7.62,1418,40.15,116.14,1
Huntsville,26119,145.02,6.43,11.15,4.72,18802,71.99,121.48,2
College Station,18239,194.33,10.76,11.19,0.43,9514,52.16,151.35,2
Irvine,45771,215.52,10.95,10.21,-0.74,17382,37.98,148.77,2
Durham,49352,216.14,7.33,16.99,9.66,25177,51.02,174.08,2
Erie,7973,439.65,6.93,33.77,26.84,6830,85.66,265.43,1
