place_fips,name,tier,sa_1990,u5_1990,share_1990,sa_2000,u5_2000,share_2000,sa_2010,u5_2010,share_2010,sa_2020,u5_2020,share_2020,sa_chg_00_10,sa_chg_10_20,u5_chg_00_10,u5_chg_10_20
0807850,Boulder,1,8622.0,3997.0,10.35,10154.0,3888.0,10.73,9572.0,3955.0,9.83,11242.0,3247.0,10.39,-5.73,17.45,1.72,-17.9
0845970,Longmont,1,10288.0,4420.0,19.96,14286.0,5537.0,20.09,16384.0,6213.0,18.99,16361.0,4999.0,16.55,14.69,-0.14,12.21,-19.54
0841835,Lafayette,1,3033.0,1563.0,20.85,4529.0,1845.0,19.52,4520.0,1703.0,18.48,5244.0,1717.0,17.24,-0.2,16.02,-7.7,0.82
0846355,Louisville,1,2419.0,1365.0,19.57,4238.0,1201.0,22.38,3402.0,1074.0,18.51,3780.0,916.0,17.81,-19.73,11.11,-10.57,-14.71
0875640,Superior,1,49.0,22.0,19.22,1811.0,842.0,20.1,3069.0,867.0,24.59,2725.0,613.0,20.81,69.46,-11.21,2.97,-29.3
0824950,Erie,1,280.0,99.0,22.26,1192.0,717.0,18.95,3897.0,1734.0,21.49,6807.0,2131.0,22.66,226.93,74.67,141.84,22.9
2603000,Ann Arbor,2,12554.0,6357.0,11.46,13365.0,5744.0,11.72,11514.0,4868.0,10.11,11983.0,4866.0,9.68,-13.85,4.07,-15.25,-0.04
2511000,Cambridge,2,8853.0,4759.0,9.24,9322.0,4125.0,9.2,7502.0,4526.0,7.13,9207.0,4656.0,7.78,-19.52,22.73,9.72,2.87
0606000,Berkeley,2,9960.0,4720.0,9.7,10404.0,4109.0,10.13,9736.0,4136.0,8.65,11297.0,4097.0,9.09,-6.42,16.03,0.66,-0.94
5548000,Madison,2,23792.0,11863.0,12.44,26446.0,10815.0,12.71,27177.0,13561.0,11.65,30529.0,13566.0,11.31,2.76,12.33,25.39,0.04
3719000,Durham,2,20056.0,9977.0,14.68,29471.0,13419.0,15.76,34312.0,17583.0,15.03,40523.0,17110.0,14.29,16.43,18.1,31.03,-2.69
0656000,Pasadena,2,19276.0,9707.0,14.65,21754.0,9202.0,16.24,18233.0,8274.0,13.3,16236.0,6444.0,11.71,-16.19,-10.95,-10.08,-22.12
0669070,Santa Barbara,2,10310.0,5340.0,12.05,13061.0,5194.0,14.15,11644.0,4824.0,13.17,10937.0,3812.0,12.34,-10.85,-6.07,-7.12,-20.98
0649670,Mountain View,2,7531.0,4441.0,11.16,8426.0,4270.0,11.92,9341.0,5254.0,12.61,11041.0,4818.0,13.4,10.86,18.2,23.04,-8.3
1805860,Bloomington,2,5183.0,2462.0,8.55,5929.0,2859.0,8.56,6032.0,3116.0,7.5,7245.0,3008.0,9.15,1.74,20.11,8.99,-3.47
0827425,Fort Collins,2,13515.0,6176.0,15.4,18537.0,7001.0,15.62,20379.0,8251.0,14.15,23450.0,7409.0,13.81,9.94,15.07,17.85,-10.2
0473000,Tempe,2,21371.0,9256.0,15.06,22407.0,9074.0,14.13,19159.0,8049.0,11.85,19142.0,8390.0,10.6,-14.5,-0.09,-11.3,4.24
1724582,Evanston,2,9082.0,4284.0,12.4,10686.0,4315.0,14.39,10075.0,4285.0,13.53,11041.0,3365.0,14.14,-5.72,9.59,-0.7,-21.47
4962470,Provo,2,14128.0,8071.0,16.27,14269.0,9139.0,13.57,15581.0,9549.0,13.85,16714.0,8215.0,14.51,9.19,7.27,4.49,-13.97
4815976,College Station,2,4863.0,2375.0,9.27,6757.0,3032.0,9.95,9326.0,4526.0,9.94,14074.0,6486.0,11.68,38.02,50.91,49.27,43.31
0137000,Huntsville,2,26485.0,10562.0,16.57,26883.0,9732.0,16.99,27468.0,11171.0,15.25,30754.0,11950.0,14.3,2.18,11.96,14.79,6.97
1225175,Gainesville,2,11601.0,4997.0,13.69,12593.0,4357.0,13.19,11108.0,5504.0,8.93,13667.0,6230.0,9.69,-11.79,23.04,26.33,13.19
4123850,Eugene,2,17228.0,6726.0,15.29,20686.0,7367.0,15.0,20849.0,7630.0,13.35,22091.0,7260.0,12.51,0.79,5.96,3.57,-4.85
2754880,Rochester,2,12254.0,6129.0,17.32,15711.0,6401.0,18.31,18037.0,8433.0,16.89,19978.0,7876.0,16.46,14.8,10.76,31.75,-6.61
0636770,Irvine,2,19359.0,7542.0,17.55,25558.0,7997.0,17.86,33670.0,12005.0,15.85,48922.0,15611.0,15.9,31.74,45.3,50.12,30.04
1938595,Iowa City,2,6758.0,3317.0,11.31,7192.0,2861.0,11.56,6906.0,3204.0,10.18,8307.0,3516.0,11.1,-3.98,20.29,11.99,9.74
3673000,Syracuse,2,24323.0,12757.0,14.84,26576.0,10209.0,18.04,23216.0,10217.0,15.99,22547.0,9136.0,15.17,-12.64,-2.88,0.08,-10.58
4261000,Pittsburgh,2,50591.0,22788.0,13.68,48901.0,17607.0,14.62,34690.0,15109.0,11.35,30944.0,13480.0,10.21,-29.06,-10.8,-14.19,-10.78
3711800,Chapel Hill,2,3850.0,1598.0,9.94,5592.0,1754.0,11.48,7554.0,2391.0,13.2,7876.0,2058.0,12.71,35.09,4.26,36.32,-13.93
0952000,New Haven,2,20715.0,10221.0,15.88,22697.0,8749.0,18.36,20432.0,9150.0,15.74,21538.0,7475.0,16.07,-9.98,5.41,4.58,-18.31
2205000,Baton Rouge,2,39112.0,15665.0,17.82,40195.0,15502.0,17.64,36514.0,14992.0,15.91,33853.0,13377.0,14.88,-9.16,-7.29,-3.29,-10.77
