,value
vote_date,"September 22, 2026"
capture_ratio_k5_2025,0.437
capture_ratio_k12_2020,0.481
k5_2030_modeled,9349
util_2030_current_capacity_pct,64.1
k12_loss_2025_2030_modeled,1989
k12_loss_2025_2030_district,1670
boulder_5_17_change_2010_2020_pct,17.4
peer_median_5_17_change_2010_2020_pct,10.8
boulder_under5_change_2010_2020_pct,-17.9
peer_median_under5_change_2010_2020_pct,-4.8
boulder_under5_steeper_than_pct_of_peers,84
boulder_0_9_vs_implied_2020_pct,-14.7
boulder_0_9_gap_steeper_than_pct_of_peers,92
boulder_0_4_per_100_of_10_14_2020,72
acs_under5_median_moe_pct,23.0
acs_under5_mean_abs_year_change,936
decennial_under5_change_2010_2020,708
backtest_median_abs_error_pct,6.4
fork_5_17_sdo_2060,52276
fork_5_17_hp_2060,72898
fork_gap_2030_pct,17.2
fork_gap_2050_pct,27.1
fork_gap_2060_pct,39.4
births_change_2000_2024_pct,-19.9
natural_decrease_first_year,2031
net_migration_2015_2024_mean,2368
households_with_kids_share_2010_pct,32.2
households_with_kids_share_2025_pct,27.6
households_with_kids_share_2050_pct,24.9
household_series_last_year,2050
county_hpi_multiple_since_1975,17.7
price_vs_income_multiple_since_1989,2.5
bvcp_preservation_to_families_ratio,8.1
bvcp_ratio_pre_2001,13.7
bvcp_ratio_2001_onward,6.4
post_plan_k5_capacity,12976
util_trough_year_sdo_fork,2029
util_trough_pct_sdo_fork,71.9
util_trough_year_hp_fork,2030
util_trough_pct_hp_fork,96.6
util_2060_pct_sdo_fork,75.1
util_2060_pct_hp_fork,112.9
fork_total_population_gap_2060_pct,22.1
