,version,year,family,raw_count,rate_per_1k
0,1977,1977,Preservation,101,4.576
1,1977,1977,Children & schools,21,0.951
2,1977,1977,Housing affordability,0,0.0
3,1978,1978,Preservation,119,3.25
4,1978,1978,Children & schools,23,0.628
5,1978,1978,Housing affordability,0,0.0
6,1979,1979,Preservation,114,2.829
7,1979,1979,Children & schools,25,0.621
8,1979,1979,Housing affordability,0,0.0
9,1981,1981,Preservation,147,2.932
10,1981,1981,Children & schools,94,1.875
11,1981,1981,Housing affordability,1,0.02
12,1983,1983,Preservation,167,3.183
13,1983,1983,Children & schools,92,1.754
14,1983,1983,Housing affordability,6,0.114
15,1986,1986,Preservation,173,3.293
16,1986,1986,Children & schools,102,1.942
17,1986,1986,Housing affordability,6,0.114
18,1990,1990,Preservation,164,3.026
19,1990,1990,Children & schools,101,1.864
20,1990,1990,Housing affordability,15,0.277
21,1996,1996,Preservation,245,3.984
22,1996,1996,Children & schools,102,1.659
23,1996,1996,Housing affordability,43,0.699
24,2001,2001,Preservation,349,4.921
25,2001,2001,Children & schools,140,1.974
26,2001,2001,Housing affordability,65,0.917
27,2005,2005,Preservation,319,5.934
28,2005,2005,Children & schools,90,1.674
29,2005,2005,Housing affordability,49,0.911
30,2008,2008,Preservation,319,5.585
31,2008,2008,Children & schools,86,1.506
32,2008,2008,Housing affordability,51,0.893
33,2010,2010,Preservation,227,6.238
34,2010,2010,Children & schools,62,1.704
35,2010,2010,Housing affordability,34,0.934
36,2015,2015,Preservation,256,6.386
37,2015,2015,Children & schools,53,1.322
38,2015,2015,Housing affordability,57,1.422
39,2021,2021,Preservation,305,5.601
40,2021,2021,Children & schools,66,1.212
41,2021,2021,Housing affordability,59,1.084
42,2026,2026,Preservation,131,4.653
43,2026,2026,Children & schools,44,1.563
44,2026,2026,Housing affordability,42,1.492
