year,estimate,births,deaths,netmig,natural_increase,datatype
1970,133432,2309,780,4903,1529,Estimate
1971,139606,2268,778,4684,1490,Estimate
1972,149630,2198,802,8628,1396,Estimate
1973,158937,2147,841,8001,1306,Estimate
1974,166393,2066,851,6241,1215,Estimate
1975,169181,2073,811,1526,1262,Estimate
1976,170416,2120,810,-75,1310,Estimate
1977,177978,2207,845,6200,1362,Estimate
1978,183474,2331,853,4018,1478,Estimate
1979,187199,2491,869,2103,1622,Estimate
1980,190695,2644,897,1749,1747,Estimate
1981,194914,2876,956,2299,1920,Estimate
1982,200177,3039,999,3223,2040,Estimate
1983,204606,3060,977,2346,2083,Estimate
1984,210225,3160,1002,3461,2158,Estimate
1985,209444,3279,1055,-3005,2224,Estimate
1986,211841,3299,1036,134,2263,Estimate
1987,214222,3262,1034,153,2228,Estimate
1988,218380,3241,1066,1983,2175,Estimate
1989,222354,3231,1068,1811,2163,Estimate
1990,226042,3275,1080,1493,2195,Estimate
1991,230977,3323,1104,2716,2219,Estimate
1992,238392,3332,1043,5126,2289,Estimate
1993,247282,3228,1191,6853,2037,Estimate
1994,252726,3166,1205,3483,1961,Estimate
1995,257502,3050,1281,3007,1769,Estimate
1996,261769,3199,1242,2310,1957,Estimate
1997,266064,3182,1352,2465,1830,Estimate
1998,274121,3377,1343,6023,2034,Estimate
1999,283928,3513,1369,7663,2144,Estimate
2000,314799,3719,1388,28540,2331,Estimate
2001,324897,4047,1444,7495,2603,Estimate
2002,326865,4252,1519,-765,2733,Estimate
2003,327723,4325,1664,-1803,2661,Estimate
2004,329694,4175,1642,-562,2533,Estimate
2005,331161,4159,1571,-1121,2588,Estimate
2006,337285,4187,1699,3636,2488,Estimate
2007,342085,4112,1712,2400,2400,Estimate
2008,346227,4076,1754,1820,2322,Estimate
2009,349019,3880,1756,668,2124,Estimate
2010,351712,3831,1815,677,2016,Estimate
2011,358110,3677,1826,4547,1851,Estimate
2012,365152,3627,1889,5304,1738,Estimate
2013,371565,3647,1989,4755,1658,Estimate
2014,376717,3638,2056,3570,1582,Estimate
2015,386183,3528,2142,8080,1386,Estimate
2016,391664,3576,2190,4095,1386,Estimate
2017,395069,3301,2142,2246,1159,Estimate
2018,399377,3214,2205,3299,1009,Estimate
2019,401496,3210,2433,1342,777,Estimate
2020,405453,3149,2472,3280,677,Estimate
2021,402568,3117,2573,-3429,544,Estimate
2022,404298,3065,2693,1358,372,Estimate
2023,405470,3071,2615,716,456,Estimate
2024,408449,2980,2691,2690,289,Estimate
2025,408837,3047,2748,89,299,Projection
2026,409379,3057,2791,276,266,Projection
2027,411425,3062,2862,1845,200,Projection
2028,413800,3101,2933,2207,168,Projection
2029,416465,3083,3009,2591,74,Projection
2030,419377,3129,3088,2871,41,Projection
2031,422478,3163,3169,3108,-6,Projection
2032,425753,3229,3253,3300,-24,Projection
2033,428981,3273,3339,3294,-66,Projection
2034,432172,3333,3428,3287,-95,Projection
2035,435305,3373,3513,3272,-140,Projection
2036,438410,3438,3601,3267,-163,Projection
2037,441439,3473,3688,3244,-215,Projection
2038,444398,3513,3772,3217,-259,Projection
2039,447269,3534,3854,3191,-320,Projection
2040,450047,3546,3932,3164,-386,Projection
2041,452737,3556,4008,3142,-452,Projection
2042,455323,3532,4082,3135,-550,Projection
2043,457733,3532,4150,3028,-618,Projection
2044,459984,3504,4218,2964,-714,Projection
2045,462078,3477,4277,2895,-800,Projection
2046,464010,3454,4333,2811,-879,Projection
2047,465788,3418,4384,2745,-966,Projection
2048,467415,3384,4442,2684,-1058,Projection
2049,468905,3338,4487,2638,-1149,Projection
2050,470240,3313,4523,2545,-1210,Projection
2051,471487,3266,4564,2545,-1298,Projection
2052,472667,3232,4599,2545,-1367,Projection
2053,473783,3203,4632,2545,-1429,Projection
2054,474840,3178,4666,2545,-1488,Projection
2055,475846,3155,4695,2545,-1540,Projection
2056,476797,3137,4731,2545,-1594,Projection
2057,477703,3123,4762,2545,-1639,Projection
2058,478567,3113,4794,2545,-1681,Projection
2059,479395,3106,4823,2545,-1717,Projection
2060,480193,3102,4850,2545,-1748,Projection
