,K5_A_constant,K5_B_eroding,K5_C_no_rebound,K5_C2_city_trend,K12_A_constant,K12_B_eroding
2025,9732.0,9732.0,9732.0,9732.0,26483.0,26483.0
2026,9490.0,9435.0,9490.0,9490.0,25817.0,25683.0
2027,9352.0,9245.0,9352.0,9352.0,25450.0,25186.0
2028,9340.0,9179.0,9340.0,9340.0,25066.0,24676.0
2029,9334.0,9120.0,9334.0,9334.0,24746.0,24232.0
2030,9349.0,9082.0,9349.0,9349.0,24494.0,23858.0
2031,9379.0,9057.0,9379.0,9255.0,24290.0,23533.0
2032,9432.0,9054.0,9430.0,9065.0,24074.0,23198.0
2033,9508.0,9073.0,9420.0,8879.0,23981.0,22983.0
2034,9570.0,9077.0,9370.0,8659.0,23925.0,22805.0
2035,9672.0,9119.0,9384.0,8503.0,24009.0,22761.0
2036,9754.0,9140.0,9384.0,8336.0,24132.0,22752.0
2037,9843.0,9167.0,9373.0,8164.0,24272.0,22757.0
2038,9935.0,9196.0,9362.0,7995.0,24423.0,22773.0
2039,10032.0,9228.0,9315.0,7799.0,24607.0,22816.0
2040,10155.0,9284.0,9296.0,7632.0,24812.0,22877.0
2041,10287.0,9345.0,9268.0,7461.0,25040.0,22957.0
2042,10414.0,9401.0,9256.0,7305.0,25298.0,23062.0
2043,10525.0,9441.0,9232.0,7144.0,25528.0,23139.0
2044,10620.0,9466.0,9214.0,6991.0,25736.0,23194.0
2045,10693.0,9469.0,9194.0,6839.0,25925.0,23230.0
2046,10748.0,9457.0,9184.0,6699.0,26091.0,23243.0
2047,10762.0,9407.0,9173.0,6559.0,26244.0,23243.0
2048,10756.0,9340.0,9166.0,6427.0,26368.0,23216.0
2049,10719.0,9247.0,9161.0,6297.0,26454.0,23154.0
2050,10661.0,9136.0,9155.0,6171.0,26490.0,23047.0
2051,10590.0,9015.0,9157.0,6051.0,26496.0,22915.0
2052,10503.0,8880.0,9151.0,5929.0,26459.0,22745.0
2053,10417.0,8748.0,9161.0,5820.0,26391.0,22550.0
2054,10314.0,8602.0,9166.0,5709.0,26274.0,22313.0
2055,10217.0,8463.0,9173.0,5602.0,26134.0,22059.0
2056,10116.0,8322.0,9190.0,5503.0,25960.0,21777.0
2057,10013.0,8179.0,9197.0,5400.0,25768.0,21481.0
2058,9916.0,8043.0,9205.0,5299.0,25562.0,21177.0
2059,9824.0,7913.0,9207.0,5196.0,25348.0,20868.0
2060,9745.0,7793.0,9219.0,5101.0,25141.0,20567.0
