year,hh_with_kids,hh_all,share_with_kids_pct
2010,45377,141066,32.2
2011,45505,143550,31.7
2012,45815,146308,31.3
2013,46100,148833,31.0
2014,46170,150827,30.6
2015,46908,154562,30.3
2016,47210,156863,30.1
2017,47153,158245,29.8
2018,47220,159886,29.5
2019,47139,160946,29.3
2020,47510,163339,29.1
2021,47499,165614,28.7
2022,47312,166795,28.4
2023,47382,168653,28.1
2024,48060,172109,27.9
2025,46732,169028,27.6
2026,46614,169985,27.4
2027,46786,171369,27.3
2028,46962,172840,27.2
2029,47236,174342,27.1
2030,47451,176081,26.9
2031,47721,177722,26.9
2032,48040,179458,26.8
2033,48380,181066,26.7
2034,48656,182518,26.7
2035,48790,183922,26.5
2036,48912,185242,26.4
2037,49032,186476,26.3
2038,49154,187640,26.2
2039,49312,188750,26.1
2040,49361,189768,26.0
2041,49587,191047,26.0
2042,49766,192231,25.9
2043,49906,193370,25.8
2044,50057,194477,25.7
2045,50097,195594,25.6
2046,50165,196644,25.5
2047,50147,197701,25.4
2048,50146,198703,25.2
2049,50165,199647,25.1
2050,50046,200628,24.9
