school_year,residents,oe_out,placed_out,neighborhood,retention_pct,oe_out_rate_pct,outside_share_elementary,outside_share_middle,outside_share_high
2016-2017,12296,3501,225.0,8569,69.7,28.5,5.3,7.3,13.0
2017-2018,12149,3429,263.0,8456,69.6,28.2,5.3,7.2,12.5
2018-2019,11987,3328,263.0,8396,70.0,27.8,5.4,7.3,12.0
2019-2020,11804,3349,193.0,8260,70.0,28.4,5.3,6.7,11.8
2020-2021,10584,3370,214.0,6998,66.1,31.8,6.0,7.5,11.5
2021-2022,10675,3131,219.0,7321,68.6,29.3,5.6,7.2,12.0
2022-2023,10422,3100,243.0,7075,67.9,29.7,5.7,7.4,12.5
2023-2024,10116,3155,250.0,6706,66.3,31.2,6.2,8.3,13.4
2024-2025,9960,3265,284.0,6404,64.3,32.8,6.6,8.2,13.8
2025-2026,9645,3325,280.0,6035,62.6,34.5,7.3,8.4,14.3
