target,2016-2017,2025-2026,change
Aspen Creek K-8,0.0,19.0,19.0
BCSIS,304.0,231.0,-73.0
Bear Creek,183.0,126.0,-57.0
Birch,-66.0,-55.0,11.0
Coal Creek,-36.0,-64.0,-28.0
Columbine,-194.0,-183.0,11.0
Community Montessori,235.0,165.0,-70.0
Creekside,-249.0,-155.0,94.0
Crest View,-296.0,-321.0,-25.0
Douglass,-10.0,3.0,13.0
Eisenhower,-97.0,-94.0,3.0
Eldorado K-8,-24.0,-24.0,0.0
Emerald,-93.0,-32.0,61.0
Fireside,23.0,81.0,58.0
Flatirons,-4.0,-48.0,-44.0
Foothill,-88.0,35.0,123.0
Gold Hill,17.0,1.0,-16.0
Heatherwood,-59.0,-64.0,-5.0
High Peaks,281.0,252.0,-29.0
Horizons,227.0,212.0,-15.0
Jamestown,8.0,8.0,0.0
Kohl,31.0,-42.0,-73.0
Lafayette,-320.0,-157.0,163.0
Louisville,-69.0,-41.0,28.0
Mesa,43.0,31.0,-12.0
Monarch K-8,9.0,-87.0,-96.0
Nederland,-46.0,-30.0,16.0
Optional Bear Creek/Creekside,-48.0,-27.0,21.0
Optional Bear Creek/Mesa,-200.0,-132.0,68.0
Peak to Peak,327.0,398.0,71.0
Pioneer,342.0,289.0,-53.0
Ryan,-138.0,-189.0,-51.0
Sanchez,-289.0,-339.0,-50.0
Superior,-13.0,58.0,71.0
University Hill International,373.0,336.0,-37.0
Whittier,-74.0,-33.0,41.0
