school,enroll_2016,enroll_2025,residents_2016,residents_2025,retention_2016,retention_2025,oe_in_2016,oe_in_2025,enroll_chg_pct,residents_chg_pct,retention_chg_pts,oe_in_share_2025
Aspen Creek K-8,473.0,472.0,427,320,74.0,76.0,148.0,218.0,-0.2,-25.1,2.0,46.2
Bear Creek,438.0,312.0,253,162,88.0,81.0,45.0,83.0,-28.8,-36.0,-7.0,26.6
Birch,368.0,259.0,362,266,69.0,69.0,102.0,68.0,-29.6,-26.5,0.0,26.3
Coal Creek,417.0,269.0,447,324,82.0,69.0,51.0,38.0,-35.5,-27.5,-13.0,14.1
Columbine,486.0,313.0,687,501,58.0,44.0,78.0,86.0,-35.6,-27.1,-14.0,27.5
Creekside,281.0,288.0,514,439,43.0,55.0,46.0,38.0,2.5,-14.6,12.0,13.2
Crest View,606.0,330.0,904,657,60.0,46.0,60.0,22.0,-45.5,-27.3,-14.0,6.7
Douglass,434.0,281.0,451,260,78.0,63.0,80.0,103.0,-35.3,-42.4,-15.0,36.7
Eisenhower,418.0,265.0,495,361,64.0,57.0,79.0,47.0,-36.6,-27.1,-7.0,17.7
Eldorado K-8,450.0,252.0,441,246,83.0,69.0,76.0,70.0,-44.0,-44.2,-14.0,27.8
Emerald,344.0,365.0,383,328,66.0,74.0,82.0,116.0,6.1,-14.4,8.0,31.8
Fireside,443.0,405.0,398,298,85.0,87.0,89.0,133.0,-8.6,-25.1,2.0,32.8
Flatirons,254.0,151.0,258,195,69.0,59.0,77.0,28.0,-40.6,-24.4,-10.0,18.5
Foothill,541.0,434.0,628,387,77.0,79.0,52.0,119.0,-19.8,-38.4,2.0,27.4
Heatherwood,360.0,225.0,397,281,81.0,68.0,33.0,28.0,-37.5,-29.2,-13.0,12.4
Kohl,453.0,256.0,344,271,80.0,69.0,168.0,59.0,-43.5,-21.2,-11.0,23.0
Lafayette,633.0,450.0,945,601,58.0,55.0,78.0,110.0,-28.9,-36.4,-3.0,24.4
Louisville,569.0,382.0,635,413,82.0,77.0,39.0,51.0,-32.9,-35.0,-5.0,13.4
Mesa,287.0,224.0,237,176,79.0,67.0,58.0,58.0,-22.0,-25.7,-12.0,25.9
Monarch K-8,377.0,264.0,333,310,73.0,48.0,125.0,96.0,-30.0,-6.9,-25.0,36.4
Nederland,261.0,166.0,304,197,84.0,83.0,4.0,3.0,-36.4,-35.2,-1.0,1.8
Ryan,433.0,393.0,555,589,59.0,58.0,99.0,43.0,-9.2,6.1,-1.0,10.9
Sanchez,344.0,276.0,648,642,44.0,35.0,50.0,48.0,-19.8,-0.9,-9.0,17.4
Superior,465.0,433.0,482,360,86.0,87.0,52.0,107.0,-6.9,-25.3,1.0,24.7
Whittier,424.0,257.0,497,287,76.0,53.0,48.0,100.0,-39.4,-42.3,-23.0,38.9
