,value
resident_5_17_peak_year,2017.0
resident_5_17_trough_year,2034.0
resident_5_17_2025,55066.0
resident_5_17_trough,49747.0
resident_5_17_2050,55080.0
births_change_since_2000_pct,-19.9
natural_decrease_first_year,2031.0
hh_with_kids_share_2010_pct,32.2
hh_with_kids_share_2050_pct,24.9
capture_ratio_k12_2020,0.481
capture_ratio_k5_2025,0.437
k5_forecast_2030_A,9349.0
k5_forecast_2035_A,9672.0
k5_forecast_2050_A,10661.0
k5_forecast_2035_C_no_rebound,9384.0
k5_forecast_2050_C2_city_trend,6171.0
post_plan_k5_capacity,12976.0
util_min_pct_A,71.9
util_min_year_A,2029.0
avg_classes_per_grade_2030_A,2.44
util_2050_pct_A,82.2
city_boulder_0_4_per_100_of_10_14,72.0
city_boulder_0_4_change_2010_2020_pct_per_yr,-1.95
