year,age_0_4,age_5_10,age_11_17,age_5_17,datatype,age_5_17_boulder_only,age_0_4_boulder_only
1990,15999,18193,18007,36200,Estimate,36200,15999
1991,16043,18524,18732,37256,Estimate,37256,16043
1992,16308,19060,19609,38669,Estimate,38669,16308
1993,16655,19710,20622,40332,Estimate,40332,16655
1994,16757,20081,21367,41448,Estimate,41448,16757
1995,16802,20398,22066,42464,Estimate,42464,16802
1996,16804,20674,22734,43408,Estimate,43408,16804
1997,16798,20949,23413,44362,Estimate,44362,16798
1998,17018,21515,24437,45952,Estimate,45952,17018
1999,17328,22215,25637,47852,Estimate,47852,17328
2000,19621,24561,29165,53726,Estimate,45400,16624
2001,20126,25448,30265,55713,Estimate,46840,16953
2002,20216,24989,30635,55624,Estimate,46661,16961
2003,20355,24514,30711,55225,Estimate,45891,16892
2004,20550,24240,30645,54885,Estimate,45409,16975
2005,20721,24144,30409,54553,Estimate,44843,17006
2006,21123,24683,30760,55443,Estimate,45246,17208
2007,21344,25250,30839,56089,Estimate,45553,17313
2008,21237,25955,30637,56592,Estimate,45954,17207
2009,20798,26533,30323,56856,Estimate,46149,16814
2010,20470,27010,30154,57164,Estimate,46415,16557
2011,20033,27417,30870,58287,Estimate,47258,16214
2012,19504,27950,31559,59509,Estimate,48157,15808
2013,19139,28014,32578,60592,Estimate,49022,15527
2014,18941,27757,33276,61033,Estimate,49229,15305
2015,18909,27869,34447,62316,Estimate,50085,15168
2016,18746,27454,34969,62423,Estimate,50043,14957
2017,18332,27009,35442,62451,Estimate,49929,14553
2018,17828,26499,35803,62302,Estimate,49698,14125
2019,17231,26005,35722,61727,Estimate,49136,13584
2020,16869,25689,35110,60799,Estimate,48100,13184
2021,16395,24985,34804,59789,Estimate,47061,12832
2022,16332,24374,34559,58933,Estimate,46265,12836
2023,16157,23577,33900,57477,Estimate,44981,12647
2024,16044,23044,33467,56511,Estimate,43997,12526
2025,15862,22276,32790,55066,Forecast,42745,12302
2026,15762,21721,31960,53681,Forecast,41504,12133
2027,15866,21407,31512,52919,Forecast,40806,12164
2028,16010,21378,30743,52121,Forecast,39999,12240
2029,16200,21365,30090,51455,Forecast,39298,12404
2030,16349,21400,29531,50931,Forecast,38685,12526
2031,16488,21469,29038,50507,Forecast,38126,12677
2032,16658,21590,28467,50057,Forecast,37596,12841
2033,16833,21764,28099,49863,Forecast,37240,13055
2034,17084,21905,27842,49747,Forecast,37077,13302
2035,17328,22139,27784,49923,Forecast,37139,13567
2036,17605,22326,27852,50178,Forecast,37262,13828
2037,17846,22530,27938,50468,Forecast,37465,14068
2038,18083,22741,28043,50784,Forecast,37670,14276
2039,18282,22963,28202,51165,Forecast,37940,14449
2040,18449,23245,28346,51591,Forecast,38270,14580
2041,18563,23546,28519,52065,Forecast,38672,14672
2042,18610,23836,28766,52602,Forecast,39150,14710
2043,18614,24091,28989,53080,Forecast,39582,14699
2044,18561,24309,29204,53513,Forecast,39992,14642
2045,18471,24476,29431,53907,Forecast,40354,14546
2046,18345,24602,29650,54252,Forecast,40687,14412
2047,18206,24633,29937,54570,Forecast,40972,14252
2048,18036,24620,30208,54828,Forecast,41193,14071
2049,17849,24536,30471,55007,Forecast,41332,13877
2050,17667,24402,30678,55080,Forecast,41372,13676
2051,17462,24241,30853,55094,Forecast,41329,13477
2052,17269,24041,30975,55016,Forecast,41202,13285
2053,17087,23844,31031,54875,Forecast,40997,13103
2054,16925,23608,31023,54631,Forecast,40722,12931
2055,16768,23387,30954,54341,Forecast,40389,12772
2056,16640,23156,30823,53979,Forecast,40007,12628
2057,16529,22919,30660,53579,Forecast,39586,12499
2058,16441,22697,30454,53151,Forecast,39135,12391
2059,16369,22487,30219,52706,Forecast,38673,12300
2060,16317,22306,29970,52276,Forecast,38207,12230
