,util_K5_A_constant,pupils_per_school_K5_A_constant,classes_per_grade_K5_A_constant,util_K5_B_eroding,pupils_per_school_K5_B_eroding,classes_per_grade_K5_B_eroding,util_K5_C_no_rebound,pupils_per_school_K5_C_no_rebound,classes_per_grade_K5_C_no_rebound,util_K5_C2_city_trend,pupils_per_school_K5_C2_city_trend,classes_per_grade_K5_C2_city_trend
2025,75.0,335.59,2.54,75.0,335.59,2.54,75.0,335.59,2.54,75.0,335.59,2.54
2026,73.13,327.23,2.48,72.71,325.35,2.46,73.13,327.23,2.48,73.13,327.23,2.48
2027,72.07,322.49,2.44,71.25,318.8,2.42,72.07,322.49,2.44,72.07,322.49,2.44
2028,71.98,322.06,2.44,70.74,316.53,2.4,71.98,322.06,2.44,71.98,322.06,2.44
2029,71.93,321.86,2.44,70.29,314.49,2.38,71.93,321.86,2.44,71.93,321.86,2.44
2030,72.05,322.39,2.44,69.99,313.17,2.37,72.05,322.39,2.44,72.05,322.39,2.44
2031,72.28,323.43,2.45,69.8,312.32,2.37,72.28,323.43,2.45,71.32,319.12,2.42
2032,72.69,325.25,2.46,69.78,312.22,2.37,72.67,325.17,2.46,69.86,312.59,2.37
2033,73.28,327.87,2.48,69.92,312.86,2.37,72.6,324.84,2.46,68.43,306.18,2.32
2034,73.75,330.0,2.5,69.95,313.0,2.37,72.21,323.11,2.45,66.73,298.6,2.26
2035,74.54,333.52,2.53,70.27,314.44,2.38,72.32,323.59,2.45,65.53,293.2,2.22
2036,75.17,336.34,2.55,70.44,315.17,2.39,72.31,323.57,2.45,64.24,287.45,2.18
2037,75.86,339.41,2.57,70.65,316.11,2.39,72.23,323.19,2.45,62.92,281.51,2.13
2038,76.57,342.59,2.6,70.87,317.11,2.4,72.15,322.83,2.45,61.62,275.7,2.09
2039,77.31,345.94,2.62,71.12,318.22,2.41,71.78,321.19,2.43,60.11,268.95,2.04
2040,78.26,350.18,2.65,71.54,320.13,2.43,71.64,320.56,2.43,58.82,263.17,1.99
2041,79.28,354.72,2.69,72.02,322.24,2.44,71.43,319.6,2.42,57.5,257.26,1.95
2042,80.25,359.09,2.72,72.45,324.16,2.46,71.33,319.17,2.42,56.3,251.9,1.91
2043,81.11,362.93,2.75,72.76,325.55,2.47,71.15,318.35,2.41,55.06,246.35,1.87
2044,81.84,366.21,2.77,72.95,326.4,2.47,71.01,317.74,2.41,53.88,241.07,1.83
2045,82.41,368.73,2.79,72.98,326.53,2.47,70.85,317.02,2.4,52.71,235.83,1.79
2046,82.83,370.63,2.81,72.88,326.09,2.47,70.78,316.7,2.4,51.62,230.99,1.75
2047,82.94,371.09,2.81,72.49,324.38,2.46,70.69,316.3,2.4,50.55,226.19,1.71
2048,82.89,370.9,2.81,71.98,322.08,2.44,70.64,316.06,2.39,49.53,221.6,1.68
2049,82.61,369.63,2.8,71.26,318.87,2.42,70.6,315.88,2.39,48.53,217.15,1.65
2050,82.16,367.61,2.78,70.4,315.02,2.39,70.55,315.69,2.39,47.55,212.78,1.61
2051,81.62,365.19,2.77,69.47,310.86,2.35,70.57,315.76,2.39,46.64,208.67,1.58
2052,80.94,362.18,2.74,68.44,306.22,2.32,70.52,315.55,2.39,45.69,204.46,1.55
2053,80.28,359.21,2.72,67.42,301.65,2.29,70.6,315.91,2.39,44.85,200.69,1.52
2054,79.48,355.65,2.69,66.29,296.63,2.25,70.64,316.06,2.39,44.0,196.87,1.49
2055,78.74,352.32,2.67,65.22,291.84,2.21,70.7,316.33,2.4,43.18,193.19,1.46
2056,77.96,348.84,2.64,64.13,286.96,2.17,70.82,316.88,2.4,42.41,189.74,1.44
2057,77.16,345.27,2.62,63.03,282.05,2.14,70.88,317.14,2.4,41.61,186.19,1.41
2058,76.42,341.93,2.59,61.99,277.36,2.1,70.94,317.42,2.4,40.83,182.71,1.38
2059,75.71,338.76,2.57,60.98,272.85,2.07,70.96,317.49,2.41,40.05,179.18,1.36
2060,75.1,336.04,2.55,60.06,268.74,2.04,71.04,317.88,2.41,39.31,175.9,1.33
