place_fips,name,sa_actual_2020,sa_pred_2020,sa_err_pct,u5_err_pct
0807850,Boulder,11242.0,9491.58,-15.57,18.44
0845970,Longmont,16361.0,18372.03,12.29,39.18
0841835,Lafayette,5244.0,4194.34,-20.02,-8.32
0846355,Louisville,3780.0,2819.49,-25.41,-3.15
0875640,Superior,2725.0,3635.93,33.43,84.79
0824950,Erie,6807.0,9727.48,42.9,89.5
2603000,Ann Arbor,11983.0,10195.48,-14.92,-6.66
2511000,Cambridge,9207.0,7390.83,-19.73,-7.99
0606000,Berkeley,11297.0,9862.5,-12.7,6.92
5548000,Madison,30529.0,30820.28,0.95,5.11
3719000,Durham,40523.0,41677.75,2.85,19.24
0656000,Pasadena,16236.0,16272.15,0.22,22.29
0669070,Santa Barbara,10937.0,10327.16,-5.58,12.33
0649670,Mountain View,11041.0,10227.42,-7.37,7.21
1805860,Bloomington,7245.0,6509.31,-10.15,11.76
0827425,Fort Collins,23450.0,23521.31,0.3,26.72
0473000,Tempe,19142.0,17418.09,-9.01,-7.64
1724582,Evanston,11041.0,9671.51,-12.4,19.32
4962470,Provo,16714.0,16771.54,0.34,25.71
4815976,College Station,14074.0,13363.52,-5.05,-3.17
0137000,Huntsville,30754.0,30141.56,-1.99,6.7
1225175,Gainesville,13667.0,12449.08,-8.91,-4.28
4123850,Eugene,22091.0,21920.14,-0.77,14.2
2754880,Rochester,19978.0,22186.66,11.06,26.95
0636770,Irvine,48922.0,48310.14,-1.25,10.12
1938595,Iowa City,8307.0,7245.53,-12.78,-8.44
3673000,Syracuse,22547.0,21782.31,-3.39,6.28
4261000,Pittsburgh,30944.0,28802.82,-6.92,-0.31
3711800,Chapel Hill,7876.0,9782.15,24.2,41.44
0952000,New Haven,21538.0,20253.38,-5.96,22.1
2205000,Baton Rouge,33853.0,34701.95,2.51,9.05
