,,census_or_HP,SDO,diff_pct
2020,0-4,13858.0,13184,5.1
2020,5-17,48260.0,48100,0.3
2020,18-24,44786.0,47225,-5.2
2020,25-64,172591.0,171372,0.7
2020,65+,51263.0,51071,0.4
2030,0-4,15193.7,12526,21.3
2030,5-17,46306.4,38685,19.7
2030,18-24,46757.4,49060,-4.7
2030,25-64,184252.2,166744,10.5
2030,65+,71829.6,67099,7.1
2040,0-4,15448.3,14580,6.0
2040,5-17,49748.9,38270,30.0
2040,18-24,43022.4,43907,-2.0
2040,25-64,199027.7,175049,13.7
2040,65+,80034.1,80144,-0.1
2050,0-4,15720.7,13676,15.0
2050,5-17,51129.6,41372,23.6
2050,18-24,46140.4,42995,7.3
2050,25-64,211428.9,173419,21.9
2050,65+,83330.7,89447,-6.8
