,value
boulder_5_17_2010,9572.0
boulder_5_17_2020,11242.0
boulder_5_17_change_2010_2020_pct,17.4
peer_median_5_17_change_2010_2020_pct,10.8
boulder_faster_decline_than_pct_of_peers_2010_2020,32.0
boulder_under5_change_2010_2020_pct,-17.9
peer_median_under5_change_2010_2020_pct,-4.8
boulder_faster_under5_decline_than_pct_of_peers_2010_2020,84.0
boulder_5_17_share_2020_pct,10.4
boulder_share_lower_than_pct_of_peers,76.0
boulder_5_17_2050_projected,12532.0
boulder_5_17_change_2020_2050_pct,11.5
peer_median_5_17_change_2020_2050_pct,20.0
boulder_faster_decline_than_pct_of_peers_2020_2050,56.0
boulder_5_17_change_2020_2050_pct_3vintage,-1.7
backtest_median_abs_error_pct,6.4
backtest_boulder_error_pct,-15.6
boulder_county_hp_vs_sdo_5_17_2050_pct,23.6
boulder_children_0_9_vs_implied_2020_pct,-14.7
boulder_fertility_share_of_projected_decline_pct,
boulder_5_17_2050_frozen_child_ratio,14112.0
