place_fips,name,tier,sa_2020,sa_2030,sa_2040,sa_2050,sa_chg_20_50,share_2020,u5_chg_20_50
0807850,Boulder,1,11242.0,11057.7,12062.8,12531.9,11.5,10.4,23.9
0845970,Longmont,1,16361.0,15427.5,17084.6,17648.2,7.9,16.5,16.3
0841835,Lafayette,1,5244.0,5867.7,7159.5,8386.1,59.9,17.2,66.9
0846355,Louisville,1,3780.0,3863.9,4411.1,4813.8,27.4,17.8,38.0
0875640,Superior,1,2725.0,2200.5,2123.1,1975.1,-27.5,20.8,-20.9
0824950,Erie,1,6807.0,9616.2,16318.9,28390.3,317.1,22.7,377.3
2603000,Ann Arbor,2,11983.0,12181.2,12401.2,12432.0,3.7,9.7,3.6
2511000,Cambridge,2,9207.0,10282.5,11599.8,13083.3,42.1,7.8,43.9
0606000,Berkeley,2,11297.0,12104.7,13519.0,14726.3,30.4,9.1,36.4
5548000,Madison,2,30529.0,33304.4,37827.0,42204.7,38.2,11.3,42.8
3719000,Durham,2,40523.0,44313.2,51796.4,58796.2,45.1,14.3,52.5
0656000,Pasadena,2,16236.0,13902.8,12588.1,10984.4,-32.3,11.7,-29.9
0669070,Santa Barbara,2,10937.0,9441.4,8568.0,7558.3,-30.9,12.3,-27.9
0649670,Mountain View,2,11041.0,11651.5,13227.7,14656.9,32.7,13.4,40.3
1805860,Bloomington,2,7245.0,7700.7,8231.4,8693.3,20.0,9.2,24.5
0827425,Fort Collins,2,23450.0,24484.3,27420.8,29704.8,26.7,13.8,34.9
0473000,Tempe,2,19142.0,20092.4,21101.8,21698.1,13.4,10.6,12.3
1724582,Evanston,2,11041.0,10121.1,10240.1,10098.8,-8.5,14.1,0.9
4962470,Provo,2,16714.0,16128.3,15904.3,15292.2,-8.5,14.5,-3.4
4815976,College Station,2,14074.0,20114.9,28334.4,39951.7,183.9,11.7,185.0
0137000,Huntsville,2,30754.0,35081.1,40892.9,46529.7,51.3,14.3,53.4
1225175,Gainesville,2,13667.0,16187.0,18844.1,21797.8,59.5,9.7,59.8
4123850,Eugene,2,22091.0,22762.7,23919.8,24331.8,10.1,12.5,12.1
2754880,Rochester,2,19978.0,20912.4,23604.4,25915.5,29.7,16.5,36.7
0636770,Irvine,2,48922.0,67824.1,97423.2,138169.2,182.4,15.9,193.0
1938595,Iowa City,2,8307.0,9346.5,10265.1,11202.0,34.9,11.1,35.1
3673000,Syracuse,2,22547.0,21940.5,22049.8,21649.4,-4.0,15.2,-1.4
4261000,Pittsburgh,2,30944.0,29235.6,28138.1,26026.1,-15.9,10.2,-15.6
3711800,Chapel Hill,2,7876.0,7591.9,7760.9,7735.0,-1.8,12.7,4.0
0952000,New Haven,2,21538.0,20427.8,20723.1,20491.5,-4.9,16.1,1.7
2205000,Baton Rouge,2,33853.0,31783.1,30422.7,28946.5,-14.5,14.9,-13.6
