1986: 1324 schools, 7975 enrollment rows
1987: 1323 schools, 8188 enrollment rows
1988: 1339 schools, 8187 enrollment rows
1989: 1337 schools, 8197 enrollment rows
1990: 1344 schools, 8231 enrollment rows
1991: 1397 schools, 8299 enrollment rows
1992: 1399 schools, 8294 enrollment rows
1993: 1419 schools, 8353 enrollment rows
1994: 1470 schools, 8532 enrollment rows
1995: 1491 schools, 8700 enrollment rows
1996: 1540 schools, 8999 enrollment rows
1997: 1584 schools, 9196 enrollment rows
1998: 1572 schools, 9373 enrollment rows
1999: 1596 schools, 9765 enrollment rows
2000: 1647 schools, 10101 enrollment rows
2001: 1680 schools, 10410 enrollment rows
2002: 1712 schools, 10640 enrollment rows
2003: 1734 schools, 10628 enrollment rows
2004: 1707 schools, 10786 enrollment rows
2005: 1730 schools, 10908 enrollment rows
2006: 1762 schools, 11161 enrollment rows
2007: 1783 schools, 11392 enrollment rows
2008: 1837 schools, 11535 enrollment rows
2009: 1818 schools, 11696 enrollment rows
2010: 1835 schools, 11884 enrollment rows
2011: 1843 schools, 11924 enrollment rows
2012: 1844 schools, 11970 enrollment rows
2013: 1860 schools, 12036 enrollment rows
2014: 1872 schools, 12559 enrollment rows
2015: 1876 schools, 12289 enrollment rows
2016: 1898 schools, 12466 enrollment rows
2017: 1920 schools, 12577 enrollment rows
2018: 1930 schools, 12656 enrollment rows
2019: 1940 schools, 12724 enrollment rows
2020: 1942 schools, 12801 enrollment rows
2021: 1960 schools, 12892 enrollment rows
2022: 1965 schools, 12847 enrollment rows
2023: 1950 schools, 12715 enrollment rows
2024: 1917 schools, 12696 enrollment rows
