county,year,population,basis,countyfips
Adams,1870,0.0,decennial census,001
Adams,1880,0.0,decennial census,001
Adams,1890,0.0,decennial census,001
Adams,1900,0.0,decennial census,001
Adams,1910,8892.0,decennial census,001
Adams,1920,14430.0,decennial census,001
Adams,1930,20245.0,decennial census,001
Adams,1940,22481.0,decennial census,001
Adams,1950,40234.0,decennial census,001
Adams,1960,120296.0,decennial census,001
Adams,1970,185789.0,decennial census,001
Adams,1980,245944.0,sdo annual estimate,001
Adams,1981,253031.0,sdo annual estimate,001
Adams,1982,260136.0,sdo annual estimate,001
Adams,1983,267244.0,sdo annual estimate,001
Adams,1984,265770.0,sdo annual estimate,001
Adams,1985,268764.0,sdo annual estimate,001
Adams,1986,268643.0,sdo annual estimate,001
Adams,1987,269323.0,sdo annual estimate,001
Adams,1988,269019.0,sdo annual estimate,001
Adams,1989,266771.0,sdo annual estimate,001
Adams,1990,265038.0,sdo annual estimate,001
Adams,1991,273624.0,sdo annual estimate,001
Adams,1992,281385.0,sdo annual estimate,001
Adams,1993,290777.0,sdo annual estimate,001
Adams,1994,300794.0,sdo annual estimate,001
Adams,1995,312593.0,sdo annual estimate,001
Adams,1996,323042.0,sdo annual estimate,001
Adams,1997,332744.0,sdo annual estimate,001
Adams,1998,344024.0,sdo annual estimate,001
Adams,1999,355308.0,sdo annual estimate,001
Adams,2000,351735.0,sdo annual estimate,001
Adams,2001,359437.0,sdo annual estimate,001
Adams,2002,371181.0,sdo annual estimate,001
Adams,2003,377665.0,sdo annual estimate,001
Adams,2004,385945.0,sdo annual estimate,001
Adams,2005,395384.0,sdo annual estimate,001
Adams,2006,407587.0,sdo annual estimate,001
Adams,2007,415915.0,sdo annual estimate,001
Adams,2008,425138.0,sdo annual estimate,001
Adams,2009,436323.0,sdo annual estimate,001
Adams,2010,443711.0,sdo annual estimate,001
Adams,2011,452181.0,sdo annual estimate,001
Adams,2012,460468.0,sdo annual estimate,001
Adams,2013,469878.0,sdo annual estimate,001
Adams,2014,479901.0,sdo annual estimate,001
Adams,2015,490351.0,sdo annual estimate,001
Adams,2016,497822.0,sdo annual estimate,001
Adams,2017,503706.0,sdo annual estimate,001
Adams,2018,511422.0,sdo annual estimate,001
Adams,2019,516481.0,sdo annual estimate,001
Adams,2020,520489.0,sdo annual estimate,001
Adams,2021,523505.0,sdo annual estimate,001
Adams,2022,528201.0,sdo annual estimate,001
Adams,2023,535901.0,sdo annual estimate,001
Adams,2024,543760.0,sdo annual estimate,001
Alamosa,1870,0.0,decennial census,003
Alamosa,1880,0.0,decennial census,003
Alamosa,1890,0.0,decennial census,003
Alamosa,1900,0.0,decennial census,003
Alamosa,1910,0.0,decennial census,003
Alamosa,1920,5148.0,decennial census,003
Alamosa,1930,8602.0,decennial census,003
Alamosa,1940,10484.0,decennial census,003
Alamosa,1950,10531.0,decennial census,003
Alamosa,1960,10000.0,decennial census,003
Alamosa,1970,11422.0,decennial census,003
Alamosa,1980,11799.0,sdo annual estimate,003
Alamosa,1981,12184.0,sdo annual estimate,003
Alamosa,1982,12258.0,sdo annual estimate,003
Alamosa,1983,12643.0,sdo annual estimate,003
Alamosa,1984,12928.0,sdo annual estimate,003
Alamosa,1985,13011.0,sdo annual estimate,003
Alamosa,1986,13336.0,sdo annual estimate,003
Alamosa,1987,13427.0,sdo annual estimate,003
Alamosa,1988,13715.0,sdo annual estimate,003
Alamosa,1989,13660.0,sdo annual estimate,003
Alamosa,1990,13617.0,sdo annual estimate,003
Alamosa,1991,13639.0,sdo annual estimate,003
Alamosa,1992,13572.0,sdo annual estimate,003
Alamosa,1993,13657.0,sdo annual estimate,003
Alamosa,1994,13823.0,sdo annual estimate,003
Alamosa,1995,14097.0,sdo annual estimate,003
Alamosa,1996,14322.0,sdo annual estimate,003
Alamosa,1997,14478.0,sdo annual estimate,003
Alamosa,1998,14623.0,sdo annual estimate,003
Alamosa,1999,14822.0,sdo annual estimate,003
Alamosa,2000,15099.0,sdo annual estimate,003
Alamosa,2001,15231.0,sdo annual estimate,003
Alamosa,2002,15266.0,sdo annual estimate,003
Alamosa,2003,15360.0,sdo annual estimate,003
Alamosa,2004,15406.0,sdo annual estimate,003
Alamosa,2005,15395.0,sdo annual estimate,003
Alamosa,2006,15350.0,sdo annual estimate,003
Alamosa,2007,15293.0,sdo annual estimate,003
Alamosa,2008,15346.0,sdo annual estimate,003
Alamosa,2009,15301.0,sdo annual estimate,003
Alamosa,2010,15474.0,sdo annual estimate,003
Alamosa,2011,15528.0,sdo annual estimate,003
Alamosa,2012,15604.0,sdo annual estimate,003
Alamosa,2013,15709.0,sdo annual estimate,003
Alamosa,2014,15788.0,sdo annual estimate,003
Alamosa,2015,15885.0,sdo annual estimate,003
Alamosa,2016,15936.0,sdo annual estimate,003
Alamosa,2017,16053.0,sdo annual estimate,003
Alamosa,2018,16184.0,sdo annual estimate,003
