countyfips,county,year,datatype,pop_5_17,pop_0_4
000,Colorado,1990,Estimate,608961,257722
000,Colorado,1991,Estimate,624068,259840
000,Colorado,1992,Estimate,644843,265087
000,Colorado,1993,Estimate,666735,270460
000,Colorado,1994,Estimate,687721,275175
000,Colorado,1995,Estimate,707339,279156
000,Colorado,1996,Estimate,725199,282398
000,Colorado,1997,Estimate,743633,285750
000,Colorado,1998,Estimate,764641,289857
000,Colorado,1999,Estimate,786695,294308
000,Colorado,2000,Estimate,809565,299654
000,Colorado,2001,Estimate,822018,306879
000,Colorado,2002,Estimate,824923,312913
000,Colorado,2003,Estimate,824762,319674
000,Colorado,2004,Estimate,826291,325246
000,Colorado,2005,Estimate,829033,330396
000,Colorado,2006,Estimate,840118,336239
000,Colorado,2007,Estimate,852437,340384
000,Colorado,2008,Estimate,863158,343115
000,Colorado,2009,Estimate,872629,343586
000,Colorado,2010,Estimate,884376,343666
000,Colorado,2011,Estimate,894125,340507
000,Colorado,2012,Estimate,903912,335206
000,Colorado,2013,Estimate,914462,331625
000,Colorado,2014,Estimate,923201,330446
000,Colorado,2015,Estimate,934845,332649
000,Colorado,2016,Estimate,942454,333385
000,Colorado,2017,Estimate,943426,333248
000,Colorado,2018,Estimate,947155,331690
000,Colorado,2019,Estimate,947779,327048
000,Colorado,2020,Estimate,947166,323777
000,Colorado,2021,Estimate,944801,318576
000,Colorado,2022,Estimate,940401,316707
000,Colorado,2023,Estimate,936082,315646
000,Colorado,2024,Estimate,929657,316193
000,Colorado,2025,Forecast,919039,315568
000,Colorado,2026,Forecast,907573,316078
000,Colorado,2027,Forecast,900629,316640
000,Colorado,2028,Forecast,897072,317986
000,Colorado,2029,Forecast,895372,319514
000,Colorado,2030,Forecast,893238,321463
000,Colorado,2031,Forecast,892062,323479
000,Colorado,2032,Forecast,893586,325399
000,Colorado,2033,Forecast,895271,327280
000,Colorado,2034,Forecast,895892,329174
000,Colorado,2035,Forecast,897896,330960
000,Colorado,2036,Forecast,900925,332580
000,Colorado,2037,Forecast,905060,334088
000,Colorado,2038,Forecast,908705,335397
000,Colorado,2039,Forecast,912902,336415
000,Colorado,2040,Forecast,916525,337102
000,Colorado,2041,Forecast,920603,337417
000,Colorado,2042,Forecast,924707,337385
000,Colorado,2043,Forecast,928773,337017
000,Colorado,2044,Forecast,932453,336356
000,Colorado,2045,Forecast,935661,335449
000,Colorado,2046,Forecast,938457,334329
000,Colorado,2047,Forecast,940794,333053
000,Colorado,2048,Forecast,942585,331638
000,Colorado,2049,Forecast,943700,330169
000,Colorado,2050,Forecast,944262,328669
000,Colorado,2051,Forecast,944278,327164
000,Colorado,2052,Forecast,943718,325826
000,Colorado,2053,Forecast,942616,324687
000,Colorado,2054,Forecast,940936,323782
000,Colorado,2055,Forecast,938803,323103
000,Colorado,2056,Forecast,936242,322680
000,Colorado,2057,Forecast,933548,322371
000,Colorado,2058,Forecast,930723,322158
000,Colorado,2059,Forecast,927851,322034
