year,district_code,district_name,county,countyfips,unit_type,teacher_fte,teacher_fte_basis,teacher_fte_published,teacher_fte_school_sum,schools,schools_basis,schools_published,schools_open,enrollment,enrollment_panel,enrollment_ccd,pop_5_17,pop_0_4,datatype
1990,0010,MAPLETON 1,Adams,001,district,231.3,published,231.3,,10.0,school_panel,10.0,10.0,4660.0,,4660.0,53967.0,23427.0,Estimate
1991,0010,MAPLETON 1,Adams,001,district,228.7,published,228.7,,11.0,school_panel,11.0,11.0,4918.0,,4918.0,55519.0,23992.0,Estimate
1992,0010,MAPLETON 1,Adams,001,district,226.8,published,226.8,,11.0,school_panel,10.0,11.0,4941.0,,4941.0,57048.0,24563.0,Estimate
1993,0010,MAPLETON 1,Adams,001,district,215.3,published,215.3,,11.0,school_panel,10.0,11.0,4836.0,,4836.0,58906.0,25267.0,Estimate
1994,0010,MAPLETON 1,Adams,001,district,232.4,published,232.4,,11.0,school_panel,10.0,11.0,4898.0,,4898.0,60885.0,26017.0,Estimate
1995,0010,MAPLETON 1,Adams,001,district,244.1,published,244.1,,11.0,school_panel,10.0,11.0,4991.0,,4991.0,63223.0,26916.0,Estimate
1996,0010,MAPLETON 1,Adams,001,district,244.1,published,244.1,,11.0,school_panel,10.0,11.0,5154.0,,5154.0,65280.0,27690.0,Estimate
1997,0010,MAPLETON 1,Adams,001,district,251.1,published,251.1,,11.0,school_panel,10.0,11.0,5094.0,,5094.0,67191.0,28389.0,Estimate
1998,0010,MAPLETON 1,Adams,001,district,251.4,published,251.4,,11.0,school_panel,11.0,11.0,4939.0,,4939.0,69409.0,29216.0,Estimate
1999,0010,MAPLETON 1,Adams,001,district,,,,,11.0,school_panel,11.0,11.0,5208.0,,5208.0,71628.0,30033.0,Estimate
2000,0010,MAPLETON 1,Adams,001,district,257.8998,school_sum,,257.8998,11.0,school_panel,,11.0,,,5360.0,70181.0,29752.0,Estimate
2001,0010,MAPLETON 1,Adams,001,district,259.746,school_sum,,259.746,11.0,school_panel,,11.0,3758.0,3758.0,5547.0,71653.0,30305.0,Estimate
